wlbName,wlbDstTestNumber,wlbDstFromDepth,wlbDstToDepth,wlbDstChokeSize,wlbDstFinShutInPress,wlbDstFinFlowPress,wlbDstBottomHolePress,wlbDstOilProd,wlbDstGasProd,wlbDstOilDensity,wlbDstGasDensity,wlbDstGasOilRelation,wlbNpdidWellbore,wlbDstDateUpdated,dateSyncNPD
15/12-16 S,1.0,2850,2884,28.6,0.000,0.000,0.000,332,1190000,0.000,0.692,3600,5271,9999-12-31,2013-05-08
15/12-19,1.0,3088,3102,11.0,0.000,0.000,0.000,318,29450,0.000,0.680,93,5705,9999-12-31,2013-05-08
15/12-19,2.0,3036,3102,17.5,0.000,0.000,0.000,657,156621,0.000,0.680,239,5705,9999-12-31,2013-05-08
15/12-19,3.0,3023,3102,22.0,0.000,0.000,0.000,396,831297,0.000,0.680,2102,5705,9999-12-31,2013-05-08
15/12-21,1.0,3099,3158,8.0,3.000,0.000,27.000,161,3847,0.000,0.000,24,6047,2012-07-21,2013-05-08
15/12-21,2.0,3030,3059,8.0,1.600,0.000,26.000,90,3003,0.000,0.000,33,6047,2012-07-21,2013-05-08
15/12-23,1.0,3181,3233,6.3,0.000,0.000,0.000,84,4159,0.000,0.000,50,6327,9999-12-31,2013-05-08
15/12-6 S,1.0,2922,2930,12.7,0.000,10.000,0.000,154,11683,0.850,0.795,76,1524,2012-07-21,2013-05-08
15/12-6 S,2.0,2875,2895,15.9,0.000,8.000,0.000,866,52530,0.843,0.740,61,1524,2012-07-21,2013-05-08
15/12-8,1.0,2838,2869,15.9,0.000,0.000,0.000,420,550000,0.000,0.817,1308,1778,2012-07-21,2013-05-08
15/3-8,1.0,4141,4183,12.7,3.500,0.000,7.000,733,0,0.000,0.000,473,5175,9999-12-31,2013-05-08
15/3-8,2.0,4073,4087,11.0,4.000,0.000,7.500,670,0,0.000,0.000,500,5175,9999-12-31,2013-05-08
15/5-5,1.0,2154,2183,23.8,0.000,0.000,18.000,575,36000,0.864,0.868,63,2635,9999-12-31,2013-05-08
15/6-11 A,1.0,4148,4180,12.7,0.000,0.000,22.000,120,220000,0.000,0.000,0,6526,9999-12-31,2013-05-08
15/6-6,1.0,3568,3578,22.2,0.000,0.000,0.000,278,835000,0.793,0.762,3003,38,9999-12-31,2013-05-08
15/8-1,1.0,4079,4085,19.1,0.000,0.000,0.000,316,427000,0.754,0.851,1351,321,9999-12-31,2013-05-08
15/8-1,2.0,3911,3926,16.7,0.000,0.000,0.000,399,486000,0.811,0.944,1218,321,9999-12-31,2013-05-08
15/8-1,3.0,3688,3697,22.2,0.000,0.000,0.000,408,657000,0.846,0.840,1610,321,9999-12-31,2013-05-08
15/8-1,4.0,3543,3653,22.2,0.000,0.000,0.000,290,550000,0.799,0.832,1897,321,9999-12-31,2013-05-08
15/9-1,1.0,3655,3660,19.0,0.000,0.000,0.000,211,40210,0.890,0.738,191,322,9999-12-31,2013-05-08
15/9-1,2.0,3602,3607,25.0,0.000,0.000,0.000,129,736242,0.780,0.703,5700,322,9999-12-31,2013-05-08
15/9-11,1.0,2797,2807,16.7,0.000,0.000,0.000,238,517000,0.750,0.730,2172,329,9999-12-31,2013-05-08
15/9-11,2.0,2432,2440,12.7,0.000,0.000,0.000,104,234000,0.750,0.720,2248,329,9999-12-31,2013-05-08
15/9-11,3.0,2395,2415,19.0,0.000,0.000,0.000,266,570000,0.750,0.734,2142,329,9999-12-31,2013-05-08
15/9-19 A,1.0,3099,3102,15.1,0.000,3.000,21.000,200,27000,0.892,0.738,90,3145,9999-12-31,2013-05-08
15/9-19 A,2.0,3046,3081,13.5,9.000,9.000,32.000,528,38107,0.902,0.730,72,3145,9999-12-31,2013-05-08
15/9-19 S,1.0,4316,0,12.7,0.000,11.000,0.000,680,0,0.870,0.740,98,2043,9999-12-31,2013-05-08
16/1-10,1.0,1920,1958,25.4,0.000,16.200,0.000,2,0,0.000,0.000,0,5879,9999-12-31,2013-05-08
16/1-10,2.0,1897,1910,12.7,6.000,17.000,0.000,338,35500,0.000,0.000,105,5879,9999-12-31,2013-05-08
16/1-11,1.0,0,0,24.0,0.000,0.000,0.000,525,0,0.000,0.000,0,6157,2012-07-21,2013-05-08
16/11-2,2.0,2251,2262,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,336,9999-12-31,2013-05-08
16/11-2,3.0,2231,2242,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,336,9999-12-31,2013-05-08
16/1-15,1.0,1926,1960,15.8,0.000,0.000,0.000,105,0,0.000,0.000,0,6517,9999-12-31,2013-05-08
16/1-15,2.0,1917,1920,15.8,0.000,0.000,0.000,620,0,0.000,0.000,0,6517,9999-12-31,2013-05-08
16/1-8 R,1.0,1945,1959,7.9,0.000,11.300,0.000,74,6400,0.000,0.000,87,6226,9999-12-31,2013-05-08
16/1-8 R,2.0,1926,1936,15.9,0.000,18.000,0.000,564,53000,0.000,0.000,94,6226,9999-12-31,2013-05-08
16/2-5,1.0,1885,1902,23.8,0.000,19.000,0.000,0,120000,0.000,0.000,0,6042,9999-12-31,2013-05-08
16/2-6,1.0,1932,1938,20.6,0.000,0.000,0.000,780,0,0.000,0.000,0,6374,9999-12-31,2013-05-08
16/7-4,1.0,2590,2597,16.7,0.000,0.000,0.000,199,385110,0.750,0.790,1938,91,9999-12-31,2013-05-08
16/7-4,2.0,2525,2535,16.7,0.000,0.000,0.000,253,472890,0.740,0.800,1871,91,9999-12-31,2013-05-08
16/7-7 S,1.0,2752,2785,17.4,15.600,0.000,0.000,513,0,0.740,0.940,517,3244,2012-07-21,2013-05-08
16/7-7 S,2.0,2852,2762,17.4,11.400,0.000,0.000,563,253350,0.740,0.940,450,3244,2012-07-21,2013-05-08
