cmpLongName,fldName,cmpRecoverableOil,cmpRecoverableGas,cmpRecoverableNGL,cmpRecoverableCondensate,cmpRecoverableOE,cmpRemainingOil,cmpRemainingGas,cmpRemainingNGL,cmpRemainingCondensate,cmpRemainingOE,cmpDateOffResEstDisplay,cmpShare,fldNpdidField,cmpNpdidCompany,dateSyncNPD
A/S Norske Shell,DRAUGEN,65.37,0.71,1.25,0.00,68.45,6.64,0.04,0.18,0.00,7.02,2012-12-31,44.56000,43758,562,2013-05-08
A/S Norske Shell,GJØA,1.39,3.92,1.04,0.00,7.30,0.77,3.34,0.91,0.00,5.84,2012-12-31,12.00000,4467574,562,2013-05-08
A/S Norske Shell,ORMEN LANGE,0.00,52.19,0.00,2.85,55.03,0.00,35.39,0.00,1.55,36.94,2012-12-31,17.03750,2762452,562,2013-05-08
A/S Norske Shell,TROLL,21.37,116.08,2.23,0.12,141.80,2.92,79.79,1.71,-0.23,85.73,2012-12-31,8.10145,46437,562,2013-05-08
Bayerngas Norge AS,OSELVAR,1.38,1.17,0.00,0.00,2.55,1.35,1.17,0.00,0.00,2.52,2012-12-31,30.00000,5506919,4444493,2013-05-08
Bayerngas Norge AS,TRYM,0.75,2.15,0.00,0.00,2.90,0.40,1.60,0.00,0.00,2.00,2012-12-31,50.00000,18081500,4444493,2013-05-08
Bayerngas Norge AS,VEGA,0.66,1.40,0.24,0.00,2.52,0.51,1.22,0.20,0.00,2.11,2012-12-31,10.00000,4467595,4444493,2013-05-08
Bayerngas Norge AS,VOLVE,0.87,0.08,0.02,0.01,1.00,0.10,0.01,0.00,0.00,0.11,2012-12-31,10.00000,3420717,4444493,2013-05-08
BG Norge AS,GAUPE,0.12,0.30,0.00,0.00,0.42,0.06,0.18,0.00,0.00,0.24,2012-12-31,60.00000,18161341,2747354,2013-05-08
BG Norge AS,KNARR,5.36,0.14,0.36,0.00,6.17,5.36,0.14,0.36,0.00,6.17,2012-12-31,45.00000,20460988,2747354,2013-05-08
BP Norge AS,HOD,3.90,0.68,0.15,0.00,4.86,0.34,0.08,0.04,0.00,0.48,2012-12-31,37.50000,43485,2052695,2013-05-08
BP Norge AS,SKARV,3.69,10.34,1.33,0.00,16.57,3.69,10.34,1.33,0.00,16.57,2012-12-31,23.83500,4704482,2052695,2013-05-08
BP Norge AS,TAMBAR,5.23,1.10,0.28,0.00,6.85,0.33,0.00,0.11,0.00,0.54,2012-12-31,55.00000,1028599,2052695,2013-05-08
BP Norge AS,TAMBAR ØST,0.14,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,2012-12-31,46.20000,4999528,2052695,2013-05-08
BP Norge AS,ULA,70.32,3.12,3.20,0.00,79.52,12.56,0.00,1.12,0.00,14.69,2012-12-31,80.00000,43800,2052695,2013-05-08
BP Norge AS,VALHALL,52.99,9.89,1.98,0.00,66.64,14.92,2.48,0.79,0.00,18.90,2012-12-31,35.95313,43548,2052695,2013-05-08
Centrica Resources (Norge) AS,ATLA,0.06,0.28,0.00,0.00,0.34,0.06,0.26,0.00,0.00,0.32,2012-12-31,20.00000,21106284,4238233,2013-05-08
Centrica Resources (Norge) AS,HEIMDAL,2.77,15.85,0.00,0.00,18.62,0.54,0.57,0.00,0.00,1.12,2012-12-31,33.79800,43590,4238233,2013-05-08
Centrica Resources (Norge) AS,KVITEBJØRN,5.19,16.93,2.19,0.00,26.27,1.86,9.46,1.54,0.00,14.25,2012-12-31,19.00000,1036101,4238233,2013-05-08
Centrica Resources (Norge) AS,LILLE-FRIGG,0.65,1.10,0.00,0.00,1.75,0.00,0.00,0.00,0.00,0.00,2012-12-31,50.00000,43583,4238233,2013-05-08
Centrica Resources (Norge) AS,SKIRNE,0.66,3.06,0.00,0.00,3.72,0.15,0.39,0.00,0.00,0.54,2012-12-31,30.00000,2138816,4238233,2013-05-08
Centrica Resources (Norge) AS,STATFJORD,131.91,17.90,5.32,0.25,160.16,0.99,2.64,1.41,0.14,6.45,2012-12-31,19.76464,43658,4238233,2013-05-08
Centrica Resources (Norge) AS,STATFJORD NORD,9.13,0.49,0.25,0.00,10.10,0.69,0.00,0.07,0.00,0.83,2012-12-31,23.12500,43679,4238233,2013-05-08
Centrica Resources (Norge) AS,STATFJORD ØST,4.26,0.46,0.24,0.00,5.18,0.08,0.01,0.09,0.00,0.27,2012-12-31,11.56250,43672,4238233,2013-05-08
Centrica Resources (Norge) AS,SYGNA,1.40,0.00,0.00,0.00,1.40,0.14,0.00,0.00,0.00,0.14,2012-12-31,12.71870,104718,4238233,2013-05-08
Centrica Resources (Norge) AS,VALE,1.82,1.74,0.00,0.00,3.56,0.83,0.98,0.00,0.00,1.82,2012-12-31,75.75700,1578893,4238233,2013-05-08
Centrica Resources (Norge) AS,VALEMON,0.64,3.39,0.17,0.00,4.35,0.64,3.39,0.17,0.00,4.35,2012-12-31,13.00000,20460969,4238233,2013-05-08
Centrica Resources (Norge) AS,ØST FRIGG,0.00,4.60,0.00,0.05,4.65,0.00,0.00,0.00,0.00,0.00,2012-12-31,50.00000,43576,4238233,2013-05-08
Chevron Norge AS,DRAUGEN,11.09,0.12,0.21,0.00,11.61,1.13,0.01,0.03,0.00,1.19,2012-12-31,7.56000,43758,3488906,2013-05-08
ConocoPhillips Skandinavia AS,ALBUSKJELL,2.60,5.48,0.35,0.00,8.74,0.00,0.00,0.00,0.00,0.00,2012-12-31,35.11200,43437,2410696,2013-05-08
ConocoPhillips Skandinavia AS,ALVHEIM,7.44,1.36,0.00,0.00,8.80,3.50,0.94,0.00,0.00,4.44,2012-12-31,20.00000,2845712,2410696,2013-05-08
ConocoPhillips Skandinavia AS,BØYLA,0.68,0.06,0.00,0.00,0.74,0.68,0.06,0.00,0.00,0.74,2012-12-31,20.00000,22492497,2410696,2013-05-08
ConocoPhillips Skandinavia AS,COD,1.02,2.56,0.18,0.00,3.91,0.00,0.00,0.00,0.00,0.00,2012-12-31,35.11200,43785,2410696,2013-05-08
ConocoPhillips Skandinavia AS,EDDA,1.69,0.70,0.07,0.00,2.52,0.00,0.00,0.00,0.00,0.00,2012-12-31,35.11200,43541,2410696,2013-05-08
ConocoPhillips Skandinavia AS,EKOFISK,199.86,57.76,5.34,0.00,267.76,45.58,8.01,0.77,0.00,55.05,2012-12-31,35.11200,43506,2410696,2013-05-08
ConocoPhillips Skandinavia AS,ELDFISK,48.42,15.73,1.44,0.00,66.88,13.10,1.90,0.07,0.00,15.13,2012-12-31,35.11200,43527,2410696,2013-05-08
ConocoPhillips Skandinavia AS,EMBLA,4.18,2.63,0.25,0.00,7.28,0.53,1.26,0.11,0.00,1.99,2012-12-31,35.11200,43534,2410696,2013-05-08
ConocoPhillips Skandinavia AS,GIMLE,0.17,0.08,0.02,0.00,0.29,0.02,0.06,0.01,0.00,0.10,2012-12-31,5.78500,4005142,2410696,2013-05-08
ConocoPhillips Skandinavia AS,GRANE,7.69,0.00,0.00,0.00,7.69,2.23,0.00,0.00,0.00,2.23,2012-12-31,6.17440,1035937,2410696,2013-05-08
ConocoPhillips Skandinavia AS,HEIDRUN,44.27,11.30,0.53,0.00,56.59,9.75,7.61,0.41,0.00,18.14,2012-12-31,24.31055,43771,2410696,2013-05-08
ConocoPhillips Skandinavia AS,HULDRA,1.19,4.08,0.02,0.00,5.32,0.00,0.16,0.00,0.00,0.16,2012-12-31,23.33625,97002,2410696,2013-05-08
ConocoPhillips Skandinavia AS,OSEBERG,9.23,2.50,0.29,0.00,12.28,0.54,1.66,0.09,0.00,2.38,2012-12-31,2.40000,43625,2410696,2013-05-08
ConocoPhillips Skandinavia AS,OSEBERG SØR,1.46,0.38,0.04,0.00,1.92,0.41,0.19,0.04,0.00,0.68,2012-12-31,2.40000,43645,2410696,2013-05-08
ConocoPhillips Skandinavia AS,OSEBERG ØST,0.64,0.01,0.01,0.00,0.66,0.19,0.00,0.01,0.00,0.21,2012-12-31,2.40000,43639,2410696,2013-05-08
ConocoPhillips Skandinavia AS,TOMMELITEN GAMMA,1.10,2.74,0.14,0.00,4.11,0.00,0.00,0.00,0.00,0.00,2012-12-31,28.26000,43444,2410696,2013-05-08
ConocoPhillips Skandinavia AS,TOR,7.45,3.34,0.37,0.00,11.49,0.12,0.03,0.00,0.00,0.15,2012-12-31,30.65799,43520,2410696,2013-05-08
ConocoPhillips Skandinavia AS,TROLL,4.28,23.26,0.45,0.02,28.42,0.58,15.99,0.34,-0.05,17.18,2012-12-31,1.62374,46437,2410696,2013-05-08
ConocoPhillips Skandinavia AS,VEST EKOFISK,4.28,9.13,0.49,0.00,14.35,0.00,0.00,0.00,0.00,0.00,2012-12-31,35.11200,43513,2410696,2013-05-08
ConocoPhillips Skandinavia AS,VISUND,3.08,4.67,0.58,0.00,8.86,1.05,4.03,0.55,0.00,6.12,2012-12-31,9.10000,43745,2410696,2013-05-08
ConocoPhillips Skandinavia AS,VISUND SØR,0.25,0.66,0.08,0.00,1.07,0.25,0.66,0.08,0.00,1.07,2012-12-31,9.10000,20461008,2410696,2013-05-08
Core Energy AS,BRAGE,7.27,0.55,0.18,0.00,8.17,0.49,0.15,0.04,0.00,0.71,2012-12-31,12.25750,43651,20460080,2013-05-08
Core Energy AS,HYME,0.56,0.09,0.04,0.00,0.71,0.56,0.09,0.04,0.00,0.71,2012-12-31,17.50000,20474183,20460080,2013-05-08
Core Energy AS,SNORRE,2.59,0.07,0.05,0.00,2.76,0.67,0.00,0.00,0.00,0.67,2012-12-31,1.03840,43718,20460080,2013-05-08
Dana Petroleum Norway AS,JOTUN,10.53,0.50,0.00,0.00,11.03,0.32,0.09,0.00,0.00,0.41,2012-12-31,45.00000,43604,4526555,2013-05-08
Dana Petroleum Norway AS,LILLE-FRIGG,0.13,0.22,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.00,2012-12-31,10.00000,43583,4526555,2013-05-08
Dana Petroleum Norway AS,ØST FRIGG,0.00,0.92,0.00,0.01,0.93,0.00,0.00,0.00,0.00,0.00,2012-12-31,10.00000,43576,4526555,2013-05-08
Det norske oljeselskap ASA,ATLA,0.03,0.14,0.00,0.00,0.17,0.03,0.13,0.00,0.00,0.16,2012-12-31,10.00000,21106284,17342870,2013-05-08
Det norske oljeselskap ASA,ENOCH,0.04,0.00,0.00,0.00,0.04,0.01,0.00,0.00,0.00,0.01,2012-12-31,2.00000,3437659,17342870,2013-05-08
Det norske oljeselskap ASA,FRØY,2.80,0.80,0.00,0.05,3.65,0.00,0.00,0.00,0.00,0.00,2012-12-31,50.00000,43597,17342870,2013-05-08
Det norske oljeselskap ASA,GLITNE,0.89,0.00,0.00,0.00,0.89,0.00,0.00,0.00,0.00,0.00,2012-12-31,10.00000,1272071,17342870,2013-05-08
Det norske oljeselskap ASA,JETTE,1.05,0.07,0.00,0.00,1.12,1.05,0.07,0.00,0.00,1.12,2012-12-31,70.00000,21613906,17342870,2013-05-08
Det norske oljeselskap ASA,JOTUN,1.64,0.08,0.00,0.00,1.72,0.05,0.01,0.00,0.00,0.06,2012-12-31,7.00000,43604,17342870,2013-05-08
Det norske oljeselskap ASA,LILLE-FRIGG,0.20,0.33,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.00,2012-12-31,15.00000,43583,17342870,2013-05-08
Det norske oljeselskap ASA,VARG,0.82,0.06,0.05,0.00,0.97,0.07,0.06,0.05,0.00,0.22,2012-12-31,5.00000,43451,17342870,2013-05-08
Det norske oljeselskap ASA,ØST FRIGG,0.00,1.38,0.00,0.02,1.40,0.00,0.00,0.00,0.00,0.00,2012-12-31,15.00000,43576,17342870,2013-05-08
DONG E&P Norge AS,ALVE,0.29,0.86,0.17,0.00,1.45,0.12,0.41,0.09,0.00,0.70,2012-12-31,15.00000,4444332,4070011,2013-05-08
DONG E&P Norge AS,GYDA,12.41,2.28,0.68,0.00,15.98,0.31,0.17,0.03,0.00,0.54,2012-12-31,34.00000,43492,4070011,2013-05-08
DONG E&P Norge AS,MARULK,0.21,2.52,0.27,0.00,3.24,0.18,2.34,0.27,0.00,3.03,2012-12-31,30.00000,18212090,4070011,2013-05-08
DONG E&P Norge AS,ORMEN LANGE,0.00,31.68,0.00,1.73,33.40,0.00,21.48,0.00,0.94,22.42,2012-12-31,10.34200,2762452,4070011,2013-05-08
DONG E&P Norge AS,OSELVAR,2.53,2.15,0.00,0.00,4.68,2.48,2.15,0.00,0.00,4.62,2012-12-31,55.00000,5506919,4070011,2013-05-08
DONG E&P Norge AS,TAMBAR,4.28,0.90,0.23,0.00,5.60,0.27,0.00,0.09,0.00,0.44,2012-12-31,45.00000,1028599,4070011,2013-05-08
DONG E&P Norge AS,TAMBAR ØST,0.13,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,2012-12-31,43.24000,4999528,4070011,2013-05-08
DONG E&P Norge AS,TRYM,0.75,2.15,0.00,0.00,2.90,0.40,1.60,0.00,0.00,2.00,2012-12-31,50.00000,18081500,4070011,2013-05-08
DONG E&P Norge AS,ULA,17.58,0.78,0.80,0.00,19.88,3.14,0.00,0.28,0.00,3.67,2012-12-31,20.00000,43800,4070011,2013-05-08
E.ON E&P Norge AS,HYME,0.56,0.09,0.04,0.00,0.71,0.56,0.09,0.04,0.00,0.71,2012-12-31,17.50000,20474183,21631209,2013-05-08
E.ON E&P Norge AS,NJORD,8.55,5.16,1.17,0.00,15.93,0.90,2.82,0.63,0.00,4.92,2012-12-31,30.00000,43751,21631209,2013-05-08
E.ON E&P Norge AS,SKARV,4.35,12.19,1.57,0.00,19.53,4.35,12.19,1.57,0.00,19.53,2012-12-31,28.08250,4704482,21631209,2013-05-08
Eni Norge AS,ALBUSKJELL,0.92,1.93,0.12,0.00,3.08,0.00,0.00,0.00,0.00,0.00,2012-12-31,12.38800,43437,2388594,2013-05-08
Eni Norge AS,COD,0.36,0.90,0.06,0.00,1.38,0.00,0.00,0.00,0.00,0.00,2012-12-31,12.38800,43785,2388594,2013-05-08
Eni Norge AS,EDDA,0.59,0.25,0.02,0.00,0.89,0.00,0.00,0.00,0.00,0.00,2012-12-31,12.38800,43541,2388594,2013-05-08
Eni Norge AS,EKOFISK,70.51,20.38,1.88,0.00,94.47,16.08,2.82,0.27,0.00,19.42,2012-12-31,12.38800,43506,2388594,2013-05-08
Eni Norge AS,ELDFISK,17.08,5.55,0.51,0.00,23.60,4.62,0.67,0.02,0.00,5.34,2012-12-31,12.38800,43527,2388594,2013-05-08
Eni Norge AS,EMBLA,1.47,0.93,0.09,0.00,2.57,0.19,0.45,0.04,0.00,0.70,2012-12-31,12.38800,43534,2388594,2013-05-08
Eni Norge AS,GOLIAT,19.63,4.75,0.20,0.00,24.75,19.63,4.75,0.20,0.00,24.75,2012-12-31,65.00000,5774394,2388594,2013-05-08
Eni Norge AS,HEIDRUN,9.32,2.38,0.11,0.00,11.92,2.05,1.60,0.09,0.00,3.82,2012-12-31,5.11937,43771,2388594,2013-05-08
Eni Norge AS,KRISTIN,1.89,2.37,0.52,0.17,5.42,0.49,0.80,0.19,0.00,1.66,2012-12-31,8.24780,1854729,2388594,2013-05-08
Eni Norge AS,MARULK,0.14,1.68,0.18,0.00,2.16,0.12,1.56,0.18,0.00,2.02,2012-12-31,20.00000,18212090,2388594,2013-05-08
Eni Norge AS,MIKKEL,0.98,4.68,1.28,0.33,8.42,0.49,2.35,0.66,0.00,4.09,2012-12-31,14.90000,1630514,2388594,2013-05-08
Eni Norge AS,MORVIN,2.79,1.35,0.33,0.00,4.77,1.68,1.35,0.33,0.00,3.66,2012-12-31,30.00000,4966234,2388594,2013-05-08
Eni Norge AS,NORNE,6.27,0.83,0.11,0.00,7.30,0.26,0.37,0.06,0.00,0.74,2012-12-31,6.90000,43778,2388594,2013-05-08
Eni Norge AS,SKULD,1.54,0.07,0.01,0.00,1.63,1.54,0.07,0.01,0.00,1.63,2012-12-31,11.50000,21350124,2388594,2013-05-08
Eni Norge AS,TOMMELITEN GAMMA,0.36,0.89,0.05,0.00,1.33,0.00,0.00,0.00,0.00,0.00,2012-12-31,9.13000,43444,2388594,2013-05-08
Eni Norge AS,TOR,2.63,1.18,0.13,0.00,4.05,0.04,0.01,0.00,0.00,0.05,2012-12-31,10.81656,43520,2388594,2013-05-08
Eni Norge AS,TYRIHANS,2.02,2.60,0.68,0.00,5.91,1.03,2.55,0.67,0.00,4.84,2012-12-31,6.23220,3960848,2388594,2013-05-08
Eni Norge AS,URD,0.81,0.02,0.00,0.00,0.83,0.23,0.00,0.00,0.00,0.23,2012-12-31,11.50000,2834734,2388594,2013-05-08
Eni Norge AS,VEST EKOFISK,1.51,3.22,0.17,0.00,5.06,0.00,0.00,0.00,0.00,0.00,2012-12-31,12.38800,43513,2388594,2013-05-08
Eni Norge AS,YTTERGRYTA,0.03,0.22,0.04,0.00,0.32,0.00,0.10,0.02,0.00,0.14,2012-12-31,9.80000,4973114,2388594,2013-05-08
Eni Norge AS,ÅSGARD,14.88,30.78,5.84,2.53,59.29,2.76,12.46,2.49,0.00,19.95,2012-12-31,14.82000,43765,2388594,2013-05-08
Enterprise Oil Norge AS,KVITEBJØRN,1.76,5.75,0.74,0.00,8.92,0.63,3.21,0.52,0.00,4.84,2012-12-31,6.45000,1036101,1853786,2013-05-08
Enterprise Oil Norge AS,VALEMON,0.16,0.84,0.04,0.00,1.08,0.16,0.84,0.04,0.00,1.08,2012-12-31,3.22500,20460969,1853786,2013-05-08
ExxonMobil Exploration & Production Norway AS,BALDER,72.10,2.00,0.00,0.00,74.10,16.20,0.60,0.00,0.00,16.80,2012-12-31,100.00000,43562,2835212,2013-05-08
ExxonMobil Exploration & Production Norway AS,FRAM,7.68,2.20,0.15,0.00,10.16,1.48,1.58,0.10,0.00,3.24,2012-12-31,25.00000,1578840,2835212,2013-05-08
ExxonMobil Exploration & Production Norway AS,GRANE,35.17,0.00,0.00,0.00,35.17,10.19,0.00,0.00,0.00,10.19,2012-12-31,28.22260,1035937,2835212,2013-05-08
ExxonMobil Exploration & Production Norway AS,GUNGNE,0.00,4.26,0.62,1.32,6.74,0.00,0.36,0.08,0.11,0.64,2012-12-31,28.00000,43464,2835212,2013-05-08
ExxonMobil Exploration & Production Norway AS,JOTUN,10.53,0.50,0.00,0.00,11.03,0.32,0.09,0.00,0.00,0.41,2012-12-31,45.00000,43604,2835212,2013-05-08
ExxonMobil Exploration & Production Norway AS,KRISTIN,2.49,3.12,0.69,0.23,7.14,0.65,1.05,0.25,0.00,2.18,2012-12-31,10.87610,1854729,2835212,2013-05-08
ExxonMobil Exploration & Production Norway AS,MIKKEL,2.21,10.51,2.88,0.74,18.93,1.10,5.29,1.47,0.00,9.19,2012-12-31,33.48000,1630514,2835212,2013-05-08
ExxonMobil Exploration & Production Norway AS,ORMEN LANGE,0.00,22.14,0.00,1.21,23.35,0.00,15.01,0.00,0.66,15.67,2012-12-31,7.22860,2762452,2835212,2013-05-08
ExxonMobil Exploration & Production Norway AS,RINGHORNE ØST,11.99,0.31,0.00,0.00,12.30,4.87,0.08,0.00,0.00,4.95,2012-12-31,77.38000,3505505,2835212,2013-05-08
ExxonMobil Exploration & Production Norway AS,SIGYN,0.00,2.76,1.04,2.56,7.30,0.00,0.28,0.08,0.24,0.67,2012-12-31,40.00000,1630100,2835212,2013-05-08
ExxonMobil Exploration & Production Norway AS,SLEIPNER VEST,0.00,42.98,3.06,10.61,59.40,0.00,6.38,0.48,1.45,8.75,2012-12-31,32.23936,43457,2835212,2013-05-08
ExxonMobil Exploration & Production Norway AS,SLEIPNER ØST,0.00,20.61,4.10,8.21,36.62,0.00,0.46,0.12,0.06,0.75,2012-12-31,30.40000,43478,2835212,2013-05-08
ExxonMobil Exploration & Production Norway AS,SNORRE,44.39,1.17,0.83,0.00,47.15,11.39,0.05,0.02,0.00,11.47,2012-12-31,17.76350,43718,2835212,2013-05-08
ExxonMobil Exploration & Production Norway AS,STATFJORD,142.60,19.35,5.75,0.27,173.15,1.07,2.85,1.52,0.15,6.97,2012-12-31,21.36717,43658,2835212,2013-05-08
ExxonMobil Exploration & Production Norway AS,STATFJORD NORD,9.88,0.53,0.28,0.00,10.92,0.75,0.00,0.08,0.00,0.89,2012-12-31,25.00000,43679,2835212,2013-05-08
ExxonMobil Exploration & Production Norway AS,STATFJORD ØST,7.56,0.82,0.43,0.00,9.20,0.14,0.02,0.16,0.00,0.48,2012-12-31,20.55000,43672,2835212,2013-05-08
ExxonMobil Exploration & Production Norway AS,SVALIN,1.57,0.00,0.00,0.00,1.57,1.57,0.00,0.00,0.00,1.57,2012-12-31,13.00000,22507971,2835212,2013-05-08
ExxonMobil Exploration & Production Norway AS,SYGNA,2.31,0.00,0.00,0.00,2.31,0.23,0.00,0.00,0.00,0.23,2012-12-31,20.99500,104718,2835212,2013-05-08
ExxonMobil Exploration & Production Norway AS,TORDIS,9.85,0.74,0.29,0.00,11.14,0.97,0.06,0.03,0.00,1.09,2012-12-31,16.10000,43725,2835212,2013-05-08
ExxonMobil Exploration & Production Norway AS,TYRIHANS,3.82,4.92,1.28,0.00,11.18,1.94,4.82,1.26,0.00,9.16,2012-12-31,11.78690,3960848,2835212,2013-05-08
ExxonMobil Exploration & Production Norway AS,VIGDIS,10.72,0.31,0.19,0.00,11.40,2.42,0.03,0.05,0.00,2.54,2012-12-31,16.10000,43732,2835212,2013-05-08
ExxonMobil Exploration & Production Norway AS,VOLVE,2.64,0.24,0.06,0.03,3.03,0.30,0.03,0.00,0.00,0.33,2012-12-31,30.40000,3420717,2835212,2013-05-08
ExxonMobil Exploration & Production Norway AS,ÅSGARD,7.27,15.04,2.85,1.24,28.96,1.35,6.09,1.22,0.00,9.75,2012-12-31,7.24000,43765,2835212,2013-05-08
Faroe Petroleum Norge AS,BRAGE,8.45,0.64,0.21,0.00,9.50,0.57,0.17,0.04,0.00,0.82,2012-12-31,14.25670,43651,4062883,2013-05-08
Faroe Petroleum Norge AS,ENOCH,0.04,0.00,0.00,0.00,0.04,0.01,0.00,0.00,0.00,0.01,2012-12-31,1.86000,3437659,4062883,2013-05-08
Faroe Petroleum Norge AS,GLITNE,0.83,0.00,0.00,0.00,0.83,0.00,0.00,0.00,0.00,0.00,2012-12-31,9.30000,1272071,4062883,2013-05-08
Faroe Petroleum Norge AS,HYME,0.24,0.04,0.02,0.00,0.31,0.24,0.04,0.02,0.00,0.31,2012-12-31,7.50000,20474183,4062883,2013-05-08
Faroe Petroleum Norge AS,JOTUN,0.70,0.03,0.00,0.00,0.74,0.02,0.01,0.00,0.00,0.03,2012-12-31,3.00000,43604,4062883,2013-05-08
Faroe Petroleum Norge AS,NJORD,2.14,1.29,0.29,0.00,3.98,0.23,0.71,0.16,0.00,1.23,2012-12-31,7.50000,43751,4062883,2013-05-08
Faroe Petroleum Norge AS,RINGHORNE ØST,1.21,0.03,0.00,0.00,1.24,0.49,0.01,0.00,0.00,0.50,2012-12-31,7.80000,3505505,4062883,2013-05-08
GDF SUEZ E&P Norge AS,FRAM,4.61,1.32,0.09,0.00,6.10,0.89,0.95,0.06,0.00,1.94,2012-12-31,15.00000,1578840,5267845,2013-05-08
GDF SUEZ E&P Norge AS,GJØA,3.48,9.81,2.61,0.00,18.25,1.92,8.34,2.28,0.00,14.59,2012-12-31,30.00000,4467574,5267845,2013-05-08
GDF SUEZ E&P Norge AS,GUDRUN,2.93,1.60,0.33,0.00,5.14,2.93,1.60,0.33,0.00,5.14,2012-12-31,25.00000,18116481,5267845,2013-05-08
GDF SUEZ E&P Norge AS,HYME,0.64,0.10,0.04,0.00,0.82,0.64,0.10,0.04,0.00,0.82,2012-12-31,20.00000,20474183,5267845,2013-05-08
GDF SUEZ E&P Norge AS,NJORD,11.40,6.88,1.56,0.00,21.24,1.20,3.76,0.84,0.00,6.56,2012-12-31,40.00000,43751,5267845,2013-05-08
GDF SUEZ E&P Norge AS,SNØHVIT,0.00,21.20,0.77,2.71,25.38,0.00,18.83,0.65,2.28,22.34,2012-12-31,12.00000,2053062,5267845,2013-05-08
GDF SUEZ E&P Norge AS,VEGA,0.40,0.84,0.14,0.00,1.51,0.31,0.73,0.12,0.00,1.27,2012-12-31,6.00000,4467595,5267845,2013-05-08
Hess Norge AS,HOD,6.50,1.13,0.25,0.00,8.10,0.56,0.13,0.06,0.00,0.81,2012-12-31,62.50000,43485,4038735,2013-05-08
Hess Norge AS,VALHALL,94.41,17.61,3.52,0.00,118.71,26.58,4.42,1.41,0.00,33.68,2012-12-31,64.04688,43548,4038735,2013-05-08
Idemitsu Petroleum Norge AS,FRAM,4.61,1.32,0.09,0.00,6.10,0.89,0.95,0.06,0.00,1.94,2012-12-31,15.00000,1578840,441,2013-05-08
Idemitsu Petroleum Norge AS,KNARR,2.98,0.08,0.20,0.00,3.43,2.98,0.08,0.20,0.00,3.43,2012-12-31,25.00000,20460988,441,2013-05-08
Idemitsu Petroleum Norge AS,SNORRE,23.99,0.63,0.45,0.00,25.48,6.15,0.03,0.01,0.00,6.20,2012-12-31,9.60000,43718,441,2013-05-08
Idemitsu Petroleum Norge AS,STATFJORD ØST,1.77,0.19,0.10,0.00,2.15,0.03,0.00,0.04,0.00,0.11,2012-12-31,4.80000,43672,441,2013-05-08
Idemitsu Petroleum Norge AS,SYGNA,0.48,0.00,0.00,0.00,0.48,0.05,0.00,0.00,0.00,0.05,2012-12-31,4.32000,104718,441,2013-05-08
Idemitsu Petroleum Norge AS,TORDIS,5.88,0.44,0.17,0.00,6.65,0.58,0.04,0.02,0.00,0.65,2012-12-31,9.60000,43725,441,2013-05-08
Idemitsu Petroleum Norge AS,VEGA,0.40,0.84,0.14,0.00,1.51,0.31,0.73,0.12,0.00,1.27,2012-12-31,6.00000,4467595,441,2013-05-08
Idemitsu Petroleum Norge AS,VIGDIS,6.39,0.18,0.12,0.00,6.79,1.44,0.02,0.03,0.00,1.51,2012-12-31,9.60000,43732,441,2013-05-08
Lotos Exploration and Production Norge AS,YME,4.40,0.00,0.00,0.00,4.40,2.82,0.00,0.00,0.00,2.82,2012-12-31,20.00000,43807,5064434,2013-05-08
Lundin Norway AS,ALVHEIM,5.58,1.02,0.00,0.00,6.60,2.63,0.71,0.00,0.00,3.33,2012-12-31,15.00000,2845712,2767314,2013-05-08
Lundin Norway AS,BRYNHILD,3.24,0.00,0.00,0.00,3.24,3.24,0.00,0.00,0.00,3.24,2012-12-31,90.00000,21123063,2767314,2013-05-08
Lundin Norway AS,BØYLA,0.51,0.05,0.00,0.00,0.56,0.51,0.05,0.00,0.00,0.56,2012-12-31,15.00000,22492497,2767314,2013-05-08
Lundin Norway AS,EDVARD GRIEG,13.10,0.90,0.30,0.00,14.57,13.10,0.90,0.30,0.00,14.57,2012-12-31,50.00000,21675433,2767314,2013-05-08
Lundin Norway AS,GAUPE,0.08,0.20,0.00,0.00,0.28,0.04,0.12,0.00,0.00,0.16,2012-12-31,40.00000,18161341,2767314,2013-05-08
Lundin Norway AS,MIME,0.16,0.04,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,2012-12-31,40.00000,43792,2767314,2013-05-08
Lundin Norway AS,VOLUND,3.01,0.32,0.00,0.00,3.33,1.40,0.18,0.00,0.00,1.58,2012-12-31,35.00000,4380167,2767314,2013-05-08
Marathon Oil Norge AS,ALVHEIM,24.18,4.42,0.00,0.00,28.60,11.38,3.06,0.00,0.00,14.43,2012-12-31,65.00000,2845712,20485291,2013-05-08
Marathon Oil Norge AS,BØYLA,2.21,0.20,0.00,0.00,2.41,2.21,0.20,0.00,0.00,2.41,2012-12-31,65.00000,22492497,20485291,2013-05-08
Marathon Oil Norge AS,VILJE,6.38,0.00,0.00,0.00,6.38,2.91,0.00,0.00,0.00,2.91,2012-12-31,46.90400,3392471,20485291,2013-05-08
