fclNpdidFacility,fclSurface,fclCurrentOperatorName,fclName,fclKind,fclBelongsToName,fclBelongsToKind,fclBelongsToS,fclStartupDate,fclWaterDepth,fclFunctions,fclDesignLifetime,fclFactPageUrl,fclFactMapUrl,fclPointGeometryWKT
429055,"N","ExxonMobil Exploration & Production Norway AS","25/11-A-22 H","SINGLE WELL TEMPLATE","BALDER","FIELD","43562",2014-02-25,"127.0","OIL PRODUCER","0","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=429055","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=429055","POINT(2.358764 59.19095)"
285441,"N","Statoil Petroleum AS","31/2-D-7 H","SINGLE WELL TEMPLATE","TROLL","FIELD","46437",1996-04-19,"338.000","OIL PRODUCER","27","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=285441","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=285441","POINT(3.442831 60.855839)"
285469,"N","Statoil Petroleum AS","31/2-D-8 H","SINGLE WELL TEMPLATE","TROLL","FIELD","46437",1995-09-25,"330.000","OIL PRODUCER","27","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=285469","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=285469","POINT(3.445467 60.855228)"
285497,"N","Statoil Petroleum AS","31/2-E-1 H","SINGLE WELL TEMPLATE","TROLL","FIELD","46437",1995-09-19,"317.000","OIL PRODUCER","27","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=285497","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=285497","POINT(3.443517 60.800347)"
285525,"N","Statoil Petroleum AS","31/2-E-3 H","SINGLE WELL TEMPLATE","TROLL","FIELD","46437",2003-04-01,"330.000","OIL PRODUCER","25","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=285525","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=285525","POINT(3.449375 60.799811)"
285553,"N","Statoil Petroleum AS","31/2-E-5 H","SINGLE WELL TEMPLATE","TROLL","FIELD","46437",1996-04-12,"318.000","OIL PRODUCER","27","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=285553","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=285553","POINT(3.442958 60.797894)"
285581,"N","Statoil Petroleum AS","31/2-E-6 H","SINGLE WELL TEMPLATE","TROLL","FIELD","46437",1997-04-18,"330.000","OIL PRODUCER","27","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=285581","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=285581","POINT(3.445294 60.797594)"
285609,"N","Statoil Petroleum AS","31/2-F-1 H","SINGLE WELL TEMPLATE","TROLL","FIELD","46437",1996-10-19,"317.000","OIL PRODUCER","27","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=285609","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=285609","POINT(3.435886 60.776789)"
285637,"N","Statoil Petroleum AS","31/2-F-4 H","SINGLE WELL TEMPLATE","TROLL","FIELD","46437",1997-04-13,"330.000","OIL PRODUCER","27","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=285637","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=285637","POINT(3.434653 60.775447)"
285665,"N","Statoil Petroleum AS","31/2-F-5 H","SINGLE WELL TEMPLATE","TROLL","FIELD","46437",1995-09-23,"317.000","OIL PRODUCER","27","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=285665","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=285665","POINT(3.424139 60.766722)"
285693,"N","Statoil Petroleum AS","31/2-F-6 H","SINGLE WELL TEMPLATE","TROLL","FIELD","46437",1995-09-23,"330.000","OIL PRODUCER","27","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=285693","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=285693","POINT(3.437953 60.774483)"
285721,"N","Statoil Petroleum AS","31/2-G-1 H","SINGLE WELL TEMPLATE","TROLL","FIELD","46437",1996-12-03,"330.000","OIL PRODUCER","27","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=285721","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=285721","POINT(3.439494 60.751311)"
285777,"N","Statoil Petroleum AS","31/2-G-3 H","SINGLE WELL TEMPLATE","TROLL","FIELD","46437",1995-09-21,"330.000","OIL PRODUCER","27","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=285777","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=285777","POINT(3.441039 60.755322)"
285805,"N","Statoil Petroleum AS","31/2-G-4 H","SINGLE WELL TEMPLATE","TROLL","FIELD","46437",1995-09-22,"330.000","OIL PRODUCER","27","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=285805","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=285805","POINT(3.439381 60.752603)"
285833,"N","Statoil Petroleum AS","31/2-G-6 H","SINGLE WELL TEMPLATE","TROLL","FIELD","46437",1995-12-10,"317.000","OIL PRODUCER","27","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=285833","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=285833","POINT(3.443333 60.752408)"
285861,"N","Statoil Petroleum AS","31/5-H-1 H","SINGLE WELL TEMPLATE","TROLL","FIELD","46437",1996-09-01,"317.000","OIL PRODUCER","27","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=285861","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=285861","POINT(3.510936 60.716108)"
285889,"N","Statoil Petroleum AS","31/5-H-2 H","SINGLE WELL TEMPLATE","TROLL","FIELD","46437",1997-01-19,"317.000","OIL PRODUCER","27","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=285889","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=285889","POINT(3.513231 60.730292)"
285917,"N","Statoil Petroleum AS","31/5-H-3 H","SINGLE WELL TEMPLATE","TROLL","FIELD","46437",1997-07-15,"317.000","OIL PRODUCER","27","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=285917","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=285917","POINT(3.513711 60.714264)"
285945,"N","Statoil Petroleum AS","31/5-H-4 H","SINGLE WELL TEMPLATE","TROLL","FIELD","46437",1996-09-04,"317.000","OIL PRODUCER","27","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=285945","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=285945","POINT(3.507353 60.715319)"
285973,"N","Statoil Petroleum AS","31/5-H-5 H","SINGLE WELL TEMPLATE","TROLL","FIELD","46437",1996-01-01,"317.000","OIL PRODUCER","27","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=285973","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=285973","POINT(3.506814 60.714514)"
286001,"N","Statoil Petroleum AS","31/5-H-6 H","SINGLE WELL TEMPLATE","TROLL","FIELD","46437",1995-12-23,"317.000","OIL PRODUCER","27","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=286001","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=286001","POINT(3.509433 60.713014)"
286057,"N","Statoil Petroleum AS","31/3-Q-21 H","SINGLE WELL TEMPLATE","TROLL","FIELD","46437",2004-04-01,"333.000","OIL PRODUCER","25","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=286057","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=286057","POINT(3.716522 60.831994)"
286085,"N","Statoil Petroleum AS","31/5-I-32 H","MULTI WELL TEMPLATE","TROLL","FIELD","46437",2003-03-01,"315.000","OIL PRODUCER","25","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=286085","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=286085","POINT(3.5987 60.716678)"
341363,"N","Statoil Petroleum AS","31/2-E-4 H","SINGLE WELL TEMPLATE","TROLL","FIELD","46437",1995-09-19,"330.000","OIL PRODUCER","27","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=341363","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=341363","POINT(3.442178 60.798944)"
