apaMap_no,apaAreaGeometryEWKT,apaAreaGeometry_KML_WGS84
"999","MULTIPOLYGON(((18.6666666666667 70.6000000000001,18.6666666666667 70.7500000000001,18.6666666666667 71,19.0000000000001 71,19.3333333333334 71,19.3333333333334 71.2499999999999,19.6666666666666 71.2499999999999,19.6666666666666 71.5000000000001,19.6666666666666 71.7500000000001,20.0000000000001 71.7500000000001,20.0000000000001 72,20.3333333333334 72,20.6666666666668 72,21 72,21.3333333333334 72,21.6666666666668 72,21.6666666666668 72.2500000000001,22 72.2500000000001,22.3333333333334 72.2500000000001,22.6666666666661 72.2500000000001,22.9999999999999 72.2500000000001,22.9999999999999 72,23.333333333333 72,23.666666666666 72,24.0000000000001 72,24.3333333333333 72,24.6666666666667 72,25.0000000000001 72,25.3333333333333 72,25.3333333333333 71.7500000000001,25.666666666666 71.7500000000001,26.0000000000001 71.7500000000001,26.0000000000001 71.6333333333334,26.0000000000001 71.5000000000001,25.7166666666668 71.5000000000001,25.4333333333335 71.5000000000001,25.3333333333333 71.5000000000001,25.3333333333333 71.4833333333334,25.1333333333334 71.4833333333334,25.1166666666667 71.4833333333334,25.1166666666667 71.4666666666667,24.9333333333333 71.4666666666667,24.9 71.4666666666667,24.9 71.45,24.6833333333334 71.45,24.6666666666667 71.45,24.6666666666667 71.4333333333333,24.4000000000001 71.4333333333333,24.15 71.4333333333333,24.15 71.4166666666666,24.116666666666 71.4166666666666,23.8500000000001 71.4166666666666,23.75 71.4166666666666,23.75 71.4,23.6 71.4,23.6 71.3833333333334,23.5666666666666 71.3833333333334,23.4833333333333 71.3833333333334,23.4833333333333 71.3666666666668,23.4000000000001 71.3666666666668,23.4000000000001 71.3500000000001,23.3166666666667 71.3500000000001,23.3166666666667 71.3333333333334,23.2833333333333 71.3333333333334,23.2333333333334 71.3333333333334,23.2333333333334 71.3166666666667,23.15 71.3166666666667,23.15 71.3,23.1000000000001 71.3,23.066666666666 71.3,23.0666666666667 71.2833333333334,22.9999999999999 71.2833333333334,22.9999999999999 71.2499999999999,22.8166666666668 71.2499999999999,22.8166666666668 71.2333333333333,22.7333333333333 71.2333333333335,22.7333333333333 71.2166666666668,22.6999999999999 71.2166666666668,22.6666666666667 71.2166666666668,22.6666666666667 71.2000000000001,22.5833333333333 71.2000000000001,22.5833333333333 71.1833333333334,22.5000000000001 71.1833333333334,22.5000000000001 71.1666666666667,22.4333333333333 71.1666666666667,22.4166666666668 71.1666666666667,22.4166666666668 71.15,22.3333333333334 71.15,22.3333333333334 71.1333333333333,22.2666666666667 71.1333333333333,22.2666666666667 71.1166666666666,22.2 71.1166666666666,22.1833333333334 71.1166666666666,22.1833333333334 71.1000000000001,22.1166666666668 71.1000000000001,22.1166666666668 71.0833333333334,22.0333333333334 71.0833333333334,22.0333333333334 71.0666666666668,21.9666666666666 71.0666666666668,21.9666666666666 71.0500000000001,21.9500000000001 71.0500000000001,21.8833333333334 71.0500000000001,21.8833333333334 71.0333333333334,21.8166666666668 71.0333333333334,21.8166666666668 71.0166666666667,21.7333333333333 71.0166666666667,21.733333333333 71,21.6666666666668 71,21.6666666666668 70.9833333333333,21.5833333333334 70.9833333333333,21.5833333333334 70.9666666666668,21.5000000000001 70.9666666666668,21.5000000000001 70.9499999999999,21.4166666666666 70.9499999999999,21.3666666666668 70.9499999999999,21.3666666666668 70.9333333333335,21.2333333333335 70.9333333333335,21.2333333333335 70.9166666666667,21.1666666666667 70.9166666666667,21.1000000000001 70.9166666666667,21.1000000000001 70.9000000000001,20.9666666666668 70.9000000000001,20.9666666666668 70.8833333333334,20.8833333333334 70.8833333333334,20.8333333333333 70.8833333333334,20.8333333333333 70.8666666666667,20.7 70.8666666666667,20.7 70.85,20.5833333333334 70.85,20.5666666666667 70.85,20.5666666666667 70.8333333333333,20.4333333333333 70.8333333333333,20.4333333333333 70.8166666666666,20.3333333333334 70.8166666666666,20.3000000000001 70.8166666666666,20.3000000000001 70.8000000000001,20.1666666666667 70.8000000000001,20.1666666666667 70.7833333333334,20.0666666666668 70.7833333333334,20.0333333333331 70.7833333333334,20.0333333333334 70.7666666666668,19.9000000000001 70.7666666666668,19.9000000000001 70.7500000000001,19.7833333333333 70.7500000000001,19.6666666666666 70.7500000000001,19.6666666666666 70.7333333333333,19.6333333333334 70.7333333333333,19.6333333333334 70.7166666666667,19.5166666666667 70.7166666666667,19.5166666666667 70.7,19.3833333333333 70.7,19.3833333333333 70.6833333333329,19.3166666666668 70.6833333333333,19.2666666666667 70.6833333333333,19.2666666666667 70.6666666666668,19.1333333333334 70.6666666666668,19.1333333333334 70.6499999999999,19.0166666666668 70.6499999999999,19.0166666666668 70.6333333333334,18.8833333333334 70.6333333333334,18.8833333333334 70.6166666666667,18.8666666666667 70.6166666666667,18.7833333333335 70.6166666666667,18.7666666666666 70.6166666666667,18.7666666666666 70.6000000000001,18.7166666666668 70.6000000000001,18.6666666666667 70.6000000000001)))","<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>18.665070369140565,70.600082911304639 18.665059491055402,70.750089707504685 18.665040986788618,71.00010105370248 18.998392209660604,71.000103690632272 19.3317434783363,71.00010629603689 19.331724941804207,71.250117667935683 19.665076482427242,71.250120242726865 19.665057688025097,71.500131638590787 19.665038389075082,71.750143056884667 19.998390448889257,71.750145601775316 19.998370871503607,72.000157042871081 20.331723224990316,72.00015955667034 20.665075624359673,72.000162038384204 20.998428068966106,72.000164487928657 21.331780558163015,72.000166905220809 21.665133091301819,72.000169290178789 21.665114254794517,72.250180756323502 21.998467089478751,72.25018310945282 22.331819967432672,72.250185430035785 22.66517288799383,72.250187717993839 22.998525850501039,72.250189973249519 22.998543650254419,72.000178505070863 23.331896393324037,72.000180727168996 23.665249176414342,72.00018291646505 23.998601998867994,72.000185072884918 24.331954860023277,72.000187196355625 24.66530775922028,72.000189286805266 24.998660695796374,72.000191344163085 25.332013669087853,72.000193368359419 25.33202920774611,71.750181919860225 25.665381959828864,71.750183910810833 25.998734746780222,71.750185868516709 25.998741622524879,71.633513866648244 25.998749377958106,71.500174441819993 25.715399719915162,71.500172779855831 25.432050086629392,71.500171093903589 25.332044339690405,71.500170493142065 25.332045334429637,71.483503065481756 25.132033859864212,71.483501855019426 25.115366237556497,71.483501753609815 25.115367241206659,71.466834326051469 24.932023410673747,71.466833205093522 24.898688169916436,71.466833000209022 24.898689182428619,71.450165572754386 24.682010136850625,71.450164232963417 24.665342518590737,71.450164129325188 24.665343540728813,71.433496701976338 24.398661673925712,71.433495032568459 24.148647445113024,71.433493448366022 24.148648490579593,71.416826021136927 24.115313263260983,71.416825808514233 23.848631458160771,71.41682409571257 23.748625787451523,71.416823447999164 23.748626850442385,71.400156020891473 23.598618358019145,71.400155043801249 23.59861942638824,71.383487616803237 23.565284208501687,71.383487398773823 23.481946165457042,71.383486852268817 23.481947237574765,71.36681942537885 23.398609200927186,71.366818876835652 23.398610275176633,71.350151450051968 23.315272244924003,71.350150899472155 23.315273321293244,71.333483472795251 23.281938111459837,71.333483251994195 23.231935297433974,71.333482920180472 23.231936375911118,71.316815493610761 23.148598358442921,71.316814938962622 23.148599439016127,71.300147512500416 23.098596632077399,71.300147178737021 23.065261427936669,71.300146955820566 23.065262510594877,71.283479529466334 22.998592106646612,71.283479082661287 22.998594272654344,71.250144230268077 22.815250687195849,71.250142994869748 22.815251776035733,71.233475568841726 22.731913790494772,71.233475004051584 22.731914881372155,71.216807578133043 22.698579689411574,71.216807351651198 22.665244497845801,71.216807124844436 22.665245589967672,71.200139699034267 22.581907616689364,71.200139130604498 22.581908710827495,71.183471704904562 22.498570743923651,71.183471134454351 22.498571840066539,71.166803708865061 22.431901471442174,71.166803251051974 22.41523387953508,71.166803136396055 22.415234977671258,71.150135710917908 22.33189702351007,71.1501351364318 22.331898123628136,71.13346771106508 22.265227765193753,71.133467250025717 22.265228866510199,71.116799824769046 22.198558512767345,71.116799362442165 22.181890924582525,71.116799246658204 22.181892027860012,71.100131821513997 22.115221679207121,71.100131357577112 22.115222783665867,71.083463932543381 22.03188485395815,71.083463350813474 22.031885960357247,71.066795925892791 21.965215621475082,71.066795459062917 21.965216729038445,71.050128034253561 21.948549145335832,71.050127917346273 21.881878811537867,71.050127448910217 21.881879921021039,71.033460024214605 21.815209591899315,71.033459554496261 21.815210702529907,71.016792129912787 21.731872797222994,71.016791540961705 21.731873909752668,71.000124116492699 21.665203590381157,71.000123643890433 21.665204704041876,70.983456219534219 21.581866810915724,70.983455626981126 21.581867926455629,70.96678820274029 21.49853003967171,70.966787608187332 21.49853115707981,70.950120184061817 21.415193276635843,70.950119587510684 21.365190549606734,70.950119228616074 21.365191671128315,70.933451804613995 21.231851076283082,70.933450844048494 21.231852201895418,70.916783420170034 21.165181909962001,70.916782937971817 21.098511619694371,70.91678245449117 21.098512749374823,70.900115030737382 20.965172179834227,70.900114059951562 20.965173313560193,70.8834466363231 20.881835464731459,70.883446026993909 20.831832756696084,70.883445660436792 20.831833894445047,70.866778236934508 20.698493350273878,70.86677725595419 20.698494492023393,70.850109832578894 20.581821526622058,70.85010897004878 20.565153960561044,70.850108846511105 20.565155106288703,70.83344142326348 20.431814587551152,70.833440432114742 20.431815737234647,70.816773008995625 20.331810357093698,70.816772262305818 20.298475231237841,70.816772012772489 20.298476384854901,70.800104589782904 20.165135891614558,70.800103588492007 20.165137049142988,70.783436165632281 20.065131688142479,70.783435411344641 20.031796568674576,70.783435159280188 20.031797730092588,70.766767736551415 19.898457262412464,70.766766725144819 19.8984584276973,70.750099302547639 19.781785529297689,70.750098413427253 19.665112636260393,70.750097520426607 19.665113809748931,70.733430097981582 19.631778699893268,70.733429842132992 19.631779872846501,70.716762419801583 19.515106996890296,70.716761521864484 19.515108172922286,70.700094099663673 19.381767755663876,70.700093068737658 19.381768935477488,70.683425646671267 19.315098732389941,70.683425129328668 19.265096081240788,70.683424740493464 19.265097264095736,70.66675731855959 19.131756871682303,70.666756278227297 19.131758058277505,70.650088856429363 19.015085225800089,70.650087942031291 19.015086415399441,70.633420520367153 18.881746047876437,70.633419470652896 18.881747241174917,70.616752049126362 18.865079696453606,70.616751917562326 18.781741974540015,70.616751258564733 18.765074430496128,70.616751126529792 18.765075626761803,70.600083705138061 18.715072997441386,70.60008330857417 18.665070369140565,70.600082911304639</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
"999","MULTIPOLYGON(((6.99999999999989 66.5,7.00000000000011 66.75,6.66666700000007 66.75,6.33333299999998 66.75,6.33333299999998 67.0000000000001,6.33333299999998 67.2500000000001,6.66666700000007 67.2500000000001,7.00000000000011 67.2500000000001,7.3333330000001 67.2500000000001,7.66739400932283 67.2500000000001,7.66739400932283 67.0000000000001,8.00000000000023 67.0000000000001,8.33333333333343 67.0000000000001,8.66666666666669 67.0000000000001,9.00000000000023 67.0000000000001,9.3333333333336 67.0000000000001,9.6666666666668 67.0000000000001,10 67.0000000000001,10.3333333333334 67.0000000000001,10.666666666667 67.0000000000001,11.0000000000002 67.0000000000001,11.3333333333334 67.0000000000001,11.6666666666668 67.0000000000001,11.4425921133786 66.7498474937749,11.3333333333334 66.6259555555557,11.2234833333334 66.5,11.0088944444446 66.2500000000001,11.0000000000002 66.2395222222222,10.7987694444447 66.0000000000001,10.666666666667 65.8390166666668,10.5929555555556 65.7500000000002,10.391313888889 65.5000000000001,10.3333333333334 65.4271694444444,10.193702777778 65.2500000000001,10 64.9999999999999,9.6666666666668 64.9999999999999,9.51666666666665 64.9999999999999,9.51666666666665 65.1833333333333,9.15000000000003 65.1833333333333,9.15000000000003 65.15,9.13333333332997 65.15,9.13333333333338 65.1166666666668,9.11666666666684 65.1166666666668,9.11666666669987 65.08333333333,9.09999999999997 65.083333333333,9.09999999999997 65.05,9.08333333330006 65.05,9.08333333300004 65.0166666667001,9.06666666666678 65.0166666666667,9.06666666670003 64.9999999999999,9.00000000000023 64.9999999999999,8.66666666666669 64.9999999999999,8.33333333333343 64.9999999999999,8.33333333333343 65.2500000000001,7.99999999874581 65.2500000000106,7.99999999750378 65.0000000000213,7.99999999751634 64.7500000000217,7.99999999752913 64.5000000000219,7.99999999754192 64.2500000000222,7.99999999755511 64.0000000000224,7.66666666527277 64.0000000000119,7.33333333256678 64.000000000006,6.99999999939331 64.0000000000044,6.99999999919538 63.7500000000061,6.99999999939985 63.5000000000045,6.99999999960056 63.4000000000032,6.93333333298409 63.4000000000026,6.93333333298409 63.3833333333361,6.76666666641864 63.3833333333353,6.76666666641864 63.3666666666687,6.66666666666669 63.3666666666668,6.63333333314665 63.3666666666682,6.63333333314665 63.3500000000015,6.4999999998609 63.3500000000012,6.50000000000017 63.3333333333334,6.38333333322646 63.3333333333341,6.38333333322646 63.3166666666674,6.33333333333348 63.3166666666667,6.26666666658519 63.3166666666672,6.26666666658519 63.3000000000006,6.14999999993881 63.3000000000004,6.14999999993881 63.2833333333337,6.03333333328766 63.2833333333337,6.03333333328766 63.266666666667,5.99999999995799 63.266666666667,5.99999999995799 63.2500000000003,5.83333333330586 63.2500000000003,5.83333333330586 63.2333333333336,5.71666666664692 63.2333333333336,5.71666666664692 63.2166666666669,5.66666666666674 63.2166666666668,5.66666666664952 63.0000000000002,5.33333333332729 63.0000000000002,4.99999999999818 63.0000000000002,4.99999999999886 63.2500000000001,4.66666666666674 63.2500000000001,4.66666666666674 63.4999999999999,4.66666666666674 63.7500000000001,4.99999999999886 63.7500000000001,4.99999999999727 64,4.99999999999602 64.2500000000001,4.9999999999971 64.5000000000001,4.99999999999818 64.7500000000002,5.33333333332695 64.7500000000002,5.66666666664912 64.7500000000002,5.99999999995657 64.7500000000004,5.99999999995657 65.0000000000003,5.99999999995623 65.2500000000003,6.00000000000011 65.5000000000004,6.00000000000011 65.75,6.00000000000011 66.0000000000001,6.33333333333348 66.0000000000001,6.66666666666669 66.0000000000001,6.99999999999989 66.0000000000001,6.99999999999989 66.2500000000001,6.99999999999989 66.5)))","<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates>6.998161522944367,66.499791001466903 6.998144254976092,66.749801779432133 6.664798091361738,66.749798132469166 6.331450982348647,66.749794458936464 6.331433083425588,66.999805262555299 6.331414793314422,67.249816098846935 6.664762162765371,67.249819779829423 6.998108588033124,67.249823434116891 7.331455068703286,67.249827061596747 7.665529643264361,67.249830669980327 7.665547402559634,66.999819819233238 7.998166819907005,66.999823381458853 8.331513662644412,66.999826924393318 8.664860558356022,66.99983044009727 8.99820750658299,66.999833928451721 9.331554506864016,66.999837389338609 9.664901558736505,66.999840822640749 9.998248661736254,66.999844228241926 10.331595815397412,66.999847606026862 10.664943019252064,66.999850955881186 10.998290272830255,66.999854277691554 11.331637575661134,66.999857571345473 11.664984927272084,66.999860836731486 11.440916816765302,66.749695277903498 11.331661250588288,66.62579690079049 11.221814535662469,66.499834817318032 11.007232209122508,66.249821913407828 10.998338040871788,66.239343596354544 10.797113820499453,65.999809079713643 10.665015358386109,65.838817528455024 10.591306583599652,65.749796315934447 10.389671602058606,65.499783621854135 10.331692999123888,65.426949381277097 10.192067201972902,65.24977099717961 9.998371154963472,64.999758441765621 9.665025048864409,64.999755061938174 9.515019316410166,64.999753532144481 9.51500877804966,65.183094633204831 9.148328046842154,65.183090867836 9.148329991197908,65.149756121255763 9.131662687369941,65.149755949347153 9.131664627339816,65.116421203427862 9.114997324397361,65.116421031474857 9.114999260023737,65.083086286213984 9.098331957927465,65.083086114219711 9.098333889163781,65.04975136962571 9.081666587944616,65.049751197584229 9.081668514539869,65.016416453687611 9.065001214562052,65.01641628156861 9.065002176514161,64.999748909855953 8.99833297793681,64.99974822088636 8.664987013968,64.999744759893574 8.331641098233549,64.999741272078793 8.331626284972204,65.249751856716387 7.998280303828073,65.249748338532896 7.99829522866258,64.999737757581357 7.998309861876232,64.749727212880103 7.99832421082745,64.499716704896315 7.998338283794339,64.249706234084044 7.998352088737201,63.999695800893733 7.665006698013719,63.999692275108657 7.331661354434045,63.999688723140927 6.998316058360894,63.999685145110369 6.99832990471143,63.74967476196678 6.998343492342623,63.499664417440769 6.998348856595998,63.399660290542073 6.93167985047403,63.399659573801479 6.931680741877811,63.382992219983997 6.765008238037745,63.382990423768739 6.765009131527172,63.366323070265963 6.665005637020702,63.366321989536864 6.631671139534029,63.366321628782835 6.631672034459591,63.34965427556773 6.498334052615408,63.349652830097547 6.498334949106744,63.332985477170183 6.381664223328734,63.33298420912773 6.381665120781941,63.316316856476945 6.331663384057145,63.316316312114679 6.264994403209997,63.316315585407068 6.264995301756744,63.299648233032656 6.148324592259669,63.299646958942716 6.148325491892376,63.282979606845473 6.031654790476855,63.282978329742249 6.03165569118795,63.266310977922942 5.998321206777846,63.266310612494223 5.998322106998979,63.249643260880234 5.831649695302834,63.249641430081155 5.831650597525887,63.232974078790697 5.714979918704384,63.232972793570674 5.714980821985128,63.216305442560568 5.664979105253819,63.216304890849237 5.664990759014933,62.999629344406763 5.331646088282163,62.999625655777599 4.998301466033029,62.999621942105129 4.998287819126682,63.249632181512951 4.664943154645217,63.249628438244329 4.664929158562107,63.499638712744172 4.664914897035992,63.749649026579171 4.99825974935809,63.74965277908197 4.99824531158144,63.999663136367481 4.998230594786203,64.249673532064278 4.9982155907722,64.499683965725552 4.998200291010022,64.749694436901748 5.331545595407733,64.749698181972207 5.664890951691341,64.749701901509042 5.998236359445757,64.749705595386573 5.998221074168161,64.999716116390317 5.998205481943558,65.249726673878385 5.998189573423344,65.499737267390827 5.998173338738833,65.749747896463489 5.998156767745746,65.999758560630681 6.33150278755662,65.999762248933592 6.664848860709199,65.999765910994412 6.998194986772433,65.999769546689151 6.998178429782097,66.249780257060422 6.998161522944367,66.499791001466903</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>"
