pipNpdidPipe,pipNpdidFromFacility,pipNpdidToFacility,pipNpdidOperator,pipName,pipNameFromFacility,pipNameToFacility,pipNameCurrentOperator,pipCurrentPhase,pipMedium,pipMainGrouping,pipDimension,pipLineGeometryWKT
369461,364693,277797,1944954,"Gas NYHAMNA, SLEIPNER R","NYHAMNA","SLEIPNER R","GASSCO AS","IN SERVICE","Gas","Transportation",42.0,"LINESTRING(6.94577099999999 62.8515589999945,6.96004099999998 62.8606759999948,6.96108199999998 62.8643149999948,6.95867799999998 62.8676449999947,6.95357999999999 62.8701249999947,6.92317500000002 62.8785319999942,6.90103500000005 62.8907279999938,6.88842700000006 62.8957599999936,6.87960600000008 62.8984639999934,6.86831600000009 62.9000849999932,6.85171400000012 62.9011799999929,6.83735700000014 62.9012109999926,6.79507600000022 62.9046859999917,6.78640800000024 62.9063759999915,6.77802800000026 62.9096909999913,6.77230800000028 62.9137799999911,6.76949000000029 62.9186899999911,6.77365200000028 62.9330899999912,6.77163600000029 62.9417799999911,6.7648130000003 62.948092999991,6.75268000000033 62.9528729999907,6.74383000000036 62.9544909999905,6.73426000000039 62.9551239999902,6.66540700000062 62.9540519999883,6.64728000000069 62.9528499999878,6.61393500000085 62.9547959999867,6.55244400000118 62.9516939999845,6.46085500000185 62.9346809999807,6.43851000000205 62.9296109999796,6.20221500000544 62.8920019999653,6.17269100000607 62.8864099999631,6.09798000000794 62.8668399999568,5.8433400000184 62.8100699999282,5.19444200010892 62.6538429997783,5.18074700011262 62.6496849997734,5.16975800011566 62.6446039997694,5.14322200012324 62.6235389997594,4.98032700017991 62.4727209996893,4.96238900018739 62.4583279996806,4.94930400019297 62.4420129996741,4.92611400020332 62.4246559996624,4.89562400021759 62.3951759996465,4.88421300022321 62.3890989996405,4.78954600027508 62.3505439995872,4.6613840003622 62.3071369995051,4.65088600037028 62.3021429994978,4.6426590003767 62.2962909994919,4.38854100062866 62.0577579992783,4.34633500068196 61.9984019992356,4.33371600069846 61.9735489992222,4.31411600072521 61.9502979992015,4.30667200073552 61.9384919991934,4.29782700074808 61.9294469991839,4.28626200076465 61.9126399991712,4.26568500079534 61.8961519991486,4.23656100084082 61.8789669991162,4.20668500088968 61.8562889990815,4.1875880009221 61.8386419990587,4.17606700094191 61.8210029990443,4.16322700096465 61.8072319990283,4.15568400097815 61.7968479990188,4.14834200099129 61.7825999990091,4.14351100099947 61.758689999002,4.12951300102545 61.7395939989838,4.12351600103687 61.734004998976,4.08113800112119 61.7043799989203,4.01658400126112 61.6556849988302,4.006051001285 61.6400639988145,3.99260600131638 61.6268079987946,3.98611200133153 61.6153909987846,3.97632200135435 61.591922998769,3.96453000138305 61.5786669987508,3.63133200246418 61.3491519981511,3.57693300269806 61.3096429980333,3.49581100308384 61.2553369978466,3.46149800326107 61.2311399977632,3.44801000333286 61.2190819977294,3.41107700353759 61.1936069976355,3.40122300359369 61.1837619976096,3.39554200362569 61.1726259975939,3.39177100364406 61.1413989975807,3.39301900363274 61.1102829975804,3.3904130036458 61.0915569975716,3.39092000364018 61.0710139975705,3.3880070036551 61.052493997561,3.38726700365406 61.0100939975542,3.38449200366545 60.9702609975425,3.38619200365316 60.9534949975451,3.38355800366553 60.9279329975353,3.38480000365305 60.8886799975341,3.38207000366484 60.8545069975231,3.38442600364884 60.8392029975276,3.38194500366018 60.8131709975181,3.38397300363936 60.7461199975159,3.38029600365905 60.7298549975045,3.38050500365503 60.7088089975027,3.37761800366982 60.690692997493,3.3770600036693 60.6618309974884,3.37311300369085 60.6463889974762,3.37211100369136 60.6055109974689,3.36143200375192 60.5765149974371,3.35822700376973 60.563918997427,3.35489600378928 60.5578579974173,3.34697000383684 60.5481639973946,3.32573400396828 60.5320739973343,3.30237200411773 60.5161509972667,3.28404800423871 60.5054509972129,3.26267100438321 60.4893259971487,3.23153100460233 60.4706379970535,3.17218400504575 60.4285999968639,3.12505700542473 60.3969689967065,3.11830100548065 60.3902239966831,3.08106500579589 60.34258299655,3.03395800617093 60.0733179963437,2.66594701034263 59.2405469946262,2.29091901718915 58.760009992341,2.03596402388659 58.4389569903762,2.02551202420922 58.4310229902893,1.91801850312405 58.3726386303922)"
319268,271245,286253,17237817,"Oil OSEBERG A, STURE","OSEBERG A","STURE","Statoil Petroleum AS","IN SERVICE","Oil","Transportation",28.0,"LINESTRING(4.84374209367069 60.6184782345648,4.75182100027446 60.5855669995255,4.7450970002785 60.5809219995209,4.73072500028735 60.574032999511,4.71460600029763 60.5698499994997,4.7054970003036 60.5689689994933,4.6202610003649 60.5664999994302,4.59366700038611 60.5651139994091,4.54102500043134 60.5641249993657,4.25037200077498 60.554455999075,4.21780000082536 60.5494859990363,4.07601400107969 60.5228419988517,4.03621900116255 60.516430998795,3.97158600130892 60.5027749986977,3.94917200136345 60.4998669986626,3.88077500154304 60.5000469985512,3.81971700172078 60.5016309984454,3.77406400186511 60.5006559983621,3.70641700209877 60.500813998232,3.67519700221518 60.5021249981693,3.63418300237649 60.5007359980838,3.58996700256216 60.5013249979881,3.56270600268296 60.5019999979273,3.51125600292491 60.5048109978084,3.42497200337383 60.5060829975962,3.40244700350082 60.5078779975382,3.37738600364674 60.5074669974721,3.3607970037461 60.5059859974274,3.35204700379958 60.5059639974037,3.34210800386127 60.5068609973766,3.3257860039647 60.5096109973318,3.29818600414439 60.508993997254,3.2695970043385 60.5109779971717,3.2370720045689 60.5119999970754,3.22491100465758 60.5110939970386,3.19641700487094 60.5066169969506,3.08578300578459 60.4927079965883,3.06924200593405 60.4932919965317,2.96515600695821 60.5070779961588,2.9535390070815 60.5077389961151,2.93763900725292 60.5067719960543,2.8372949876284 60.4932162157704)"
323212,286169,286141,1944954,"Gas KÅRSTØ, EMDEN","KÅRSTØ","EMDEN","GASSCO AS","IN SERVICE","Gas","Transportation",42.0,"LINESTRING(5.51293165872611 59.2721270905956,5.5021680000369 59.2606279998436,5.49740300003738 59.2506409998423,5.49303000003785 59.2461849998411,5.46187500004142 59.2291259998323,5.45414500004236 59.2280649998301,5.36071800005518 59.2021899998013,5.34740500005723 59.1950419997969,5.34034500005832 59.1866679997944,5.33884800005853 59.1810419997939,5.33790800005851 59.1518969997934,5.33565200005879 59.1372109997925,5.26244400007073 58.9781759997651,5.25844100007141 58.9645959997635,5.25498800007137 58.8637619997614,5.25557700007116 58.8502459997615,5.27540200006684 58.7636869997683,5.33523500005581 58.6334759997888,5.45089400003871 58.3993989998244,5.49952200003278 58.2767029998377,5.60300200002259 58.0495799998634,5.62869000002041 57.9762729998693,5.63617300001983 57.9622189998709,5.66090600001803 57.9234889998764,5.66770700001746 57.8840369998777,5.70363000001509 57.8197519998852,5.70723800001485 57.8100169998859,5.71512400001431 57.7773479998874,5.74299300001268 57.7235179998929,5.74565100001248 57.7007139998933,5.78927700001011 57.5792009999013,5.84098700000783 57.4902229999102,5.84858300000752 57.4745559999115,6.00746000000245 57.0907899999344,6.01272000000232 57.0740929999351,6.01782300000218 57.0465889999357,6.0215110000021 57.0402369999362,6.02938000000194 57.0308459999372,6.03276400000187 57.0244599999376,6.11367300000038 56.8255839999469,6.11908100000028 56.8019909999474,6.12612300000017 56.7810779999482,6.13778200000001 56.7623709999494,6.15515699999978 56.7239609999512,6.22804199999898 56.542560999958,6.29125899999848 56.3776859999633,6.37782299999806 56.1645809999697,6.44843099999787 55.9789619999742,6.65763299999787 55.4278599999844,6.72054599999797 55.2682609999867,6.73394799999799 55.2261539999872,6.85401199999825 54.9057039999907,6.85521199999825 54.8965379999907,6.85251799999824 54.8878359999906,6.82412199999813 54.8489649999899,6.81979699999811 54.8398699999897,6.81887999999811 54.8300319999897,6.82237299999811 54.8158489999898,6.82430899999812 54.7991289999899,6.82720699999812 54.7944369999899,6.84533299999818 54.7738609999904,6.91566799999838 54.6656299999921,6.94883999999847 54.6299209999929,6.95543599999849 54.619430999993,7.17443799999899 53.9121739999964,7.182323999999 53.8896899999965,7.18777899999901 53.8827319999966,7.19415099999903 53.8769989999966,7.20174899999905 53.8720969999967,7.21023099999907 53.8679959999968,7.37786099999941 53.8100779999982,7.38673299999943 53.8055759999983,7.39247899999944 53.8009379999983,7.45898999999953 53.6922999999987,7.40310999999945 53.6743999999984,7.32641999999931 53.6796999999979)"
406790,406672,406731,1944954,"Gas GJØA, GJØA-T","GJØA","GJØA-T","GASSCO AS","IN SERVICE","Gas","Transportation",28.0,"LINESTRING(3.90501973950602 61.330236556612,3.92687800146673 61.3245509986779,3.93744600143875 61.3204959986939,3.94828400141038 61.31307999871,3.95308200139772 61.3049579987168,3.9521070013997 61.2956199987147,3.94420100141944 61.2867429987022,3.93026100145533 61.2797239986803,3.91235100150289 61.275660998652,3.67241400228955 61.2562899982256,3.60775900255594 61.2517399980935,3.55935500277281 61.2466619979891,3.40357700358614 61.2339519976212,3.35378200388688 61.2262379974922,3.17046600519654 61.2005229969666,3.07752700599953 61.1883509966675,2.98271800692985 61.1739919963375,2.93769100741534 61.1690029961719,2.88169700806055 61.1608699959572,2.83994200857328 61.1535299957905,2.76923800950889 61.1447029954961,2.70117501049334 61.1339259951965,2.61955301179295 61.1221999948163,2.58997501229832 61.1186259946727,2.47682101441215 61.1009669940922,1.96942802841459 61.0260309908224,1.95486502895331 61.024966990711,1.72866503858442 61.0191989888431,1.70937731171308 61.0202750341178)"
323076,286729,277797,1944954,"Gas KOLLSNES, SLEIPNER R","KOLLSNES","SLEIPNER R","GASSCO AS","IN SERVICE","Gas","Transportation",40.0,"LINESTRING(4.83862613145856 60.5453639169816,4.79744200024716 60.527316999554,4.68839700031379 60.4884639994793,4.67922500032003 60.4842329994726,4.6698530003265 60.4782249994656,4.66070800033286 60.4691359994586,4.64714700034232 60.4462859994479,4.61020000036982 60.4096779994184,4.46744200049561 60.2878809992923,4.42804700053626 60.2509529992536,4.38076400058909 60.2131639992051,4.30423900068416 60.1470189991208,4.26421400073919 60.115816999074,4.22270300079994 60.0730329990228,4.19285000084662 60.0499579989849,4.14481700092655 60.0079439989211,4.12328900096437 59.9866219988913,4.0828310010395 59.9539779988338,4.01711100117197 59.8898189987346,3.96882200127933 59.855863998658,3.95796100130456 59.8469359986402,3.85277200157191 59.7504999984566,3.82263900165709 59.7255579984005,3.71214700200416 59.6201529981791,3.70101700204232 59.6081889981554,3.68346400210429 59.5946419981178,3.66224400218117 59.5755969980714,3.62547200232097 59.5495919979891,3.6196330023437 59.5436859979756,3.60877200238613 59.5289359979501,3.60191100241361 59.5228529979341,3.58780600247144 59.5146389979012,3.54372800266094 59.4964029977961,3.53234400271201 59.4924169977683,3.49218600289976 59.4835499976685,3.43515800318661 59.4747469975208,3.38116900347994 59.4589139973732,3.30860300391274 59.4440359971641,3.27877500410339 59.4341169970738,3.26056400422322 59.4247529970172,3.20821100458339 59.3881389968482,3.09774400543141 59.3001309964641,3.00767200622319 59.2306999961232,2.84351900793014 59.0978169954313,2.66097501030205 58.9463219945445,2.13844702091519 58.5115719911939,2.03916102378499 58.4372189904013,1.96140002628562 58.3942999897459,1.91829480890874 58.3724955480323)"
326374,278357,286757,1944954,"Gas DRAUPNER E, DUNKERQUE","DRAUPNER E","DUNKERQUE","GASSCO AS","IN SERVICE","Gas","Transportation",42.0,"MULTILINESTRING((2.45861635357229 58.1873024260407,2.45759601335614 58.1871259932674,2.44233601364226 58.1831629931739,2.42818301391177 58.178203993086,2.41573501415173 58.1721119930075,2.40540001435257 58.1649969929414,2.39742701450782 58.1570739928895,2.39211701461017 58.1485599928541,2.38943201465952 58.1397019928351,2.39580401430096 57.7445409927925,2.38901901427076 57.4661329926933,2.39033901403366 57.1158139926357,2.39226701398519 57.097892992645,2.39753901387217 57.0801579926762,2.40132601379389 57.0714189926992,2.41131101359283 57.0543059927607,2.86224600685129 56.4085619951596,2.86919300677691 56.400481995191,3.25579800363223 56.090571996708,3.2729350035289 56.0753779967649,3.28037900348456 56.0674289967892,3.28722500344405 56.0592989968114,3.29856000337724 56.0424879968477,3.40248600281111 55.8630559971642,3.4118720027626 55.8366549971909,3.4134860027536 55.8277169971953,3.41418900274736 55.8097529971965,3.30107695257596 54.7939039862964),(3.30010595881889 54.7850263587227,3.28374500317404 54.635039996729,3.13714900379041 53.6953739961659,3.0925610039522 53.2647709959796,3.09252200394726 53.2468029959791,3.09559900392239 53.2289309959911,3.1291955299109 53.0991847813458),(3.13147234875952 53.0903587742235,3.20511900316761 52.8025739964061,3.20906900313992 52.7757379964203,3.2067630031453 52.7488169964116,3.17586400325312 52.5248789962952,3.17526200325163 52.5069119962928,3.1860800031696 52.4172739963331,3.1859610031655 52.3992959963326,3.15980300324861 52.1841349962336,3.15687300325969 52.1662559962224,3.15117000328612 52.1486239962006,3.14266800332842 52.1314349961678,3.1280740034033 52.106006996111,3.12120800343744 52.0885469960841,3.11890800344806 52.079665996075,3.08861400356062 51.864726995955,3.08848000355868 51.8557619959545,3.09231000353346 51.8471179959701,3.09040500354199 51.8383099959625,3.0820610035892 51.8310359959287,3.06216300370534 51.8179549958471,3.05310200375897 51.8109399958096,2.99933300409103 51.7685319955809,2.98223900420145 51.7540209955061,2.81979700539239 51.6275559947424,2.80452100551671 51.6123199946655,2.72191700622715 51.517520994234,2.7117680063224 51.511218994179,2.64735400696796 51.4911459938193,2.62494900720323 51.4799269936901,2.61126200735277 51.47732899361,2.59689700751388 51.476767993525,2.58321300766901 51.4741939934432,2.57189000779746 51.468692993375,2.54005600816701 51.4504659931802,2.53028100828289 51.4438819931194,2.5222870083774 51.4364129930695,2.47517300895302 51.3912279927693,2.46915900902732 51.3830949927303,2.44514300932248 51.3407209925732,2.43798700941551 51.3329929925258,2.42660000957019 51.3276329924495,2.4134420097536 51.3240509923604,2.4024080099078 51.3183859922852,2.38454501015827 51.3043289921623,2.37068701035268 51.2886159920661,2.31789201110404 51.2050399916917,2.29585401143291 51.1718559915313,2.28289301162497 51.146148991436,2.27408601174932 51.1197549913713,2.26805301182031 51.0847019913275,2.26499401186432 51.0759239913049,2.25669101199038 51.0587429912428,2.25270901204759 51.0464059912131))"
321002,277797,286533,1944954,"Gas SLEIPNER R, ZEEPIPE-SCP","SLEIPNER R","ZEEPIPE-SCP","GASSCO AS","IN SERVICE","Gas","Transportation",40.0,"LINESTRING(1.91575495338471 58.3649035517372,1.93901902701769 58.3524169895408,1.94411102683502 58.3473279895829,1.94636402675206 58.3425609896007,1.97228302566929 58.1384939897561,1.97685002549932 58.1200999897891,1.98331102527142 58.1054109898391,2.36734701472729 57.5002059925586,2.37573901454838 57.4859919926108,2.38255001440202 57.4701889926521,2.38726101429665 57.451113992679,2.38834401426673 57.4370689926833,2.38951701404703 57.1113809926295,2.3935310139553 57.0891329926517,2.39876901384524 57.0748919926832,2.40445001372938 57.0638609927181,2.44367201296366 57.0072309929588,2.86277200684484 56.4056309951618,2.87154400675193 56.3978059952017,3.25750800362167 56.0884029967137,3.27387200352312 56.0734809967679,3.28436900346071 56.0617419968021,3.29537200339575 56.0463419968375,3.39413300285322 55.8767309971397,3.40719700278668 55.8498609971776,3.41275600275682 55.8266329971931,3.41354400275103 55.8138109971948,3.41258100275322 55.8000919971912,3.30030500828162 54.7939540883697)"
329502,280709,271833,17237817,"Oil/gas GULLFAKS SØR H, GULLFAKS A","GULLFAKS SØR H","GULLFAKS A","Statoil Petroleum AS","IN SERVICE","Oil/gas","Transportation",8.0,"MULTILINESTRING((2.18403101314396 61.1798182409295,2.18323302155961 61.1803969923879,2.17860182780313 61.1814294502663),(2.16594474294932 61.181423018054,2.15897202226647 61.1791919922282,2.15801151171489 61.1782179301051),(2.15239449433945 61.1725203674738,2.07937802467488 61.0982549916544,2.07571402479212 61.0958819916278,2.06733102506387 61.0926359915673,2.06379402517824 61.0898479915411,2.06273602520975 61.0853809915318,2.07309792299149 61.0601034197735))"
370369,370654,363441,17237817,"Condensate SNØHVIT PLEM-1, MELKØYA","SNØHVIT PLEM-1","MELKØYA","Statoil Petroleum AS","IN SERVICE","Condensate","Transportation",28.0,"LINESTRING(21.2414763222439 71.5687062222285,21.2628043002515 71.5640639819328,21.3178940608482 71.5575409832387,21.3497349185275 71.5525359840324,21.4034536717758 71.5412139854291,21.4398224995246 71.5349119864564,21.4635263851024 71.5299299871457,21.6906311927508 71.4909209951521,21.7364839300627 71.4815749970614,21.8238974069057 71.4661330010513,21.8701861179474 71.4565430033241,21.9416486540801 71.4459460071465,21.9841723681203 71.4379880095534,22.0206221171671 71.4288330116793,22.0748307323224 71.419876015075,22.214473679017 71.3930050247583,22.2701562323541 71.3840480290702,22.2860921017822 71.3807910303408,22.3008679798292 71.3763810315168,22.4324688452641 71.3276820426777,22.4937322848637 71.3060760484276,22.6617236378054 71.2427980660485,22.7187050385492 71.2274630728167,22.7559136371611 71.2131880773642,22.8252568637431 71.1907040863507,22.9372035432175 71.1628341022885,22.9548443273471 71.1573261049313,22.9676901693175 71.1514361068482,22.9948518324316 71.1351851109061,23.0399432626804 71.1038211177872,23.077843773172 71.0743641237356,23.128717097621 71.0389791321279,23.1389749618441 71.0237121337116,23.1399349588028 70.9946901333316,23.1583747114652 70.9708711362857,23.1663016027729 70.9650271376561,23.1962161838891 70.9545061431409,23.2699511163193 70.9377061574664,23.2850758909965 70.9358831605508,23.3917292426584 70.9279101835533,23.4077699863974 70.9253161871654,23.4209207752325 70.9215321901294,23.4293076403293 70.9177091920083,23.4428814220205 70.9082721950113,23.4585181706881 70.8922501984088,23.5002404845348 70.8601002079193,23.528089019576 70.8341372143635,23.5366018741979 70.8301392164459,23.5596224760724 70.8224872222172,23.6142655115194 70.8011322362938,23.6329891747795 70.7924272412347,23.6412580255214 70.7873842434156,23.6477659091325 70.7802282450751,23.6511908514531 70.7688832457914,23.6499418768226 70.764252245344,23.6449599709222 70.7598042438604,23.6292242632902 70.7520222393436,23.5986598208648 70.7426302308477,23.566685394405 70.7313232221453,23.529043056429 70.7173312121644,23.5252031236806 70.7147452111385,23.526298106392 70.7113802113444,23.5365729341966 70.7004622137225,23.5413818523424 70.697357214885,23.5519596700668 70.6936422175248,23.5742962800277 70.6890342232441,23.5875040872636 70.6853936911436)"
322532,280569,286225,1944954,"Gas HEIMDAL HRP, ST.FERGUS","HEIMDAL HRP","ST.FERGUS","GASSCO AS","IN SERVICE","Gas","Transportation",32.0,"MULTILINESTRING((-1.82531768998668 57.5787058908137,-1.79273772555397 57.5828278923445,-1.77623474326389 57.5843078931141,-1.75974576078587 57.5846278938764,-1.7102298123152 57.5800358961322,-1.67766784517846 57.5762108976009,-1.64460687765248 57.5739078990874,-1.62766289393473 57.573891899849,-1.61109090957357 57.5761469005984,-1.58537693316543 57.5877329017811,-1.57474594271482 57.5945579022742,-1.51397999536929 57.6482939051116,-1.50483200310999 57.6558169055328,-1.49519101129436 57.6611609059678,-1.48698001804664 57.6710219063534,-1.36374111580146 57.7780249119099,-1.35598212162074 57.7860109122566,-1.32771314272659 57.8083389134932,-1.31973014855988 57.816255913845,-1.31016315575698 57.8165809142396,-1.302702160924 57.8317279145886,-1.2487021991794 57.8773079169108,-1.16979125224448 57.9462919202389,-1.15065526467852 57.961132921028,-1.13480527475384 57.9769999216872,-1.06226031958878 58.0377329246285,-1.05436332428841 58.0456829249477,-1.0169823463096 58.0756419264274,-0.965305375602439 58.1220669284533,-0.938030390623788 58.1448139295032,-0.9089604063195 58.1670079306059,-0.865821428845712 58.2056169322342,-0.846649438653476 58.2204559329441,-0.829977447010365 58.2361689335637,-0.801632461039763 58.2586279345986,-0.775318473741895 58.2817419355544,-0.744793488057183 58.3137999366627,-0.701305507966944 58.3525169382036,-0.678763517949352 58.376791939001,-0.57068256356865 58.4787689426946,-0.54681857309096 58.5026669434911,-0.512385586551675 58.5337359446196,-0.496902592453464 58.5497999451259,-0.471805601893797 58.5733189459346,-0.464680604519591 58.5814779461655,-0.430074617162287 58.6124719472603,-0.389668631428527 58.6521559485248,-0.38036663466343 58.6597439488099,-0.338760648766417 58.6990389500808,-0.292721663869051 58.7368389514501,-0.267202671964772 58.7601829522013,-0.259632674319623 58.7683809524247,-0.256743675154972 58.7772529525198,-0.258455674512316 58.7862689524883,-0.264752672398346 58.7945219523291,-0.28280566635593 58.8100169518564,-0.286446665062708 58.8190279517713,-0.285202665260421 58.8390029518415,-0.279355667092647 58.8473919520187,-0.268841670448409 58.854499952322,-0.25407167516627 58.8591939527365,-0.236896680609213 58.8614329532095,-0.184935696666614 58.8596889546057,-0.167999701723313 58.8611309550576,-0.152449706277122 58.8648889554737,-0.138891710176873 58.8703419558378,-0.113827717243784 58.8827829565089,-0.0193917424677832 58.9353669589787,0.0170892483285168 58.9545999599027,0.0394692428438232 58.9684309604648,0.123750223093701 59.0137419625192,0.134683220647227 59.0207499627813,0.171794212486805 59.039680963654,0.31390818369977 59.1188419668618,0.387194170242739 59.1573829684266,0.47109215592636 59.2030829701495,0.482875154020642 59.2129169703894,0.495331151993444 59.2160579706333,0.555886142550333 59.2484309718155,0.578750139129331 59.2621279722537,0.691836123213356 59.3185499743328,0.725817118771999 59.3391609749367,0.751378115513859 59.3515249753807,0.786772111143631 59.3714889759879,0.824586106628977 59.3903329766214,0.860569102490986 59.4100889772136,0.922308095716582 59.4420669782005,0.933742094509407 59.4489219783803,0.959006091882211 59.4614469787713,0.98112808964399 59.4754609791116,1.05568608242898 59.5137579802198,1.10355007807814 59.5401329809076,1.29049406295806 59.6358439834099,1.30513306188752 59.6410189835927,1.31056786309891 59.6419228973274),(1.32771085186209 59.6439554453652,1.34107905931033 59.6449279840292,1.5955360436102 59.6556969868537,1.64870904083766 59.6550939873888,1.66228704015842 59.6572879875238,1.68479403905895 59.6643069877466,1.6989300383789 59.6661299878837,1.87081803088919 59.665904989445,1.89383502998908 59.6628229896399,2.10935502261322 59.6163409913233,2.19792302008303 59.5959589919476,2.20531501988319 59.5934979919978,2.21071701973748 59.5905379920339,2.22194130229035 59.5783784395681))"
314610,278273,286701,17237817,"Oil TROLL B, MONGSTAD","TROLL B","MONGSTAD","Statoil Petroleum AS","IN SERVICE","Oil","Transportation",16.0,"LINESTRING(3.51916681451686 60.7747795785402,3.57111100267261 60.776080997971,3.60630300251891 60.7835829980484,3.63838900238537 60.7874309981167,3.69721900215635 60.7899859982364,3.74108600199827 60.7893109983212,3.76696900190997 60.7900969983698,3.83613100169091 60.7951359984941,3.94254700139735 60.8071889986703,4.22315800082674 60.8248169990544,4.36803900062212 60.8325779992133,4.47380800050242 60.8420669993149,4.48791900048812 60.8447919993276,4.54867800043065 60.8602169993803,4.56075800041994 60.8621779993904,4.5717310004104 60.8628499993993,4.58689400039749 60.8623469994115,4.60906100037922 60.8593639994288,4.62507200036653 60.8595579994412,4.66024200033983 60.8528689994673,4.67687800032788 60.8542169994794,4.69198600031738 60.8579219994903,4.70250600031024 60.8594169994977,4.71266900030345 60.8597639995048,4.72785800029353 60.8590749995152,4.74715800028137 60.8604859995281,4.79844200025104 60.854952999561,4.82849200023463 60.8505689995794,4.8847440002065 60.8514439996122,4.97202800016858 60.8441109996587,4.98422200016379 60.8413279996648,5.00132500015721 60.8331889996731,5.0135080001527 60.829441999679,5.02800000014742 60.8189939996857,5.0302281549014 60.8179244937297)"
425280,410651,272365,17237817,"Gas GUDRUN, SLEIPNER A","GUDRUN","SLEIPNER A","Statoil Petroleum AS","INSTALLATION","Gas","Transportation",14.0,"LINESTRING(1.75046115356245 58.8424157479186,1.75865803461937 58.8379099880858,1.76254903444413 58.8331019881208,1.76215203445617 58.8288099881153,1.75666203468594 58.8210189880598,1.75880303457751 58.8087389880751,1.7721910339393 58.7595909881824,1.81854203183223 58.6097339885572,1.84230803082444 58.5572449887556,1.87174202956299 58.4435819889805,1.88201002911128 58.3829859890511,1.88469502900629 58.3785139890735,1.88987902880926 58.3743209891182,1.89558502859572 58.3715739891679,1.89880129152425 58.3705226142695)"
326068,272393,287373,562,"Gas DRAUGEN, DRAUGEN T","DRAUGEN","DRAUGEN T","A/S Norske Shell","IN SERVICE","Gas","Transportation",16.0,"MULTILINESTRING((7.791002186207 64.3505758319287,7.80554599999998 64.3460769999998,7.81553699999998 64.3414539999998,7.82264799999998 64.3349079999998,7.82416999999998 64.3263779999998,7.81619799999998 64.3149949999998,7.79658999999998 64.3027419999998,7.77826999999998 64.2785949999998,7.77027599999998 64.2735289999998,7.75870799999998 64.2694849999997,7.74451699999997 64.2669299999998,7.73668944671 64.266233223212),(7.72225369598446 64.2649470219456,7.71283499999997 64.2641069999997,7.40462099999995 64.2286149999989,7.31730099999994 64.2168049999985,7.26944520905369 64.207099987334),(7.25085395138185 64.203323682331,7.08151100000001 64.1687699999967,7.06467800000002 64.1661449999965,7.00385000000006 64.1657559999958,6.99069000000008 64.1665119999956,6.4507990000024 64.2315519999817,6.4507642723252 64.2315582001382))"
319676,280541,280569,1944954,"Gas OSEBERG D, HEIMDAL HRP","OSEBERG D","HEIMDAL HRP","GASSCO AS","IN SERVICE","Gas","Transportation",36.0,"LINESTRING(2.82408154415033 60.4869180418355,2.82094100862375 60.4853709955809,2.81562400869025 60.4807169955576,2.80978500876254 60.471358995531,2.77607400919349 60.427409995377,2.76565600932839 60.4074669953272,2.76547000931818 60.3674849953183,2.74270300959167 60.2421679951913,2.7394760096249 60.2062069951693,2.73788200964527 60.2002069951609,2.71883000990713 60.1736869950681,2.69992101016883 60.1349489949721,2.68291001041384 60.1122969948869,2.61794501138596 59.9949299945437,2.60082801165905 59.9739569944524,2.41133901510941 59.7744179933637,2.3465250164797 59.7031359929524,2.22570301935286 59.6042589921403,2.22239901943575 59.5992429921163,2.21967301949985 59.5883939920945,2.22130501945393 59.5836829921041,2.2255168618753 59.579542929495)"
326884,277937,286645,2410696,"Oil EKOFISK J, 37/4-BP","EKOFISK J","37/4-BP","ConocoPhillips Skandinavia AS","IN SERVICE","Oil","Transportation",34.0,"LINESTRING(3.20190308048509 56.54913109798,3.18751900415819 56.5468919965021,3.16350800431993 56.5418939964153,3.14095800447624 56.534555996332,3.10140000476101 56.5155919961814,3.0453030051914 56.4856639959589,3.00470600552492 56.4676139957917,2.81438100735699 56.3912469949308,2.66547200914562 56.3330329941609,2.60291101000423 56.3070189938099,2.45555001231527 56.2477439929149,2.41443301303818 56.229813992647,2.37179401382881 56.2136579923608,2.24696701638956 56.1621079914698,2.12125301938481 56.1111419904888,2.0804310204555 56.0934609901511,2.03735302164438 56.0774079897847,1.93477202471908 56.0337059888666,1.72745603214017 55.9474579868077,1.61863387301344 55.902799363905)"
318010,271301,286365,1944954,"Gas STATFJORD B, STAT-SSTC","STATFJORD B","STAT-SSTC","GASSCO AS","IN SERVICE","Gas","Transportation",30.0,"LINESTRING(1.83151777961669 61.202456711125,1.84236974337796 61.1899443911949)"
