blkId,blkLabel,qdrName,blkName,prvName,apaAreaType,urlNPD,apaAreaNetGeometryWKT
"44","7/10","7","10","N1",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.3333330152242 57.1726312230954,2.29514168276441 57.2499999920191,2.3250000154508 57.249999992225,2.33333301527441 57.2499999922817,2.33333301524198 57.1999999922719,2.33333301523115 57.1833329922686,2.3333330152242 57.1726312230954))"
"42","7/8","7","8","N1",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.33333334864009 57.2999999922916,2.33333334874744 57.4666669923253,2.40000001405477 57.4666669927643,2.40000001403498 57.4331689927578,2.66666667627079 57.4333329941113,2.66666667622161 57.3166669942989,2.5333330115756 57.3166669935558,2.53333301160066 57.3666669935642,2.36666701465884 57.3666669925277,2.36666701461756 57.2999999925147,2.33333334864009 57.2999999922916))"
"1","1/2","1","2","N1",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.42608439560085 56.9833329930681,2.41795834678011 56.9999999927701,2.41795834676855 56.999999992794,2.4666670125469 56.9999999931013,2.46666701253766 56.9833329930986,2.42608439560085 56.9833329930681))"
"1","1/2","1","2","N1","Stratigraphic","http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.4666670125469 56.9999999931013,2.50000001196939 56.9999999933055,2.61666701012891 56.9999999939815,2.61666701012129 56.9833329939791,2.53333301140706 56.983332993502,2.53333301139857 56.9666669934994,2.51666701167222 56.9666669934004,2.51666701165484 56.9333329933951,2.45042201279943 56.9333329929888,2.42608301327352 56.9833329928431,2.46666701253766 56.9833329930986,2.4666670125469 56.9999999931013))"
"195","24/6","24","6","N2","Stratigraphic","http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.00000002617737 59.6999999905214,2.00000002614804 59.6666669905089,2.00000002611867 59.6333329904965,1.96666702727449 59.6333329902303,1.96666702728978 59.6499999902367,1.93333302849152 59.6499999899648,1.93333302847559 59.6333329899582,1.91682723556533 59.6333329898212,1.9570133610128 59.6999999901779,2.00000002617737 59.6999999905214))"
"1","1/2","1","2","N1","Stratigraphic","http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.49888906201349 56.8333329932722,2.49888890078818 56.8333333266055,2.45851667931174 56.9166666597034,2.45851701264507 56.9166669930368,2.48333301220985 56.9166669931904,2.48333301220078 56.8999999931877,2.50000001191616 56.8999999932894,2.50000001190727 56.8833329932868,2.53333301135601 56.8833329934865,2.53333301134748 56.866666993484,2.53333301133039 56.8333329934789,2.49888906201349 56.8333329932722))"
"195","24/6","24","6","N2",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((1.96666702727449 59.6333329902303,1.93333302847559 59.6333329899582,1.93333302849152 59.6499999899648,1.96666702728978 59.6499999902367,1.96666702727449 59.6333329902303))"
"35","7/1","7","1","N4",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.28333301686892 57.9999999921018,2.33333334908574 57.9999999924398,2.33333334898088 57.8333329924029,2.33333301564755 57.8333329924029,2.33333301570008 57.9166669924212,2.28333301681321 57.9166669920823,2.28333301686892 57.9999999921018))"
"195","24/6","24","6","N2",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.00000002617737 59.6999999905214,1.9570133610128 59.6999999901779,1.9871528044409 59.7499999904387,2.00000002622129 59.7499999905401,2.00000002617737 59.6999999905214))"
"317","6201/8","6201","8","M3",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((1.66666670999781 62.3833329890855,1.33333339821244 62.3833329859206,1.33333339841499 62.4999999860144,1.66666671013477 62.4999999891576,1.66666670999781 62.3833329890855))"
"36","7/2","7","2","N4",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.33333334908574 57.9999999924398,2.66666667650582 57.9999999944057,2.66666667642359 57.7999999943731,2.35000001527176 57.7999999925064,2.3500000152924 57.8333329925135,2.33333334898088 57.8333329924029,2.33333334908574 57.9999999924398))"
"45","7/11","7","11","N1",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.61666701012891 56.9999999939815,2.50000001196939 56.9999999933055,2.50000001202238 57.0999999933218,2.51666701174144 57.0999999934217,2.51666701173281 57.083332993419,2.66666667612246 57.0833329942653,2.66666667608679 56.9999999942537,2.61666701012891 56.9999999939815))"
"1","1/2","1","2","N1",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.53333301134748 56.866666993484,2.53333301135601 56.8833329934865,2.55000001108894 56.8833329935846,2.61666701007539 56.8833329939648,2.61666701009072 56.9166669939695,2.56666701084377 56.9166669936864,2.56666701085193 56.9333329936889,2.55000001111396 56.9333329935922,2.51666701165484 56.9333329933951,2.51666701167222 56.9666669934004,2.53333301139857 56.9666669934994,2.53333301140706 56.983332993502,2.61666701012129 56.9833329939791,2.61666701011365 56.9666669939767,2.63333300987265 56.9666669940686,2.63333300985769 56.9333329940639,2.66666667605815 56.9333329942445,2.66666667601503 56.833332994231,2.63333300981267 56.83333299405,2.6333330098277 56.8666669940546,2.53333301134748 56.866666993484))"
"201","25/4","25","4","N2",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.00000002614804 59.6666669905089,2.00000002617737 59.6999999905214,2.00000002622129 59.7499999905401,2.06666702403138 59.7499999910525,2.06666702396388 59.666666991023,2.00000002614804 59.6666669905089))"
"131","16/11","16","11","N4",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.33333334917946 58.1499999924738,2.41666701412099 58.1499999930086,2.41666701414899 58.1999999930193,2.66666667658727 58.1999999944392,2.66666667650582 57.9999999944057,2.33333334908574 57.9999999924398,2.33333334917946 58.1499999924738))"
"194","24/3","24","3","N2",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.00000002622129 59.7499999905401,1.9871528044409 59.7499999904387,1.98715280444097 59.7499999904388,2.00000002623982 59.7711333238814,2.00000002622129 59.7499999905401))"
"198","25/1","25","1","N2",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.06666702403138 59.7499999910525,2.00000002622129 59.7499999905401,2.00000002623982 59.7711333238814,2.00000002623988 59.7711333238815,2.03798707582772 59.8333329908654,2.08333302357589 59.8333329912064,2.08333302358903 59.8499999912123,2.15000002159629 59.8499999916946,2.18333302065723 59.8499999919276,2.18333302064562 59.8333329919222,2.20000002019007 59.8333329920368,2.2000000201673 59.7999999920262,2.18333302062237 59.7999999919114,2.183333020634 59.8166669919168,2.15000002157207 59.8166669916835,2.15000002155995 59.799999991678,2.16666702108651 59.7999999917954,2.16666702107463 59.7833329917899,2.06666702405831 59.7833329910644,2.06666702403138 59.7499999910525))"
"1","1/2","1","2","N1","Stratigraphic","http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.55000001108894 56.8833329935846,2.55000001111396 56.9333329935922,2.56666701085193 56.9333329936889,2.56666701084377 56.9166669936864,2.61666701009072 56.9166669939695,2.61666701007539 56.8833329939648,2.55000001108894 56.8833329935846))"
"204","25/7","25","7","N2",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.28333301782681 59.4833329924882,2.21666701950767 59.4833329920419,2.21666701946233 59.4166669920218,2.21666701943961 59.3833329920118,2.1666670207868 59.3833329916619,2.16666702081099 59.4166669916723,2.13333302175563 59.4166669914325,2.13333302176822 59.4333329914379,2.11666702225491 59.433332991316,2.1166670222934 59.4833329913325,2.20000001994929 59.4833329919271,2.20000001996084 59.4999999919322,2.30000001743743 59.4999999926013,2.33333301666169 59.499999992814,2.33333334999501 59.499999992814,2.33333334998525 59.4833329928095,2.33333301665192 59.4833329928095,2.28333301782681 59.4833329924882))"
"279","33/6","33","6","N3",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((1.66666670901474 61.5616388774817,1.66666670901474 61.5616395383786,1.66666704234805 61.5616389885928,1.67371704196551 61.5499999886491,1.7000000406172 61.5499999888818,1.70000004067562 61.5999999889102,1.71666703983957 61.5999999890554,1.71666703985864 61.6166669890648,1.7500000382316 61.6166669893504,1.78333303666397 61.6166669896301,1.78333303668155 61.633332989639,1.81666703517067 61.6333329899125,1.81666703518755 61.6499999899211,1.81666703522126 61.6833329899385,1.78333303673423 61.6833329896657,1.78333303675175 61.6999999896746,1.76666703753002 61.6999999895361,1.7666670375479 61.7166669895452,1.75000003834122 61.7166669894053,1.75000003837766 61.7499999894237,1.76666703758362 61.7499999895633,2.00000002790266 61.7499999913677,2.00000002786237 61.6999999913454,2.00000002782199 61.6499999913231,1.86666703302406 61.6499999903203,1.86666703299229 61.6166669903037,1.81666703515379 61.6166669899039,1.81666703513689 61.5999999898952,1.75000003821329 61.5999999893413,1.75000003815827 61.5499999893141,1.71666703978231 61.5499999890274,1.7166670397632 61.5333329890181,2.00000002772744 61.5333329912713,2.00000002770034 61.4999999912567,1.98333302830541 61.4999999911351,1.96666702892218 61.4999999910123,1.93333303019181 61.4999999907624,1.70393337369399 61.4999999888881,1.70393337369392 61.4999999888882,1.66666670901476 61.5616388774817,1.66666670901474 61.5616388774817))"
"280","33/9","33","9","N3",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((1.7039333737524 61.4999999887908,1.70393337369399 61.4999999888881,1.93333303019181 61.4999999907624,1.93333303017708 61.4833329907546,1.90000003149541 61.483332990499,1.90000003148006 61.466666990491,1.88333303215796 61.466666990361,1.86666703284878 61.4666669902296,1.86666703283278 61.4499999902214,1.8333330342536 61.449999989954,1.83333303423692 61.4333329899456,1.76666703724233 61.4333329893927,1.76666703725137 61.4416669893972,1.73905803856358 61.4416669891614,1.7039333737524 61.4999999887908))"
"240","29/9","29","9","N3",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((1.97107573833921 60.4499999906678,2.00000002682633 60.4499999908132,2.000000026741 60.349999990773,1.99042373010519 60.3499999907609,1.97753613870199 60.4166666572935,1.97107573833921 60.4499999906678))"
"2","1/3","1","3","N1",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.66666667601503 56.833332994231,2.66666800774005 56.9166669943758,2.70000000893803 56.9166669944184,2.70000000893115 56.8999999944162,2.71666700871527 56.8999999945026,2.71666700870854 56.8833329945005,2.70000000892427 56.883332994414,2.7000000089036 56.8333329944075,2.66666700934836 56.833332994231,2.66666667601503 56.833332994231))"
"239","29/6","29","6","N3","Stratigraphic","http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.00000002693952 60.5833329908673,1.95833302843422 60.583332990547,1.94508902892452 60.5833329904433,1.93691252926904 60.6249999903968,1.92873614072824 60.666666657017,1.9287360750293 60.6666669903503,2.00000002700993 60.6666669909015,2.00000002693952 60.5833329908673))"
"45","7/11","7","11","N1",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.60000001049164 57.2499999939263,2.61666701024263 57.2499999940187,2.61666701023509 57.2333329940162,2.60000001048393 57.2333329939237,2.60000001049164 57.2499999939263))"
"239","29/6","29","6","N3","Stratigraphic","http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((1.9287360750293 60.6666669903503,1.9274389378764 60.673248207779,1.91666703013731 60.7279029902815,1.91230003032743 60.7499999902565,2.0000000270801 60.7499999909359,2.00000002700993 60.6666669909015,1.9287360750293 60.6666669903503))"
"42","7/8","7","8","N1",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.61666701024263 57.2499999940187,2.60000001049164 57.2499999939263,2.60000001049934 57.2666669939289,2.61666701025017 57.2666669940213,2.61666701024263 57.2499999940187))"
"238","29/3","29","3","N3","Stratigraphic","http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.0000000270801 60.7499999909359,1.91230003032743 60.7499999902565,1.90240003076224 60.7999999901999,2.00000002712208 60.7999999909567,2.0000000270801 60.7499999909359))"
"247","30/7","30","7","N3",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.000000026741 60.349999990773,2.00000002682633 60.4499999908132,2.10000002353356 60.4499999915509,2.10000002357114 60.4999999915695,2.33333301723415 60.4999999931028,2.33333301721549 60.4666669930927,2.33333335054882 60.4666669930927,2.33333335051141 60.3999999930726,2.33333301717808 60.3999999930726,2.33333301715934 60.3666669930627,2.31666701755395 60.3666669929606,2.31666701754436 60.3499999929556,2.000000026741 60.349999990773))"
"238","29/3","29","3","N3","Stratigraphic","http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((1.98333302788561 60.9999999909161,2.00000002728909 60.9999999910407,2.00000002712208 60.7999999909567,1.90240003076224 60.7999999901999,1.90239703076235 60.7999999901998,1.895778031056 60.8333329901619,1.87916703180346 60.9166669900665,1.86843346775673 60.9702435179248,1.86247225479232 60.9999999899703,1.91666703038936 60.9999999904037,1.91666703034326 60.949999990381,1.96666702845031 60.9499999907683,1.96666702847923 60.9833329907828,1.9500000290988 60.9833329906553,1.95000002911354 60.9999999906627,1.98333302788561 60.9999999909161))"
"281","33/12","33","12","N3",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((1.8456862116123 61.0833329898732,1.93333302982045 61.0833329905713,1.93333302979045 61.0499999905563,1.91666703043535 61.0499999904264,1.9166670304047 61.0166669904112,1.91666703038936 60.9999999904037,1.86247225479232 60.9999999899703,1.8456862116123 61.0833329898732))"
"277","33/3","33","3","N3",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.00000002799633 61.8666669914203,1.76666703770824 61.8666669896271,1.66666704271679 61.8666669887725,1.66666704287655 61.9999999888523,1.83333303479742 61.999999990237,2.00000002810281 61.9999999914808,2.00000002799633 61.8666669914203))"
"204","25/7","25","7","N2","Stratigraphic","http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.28333301779556 59.433332992474,2.26666701820255 59.4333329923642,2.25000001861783 59.433332992253,2.25000001860694 59.4166669922481,2.21666701946233 59.4166669920218,2.21666701950767 59.4833329920419,2.28333301782681 59.4833329924882,2.2833330178164 59.4666669924835,2.30000001741705 59.4666669925919,2.30000001740174 59.4416669925849,2.28333301780077 59.4416669924764,2.28333301779556 59.433332992474))"
"201","25/4","25","4","N2",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.30000001743743 59.4999999926013,2.20000001996084 59.4999999919322,2.20000001998391 59.5333329919425,2.26666701826633 59.5333329923931,2.26666701828752 59.5666669924029,2.28333301787875 59.5666669925122,2.28333301788912 59.583332992517,2.30000001748825 59.5833329926249,2.30000001743743 59.4999999926013))"
"238","29/3","29","3","N3",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((1.91666703038936 60.9999999904037,1.95000002911354 60.9999999906627,1.9500000290988 60.9833329906553,1.96666702847923 60.9833329907828,1.96666702845031 60.9499999907683,1.91666703034326 60.949999990381,1.91666703038936 60.9999999904037))"
"244","30/4","30","4","N3","Stratigraphic","http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.10000002360864 60.5499999915881,2.06666702466702 60.5499999913488,2.06666702468003 60.5666669913552,2.05000002522517 60.5666669912336,2.05000002523844 60.5833329912401,2.00000002693952 60.5833329908673,2.00000002700993 60.6666669909015,2.23333301984108 60.6666669925317,2.2333330197779 60.5666669924982,2.33333301727138 60.5666669931231,2.33333301723415 60.4999999931028,2.10000002357114 60.4999999915695,2.10000002360864 60.5499999915881))"
"43","7/9","7","9","N1",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.66666700963209 57.4999999943263,3.00000000585068 57.4999999958754,3.00000000579655 57.2999999958538,2.85000000728205 57.299999995203,2.85000000726541 57.2499999951969,2.71666700885546 57.2499999945496,2.66666700952672 57.2499999942892,2.66666700955494 57.3166669942989,2.66666667622161 57.3166669942989,2.66666667627079 57.4333329941113,2.66666700960412 57.4333329943163,2.66666700963209 57.4999999943263))"
"198","25/1","25","1","N2",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((2.18333302066884 59.8666669919331,2.18333302068043 59.8833329919385,2.2333330193384 59.8833329922776,2.23333301932752 59.8666669922724,2.18333302066884 59.8666669919331))"
"320","6201/12","6201","12","M3",NULL,"http://www.npd.no/no/Tema/Utvinningstillatelser/Temaartikler/Konsesjonstildelinger/","POLYGON((1.83333303504052 62.2499999903691,1.83333303497594 62.1833329903337,1.66666704309483 62.1833329889631,1.66666704317381 62.2499999890037,1.83333303504052 62.2499999903691))"
