fldName,fldOwnerKind,fldOwnerName,fldOwnershipFromDate,fldOwnershipToDate,fldNpdidField,fldNpdidOwner,fldOwnerDateUpdated,dateSyncNPD
NORDØST FRIGG,BUSINESS ARRANGEMENT AREA,NORDØST FRIGG UNIT,1980-09-12,1995-12-31,43568,42225,9999-12-31,2013-05-08
NORDØST FRIGG,PRODUCTION LICENSE,415,2007-02-16,2009-02-16,43568,4237498,9999-12-31,2013-05-08
NORNE,BUSINESS ARRANGEMENT AREA,NORNE INSIDE,1995-03-09,9999-12-31,43778,40672,9999-12-31,2013-05-08
ODIN,PRODUCTION LICENSE,030,1980-07-18,1995-12-31,43610,21028,9999-12-31,2013-05-08
ODIN,PRODUCTION LICENSE,415,2007-02-16,2009-02-16,43610,4237498,9999-12-31,2013-05-08
ORMEN LANGE,BUSINESS ARRANGEMENT AREA,ORMEN LANGE UNIT,2004-04-02,9999-12-31,2762452,2588637,9999-12-31,2013-05-08
OSEBERG,BUSINESS ARRANGEMENT AREA,OSEBERG UNIT,1984-06-05,2004-06-15,43625,41040,9999-12-31,2013-05-08
OSEBERG,BUSINESS ARRANGEMENT AREA,OSEBERG AREA UNIT,2004-06-16,9999-12-31,43625,3500071,9999-12-31,2013-05-08
OSEBERG SØR,BUSINESS ARRANGEMENT AREA,OSEBERG SØR UNIT,1997-06-10,2004-06-15,43645,40638,9999-12-31,2013-05-08
OSEBERG SØR,BUSINESS ARRANGEMENT AREA,OSEBERG AREA UNIT,2004-06-16,9999-12-31,43645,3500071,9999-12-31,2013-05-08
OSEBERG ØST,PRODUCTION LICENSE,053,1996-10-11,2004-06-15,43639,21220,9999-12-31,2013-05-08
OSEBERG ØST,BUSINESS ARRANGEMENT AREA,OSEBERG AREA UNIT,2004-06-16,9999-12-31,43639,3500071,9999-12-31,2013-05-08
OSELVAR,PRODUCTION LICENSE,274,2009-06-19,9999-12-31,5506919,2060266,9999-12-31,2013-05-08
REV,PRODUCTION LICENSE,038 C,2007-06-15,9999-12-31,4467554,4005057,9999-12-31,2013-05-08
RINGHORNE ØST,BUSINESS ARRANGEMENT AREA,RINGHORNE ØST UNIT,2005-11-10,9999-12-31,3505505,3505593,9999-12-31,2013-05-08
SIGYN,PRODUCTION LICENSE,072,2001-08-31,9999-12-31,1630100,21372,9999-12-31,2013-05-08
SKARV,BUSINESS ARRANGEMENT AREA,SKARV UNIT,2007-12-18,9999-12-31,4704482,4468539,9999-12-31,2013-05-08
SKIRNE,PRODUCTION LICENSE,102,2002-07-05,9999-12-31,2138816,21620,9999-12-31,2013-05-08
SKULD,PRODUCTION LICENSE,128,2012-01-20,9999-12-31,21350124,21836,9999-12-31,2013-05-08
SLEIPNER VEST,PRODUCTION LICENSE,046,1992-12-14,1994-06-30,43457,21156,9999-12-31,2013-05-08
SLEIPNER VEST,BUSINESS ARRANGEMENT AREA,SLEIPNER VEST UNIT,1994-07-01,9999-12-31,43457,40848,9999-12-31,2013-05-08
SLEIPNER ØST,PRODUCTION LICENSE,046,1986-12-15,1993-01-14,43478,21156,9999-12-31,2013-05-08
SLEIPNER ØST,BUSINESS ARRANGEMENT AREA,SLEIPNER ØST UNIT,1993-01-15,9999-12-31,43478,41211,9999-12-31,2013-05-08
SNORRE,BUSINESS ARRANGEMENT AREA,SNORRE UNIT,1988-05-27,9999-12-31,43718,40906,9999-12-31,2013-05-08
SNØHVIT,BUSINESS ARRANGEMENT AREA,SNØHVIT UNIT,2002-03-07,9999-12-31,2053062,1333943,9999-12-31,2013-05-08
STATFJORD,PRODUCTION LICENSE,037,1976-06-16,1979-05-31,43658,21084,9999-12-31,2013-05-08
STATFJORD,BUSINESS ARRANGEMENT AREA,STATFJORD UNIT,1979-06-01,9999-12-31,43658,41686,9999-12-31,2013-05-08
STATFJORD NORD,PRODUCTION LICENSE,037,1990-12-11,9999-12-31,43679,21084,9999-12-31,2013-05-08
STATFJORD ØST,BUSINESS ARRANGEMENT AREA,STATFJORD ØST UNIT,1991-06-26,9999-12-31,43672,41233,9999-12-31,2013-05-08
SVALIN,PRODUCTION LICENSE,169,2012-11-23,9999-12-31,22507971,22164,9999-12-31,2013-05-08
SYGNA,BUSINESS ARRANGEMENT AREA,SYGNA UNIT,1999-04-30,9999-12-31,104718,96205,9999-12-31,2013-05-08
TAMBAR,PRODUCTION LICENSE,065,2000-04-03,9999-12-31,1028599,21316,9999-12-31,2013-05-08
TAMBAR ØST,BUSINESS ARRANGEMENT AREA,TAMBAR ØST UNIT,2007-06-28,9999-12-31,4999528,4999504,9999-12-31,2013-05-08
TOMMELITEN GAMMA,BUSINESS ARRANGEMENT AREA,TOMMELITEN UNIT,1986-06-12,9999-12-31,43444,41411,9999-12-31,2013-05-08
TOR,PRODUCTION LICENSE,018,1973-05-04,1975-12-09,43520,20900,9999-12-31,2013-05-08
TOR,BUSINESS ARRANGEMENT AREA,TOR UNIT,1975-12-10,9999-12-31,43520,45891,9999-12-31,2013-05-08
TORDIS,PRODUCTION LICENSE,089,1991-05-14,9999-12-31,43725,21516,9999-12-31,2013-05-08
TROLL,BUSINESS ARRANGEMENT AREA,TROLL UNIT,1987-01-01,9999-12-31,46437,41105,9999-12-31,2013-05-08
TRYM,PRODUCTION LICENSE,147,2010-03-26,9999-12-31,18081500,21988,9999-12-31,2013-05-08
TUNE,PRODUCTION LICENSE,190,1999-12-17,9999-12-31,853376,22332,9999-12-31,2013-05-08
TYRIHANS,BUSINESS ARRANGEMENT AREA,TYRIHANS UNIT,2006-02-16,9999-12-31,3960848,3488806,9999-12-31,2013-05-08
ULA,PRODUCTION LICENSE,019,1980-05-30,9999-12-31,43800,20916,9999-12-31,2013-05-08
URD,PRODUCTION LICENSE,128,2004-07-02,9999-12-31,2834734,21836,9999-12-31,2013-05-08
VALE,PRODUCTION LICENSE,036,2001-03-23,9999-12-31,1578893,21076,9999-12-31,2013-05-08
VALEMON,BUSINESS ARRANGEMENT AREA,VALEMON UNIT,2011-06-09,9999-12-31,20460969,18403644,9999-12-31,2013-05-08
VALHALL,PRODUCTION LICENSE,006,1977-06-02,1982-09-27,43548,20804,9999-12-31,2013-05-08
VALHALL,BUSINESS ARRANGEMENT AREA,VALHALL UNIT,1982-09-28,9999-12-31,43548,41657,9999-12-31,2013-05-08
VARG,PRODUCTION LICENSE,038,1996-05-03,9999-12-31,43451,21092,9999-12-31,2013-05-08
VEGA,PRODUCTION LICENSE,248,2007-06-14,2011-02-28,4467595,102285,9999-12-31,2013-05-08
VEGA,BUSINESS ARRANGEMENT AREA,VEGA UNIT,2011-03-01,9999-12-31,4467595,20459640,9999-12-31,2013-05-08
VESLEFRIKK,PRODUCTION LICENSE,052,1987-06-02,9999-12-31,43618,21212,9999-12-31,2013-05-08
VEST EKOFISK,PRODUCTION LICENSE,018,1973-05-04,9999-12-31,43513,20900,9999-12-31,2013-05-08
VIGDIS,PRODUCTION LICENSE,089,1994-12-16,9999-12-31,43732,21516,9999-12-31,2013-05-08
VILJE,PRODUCTION LICENSE,036,2005-03-18,2008-10-16,3392471,21076,9999-12-31,2013-05-08
VILJE,PRODUCTION LICENSE,036 D,2008-10-17,9999-12-31,3392471,5081703,9999-12-31,2013-05-08
VISUND,BUSINESS ARRANGEMENT AREA,VISUND INSIDE,1996-03-29,9999-12-31,43745,40726,9999-12-31,2013-05-08
VISUND SØR,BUSINESS ARRANGEMENT AREA,VISUND INSIDE,2011-06-10,9999-12-31,20461008,40726,9999-12-31,2013-05-08
VOLUND,PRODUCTION LICENSE,150,2007-01-18,9999-12-31,4380167,22012,9999-12-31,2013-05-08
VOLVE,BUSINESS ARRANGEMENT AREA,SLEIPNER ØST UNIT,2005-04-22,2006-11-27,3420717,41211,9999-12-31,2013-05-08
VOLVE,PRODUCTION LICENSE,046 BS,2006-11-28,9999-12-31,3420717,4227659,9999-12-31,2013-05-08
YME,PRODUCTION LICENSE,114,1995-01-06,2001-12-31,43807,21716,9999-12-31,2013-05-08
YME,PRODUCTION LICENSE,316,2004-06-18,9999-12-31,43807,2786469,9999-12-31,2013-05-08
YTTERGRYTA,PRODUCTION LICENSE,062,2008-05-21,9999-12-31,4973114,21292,9999-12-31,2013-05-08
ØST FRIGG,PRODUCTION LICENSE,026,1984-12-14,1987-11-30,43576,20980,9999-12-31,2013-05-08
ØST FRIGG,BUSINESS ARRANGEMENT AREA,ØST FRIGG UNIT,1987-12-01,2000-12-31,43576,41313,9999-12-31,2013-05-08
ØST FRIGG,PRODUCTION LICENSE,362,2006-01-06,9999-12-31,43576,3810565,9999-12-31,2013-05-08
ÅSGARD,BUSINESS ARRANGEMENT AREA,ÅSGARD UNIT,1996-06-14,9999-12-31,43765,40564,9999-12-31,2013-05-08
