baaName,baaAreaPolyDateValidFrom,baaAreaPolyDateValidTo,baaAreaPolyNationCode2,baaAreaPolyBlockName,baaAreaPolyNo,baaAreaPolyArea,baaNpdidBsnsArrArea,baaAreaPolyDateUpdated,dateSyncNPD
SNØHVIT UNIT,2009-01-01,2012-01-01,NO,7120/6,5,39.503,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2009-01-01,2012-01-01,NO,7121/4,6,98.178,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2009-01-01,2012-01-01,NO,7121/7,7,77.025,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2009-01-01,2012-01-01,NO,7120/5,8,105.063,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2009-01-01,2012-01-01,NO,7121/5,9,28.405,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2009-01-01,2012-01-01,NO,7121/5,10,15.242,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2009-01-01,2012-01-01,NO,7121/5,11,4.364,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2009-01-01,2012-01-01,NO,7121/5,12,15.368,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2000-07-21,2009-01-01,NO,7120/8,1,163.432,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2000-07-21,2009-01-01,NO,7120/7,2,107.346,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2000-07-21,2009-01-01,NO,7120/9,3,70.441,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2000-07-21,2009-01-01,NO,7120/6,4,43.891,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2000-07-21,2009-01-01,NO,7120/6,5,101.521,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2000-07-21,2009-01-01,NO,7121/4,6,100.360,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2000-07-21,2009-01-01,NO,7121/7,7,101.257,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2000-07-21,2009-01-01,NO,7120/5,8,105.063,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2000-07-21,2009-01-01,NO,7121/5,9,74.210,1333943,9999-12-31,2013-05-08
SNØHVIT UNIT,2000-07-21,2009-01-01,NO,7121/5,10,30.729,1333943,9999-12-31,2013-05-08
STATFJORD UNIT,1979-06-01,9999-12-31,NO,UNKNOWN,3,30.145,41686,9999-12-31,2013-05-08
STATFJORD UNIT,1979-06-01,9999-12-31,NO,33/9,1,85.403,41686,9999-12-31,2013-05-08
STATFJORD UNIT,1979-06-01,9999-12-31,NO,33/12,2,36.432,41686,9999-12-31,2013-05-08
STATFJORD ØST UNIT,1991-06-26,9999-12-31,NO,34/7,1,14.910,41233,9999-12-31,2013-05-08
STATFJORD ØST UNIT,1991-06-26,9999-12-31,NO,33/9,2,11.603,41233,9999-12-31,2013-05-08
SYGNA UNIT,1998-12-16,9999-12-31,NO,33/9,1,4.125,96205,9999-12-31,2013-05-08
SYGNA UNIT,1998-12-16,9999-12-31,NO,34/7,2,4.124,96205,9999-12-31,2013-05-08
TAMBAR ØST UNIT,2006-01-01,9999-12-31,NO,1/3,1,5.276,4999504,9999-12-31,2013-05-08
TAMBAR ØST UNIT,2006-01-01,9999-12-31,NO,2/1,2,0.366,4999504,9999-12-31,2013-05-08
TAMBAR ØST UNIT,2006-01-01,9999-12-31,NO,2/1,3,3.762,4999504,9999-12-31,2013-05-08
TOMMELITEN UNIT,2008-01-01,9999-12-31,NO,1/9,1,31.977,41411,9999-12-31,2013-05-08
TOMMELITEN UNIT,2008-01-01,9999-12-31,NO,1/9,2,16.072,41411,9999-12-31,2013-05-08
TOMMELITEN UNIT,1986-06-12,2008-01-01,NO,1/9,2,18.550,41411,9999-12-31,2013-05-08
TOMMELITEN UNIT,1986-06-12,2008-01-01,NO,1/9,1,34.517,41411,9999-12-31,2013-05-08
TOR UNIT,1975-12-10,9999-12-31,NO,2/4,1,34.164,45891,9999-12-31,2013-05-08
TOR UNIT,1975-12-10,9999-12-31,NO,2/5,2,37.960,45891,9999-12-31,2013-05-08
TROLL UNIT,2002-01-25,9999-12-31,NO,31/2,1,306.285,41105,9999-12-31,2013-05-08
TROLL UNIT,2002-01-25,9999-12-31,NO,31/3,2,114.577,41105,9999-12-31,2013-05-08
TROLL UNIT,2002-01-25,9999-12-31,NO,31/5,3,50.911,41105,9999-12-31,2013-05-08
TROLL UNIT,2002-01-25,9999-12-31,NO,31/5,4,106.460,41105,9999-12-31,2013-05-08
TROLL UNIT,2002-01-25,9999-12-31,NO,31/6,5,425.191,41105,9999-12-31,2013-05-08
TROLL UNIT,2002-01-25,9999-12-31,NO,31/3,6,10.084,41105,9999-12-31,2013-05-08
TROLL UNIT,2002-01-25,9999-12-31,NO,31/3,7,3.370,41105,9999-12-31,2013-05-08
TROLL UNIT,2002-01-25,9999-12-31,NO,31/6,8,5.079,41105,9999-12-31,2013-05-08
TROLL UNIT,1987-01-01,2002-01-25,NO,31/2,1,306.285,41105,9999-12-31,2013-05-08
TROLL UNIT,1987-01-01,2002-01-25,NO,31/3,2,114.577,41105,9999-12-31,2013-05-08
TROLL UNIT,1987-01-01,2002-01-25,NO,31/5,3,50.911,41105,9999-12-31,2013-05-08
TROLL UNIT,1987-01-01,2002-01-25,NO,31/5,4,106.460,41105,9999-12-31,2013-05-08
TROLL UNIT,1987-01-01,2002-01-25,NO,31/6,5,425.191,41105,9999-12-31,2013-05-08
TYRIHANS UNIT,2005-06-23,9999-12-31,NO,6407/1,1,73.479,3488806,9999-12-31,2013-05-08
TYRIHANS UNIT,2005-06-23,9999-12-31,NO,6406/3,2,16.169,3488806,9999-12-31,2013-05-08
TYRIHANS UNIT,2005-06-23,9999-12-31,NO,6406/3,3,27.972,3488806,9999-12-31,2013-05-08
VALEMON UNIT,2012-04-11,9999-12-31,NO,34/11,1,78.138,18403644,9999-12-31,2013-05-08
VALEMON UNIT,2012-04-11,9999-12-31,NO,34/11,2,5.002,18403644,9999-12-31,2013-05-08
VALEMON UNIT,2012-04-11,9999-12-31,NO,34/10,3,63.949,18403644,9999-12-31,2013-05-08
VALEMON UNIT,2012-04-11,9999-12-31,NO,30/1,4,6.701,18403644,9999-12-31,2013-05-08
VALEMON UNIT,2012-04-11,9999-12-31,NO,34/10,5,2.091,18403644,9999-12-31,2013-05-08
VALEMON UNIT,2012-04-11,9999-12-31,NO,34/10,6,47.282,18403644,9999-12-31,2013-05-08
VALEMON UNIT,2011-12-21,2012-04-11,NO,34/10,1,47.282,18403644,9999-12-31,2013-05-08
VALEMON UNIT,2011-12-21,2012-04-11,NO,30/1,2,6.701,18403644,9999-12-31,2013-05-08
VALEMON UNIT,2011-12-21,2012-04-11,NO,34/10,3,63.949,18403644,9999-12-31,2013-05-08
VALEMON UNIT,2011-12-21,2012-04-11,NO,34/11,4,78.138,18403644,9999-12-31,2013-05-08
VALEMON UNIT,2011-12-21,2012-04-11,NO,34/11,5,5.002,18403644,9999-12-31,2013-05-08
VALEMON UNIT,2011-12-21,2012-04-11,NO,34/10,6,2.091,18403644,9999-12-31,2013-05-08
VALEMON UNIT,2010-09-27,2011-12-21,NO,34/10,1,47.282,18403644,9999-12-31,2013-05-08
VALEMON UNIT,2010-09-27,2011-12-21,NO,30/1,2,6.701,18403644,9999-12-31,2013-05-08
VALEMON UNIT,2010-09-27,2011-12-21,NO,34/10,3,63.949,18403644,9999-12-31,2013-05-08
VALEMON UNIT,2010-09-27,2011-12-21,NO,34/11,4,78.138,18403644,9999-12-31,2013-05-08
VALEMON UNIT,2010-09-27,2011-12-21,NO,34/11,5,5.002,18403644,9999-12-31,2013-05-08
VALEMON UNIT,2010-09-27,2011-12-21,NO,34/10,6,2.091,18403644,9999-12-31,2013-05-08
VALHALL UNIT,1982-09-28,9999-12-31,NO,2/8,1,86.193,41657,9999-12-31,2013-05-08
VALHALL UNIT,1982-09-28,9999-12-31,NO,2/11,2,28.774,41657,9999-12-31,2013-05-08
VEGA UNIT,2011-03-01,9999-12-31,NO,35/11,1,2.443,20459640,9999-12-31,2013-05-08
VEGA UNIT,2011-03-01,9999-12-31,NO,35/8,2,24.768,20459640,9999-12-31,2013-05-08
VEGA UNIT,2011-03-01,9999-12-31,NO,35/7,3,4.452,20459640,9999-12-31,2013-05-08
VEGA UNIT,2011-03-01,9999-12-31,NO,35/8,4,10.174,20459640,9999-12-31,2013-05-08
VEGA UNIT,2011-03-01,9999-12-31,NO,35/11,5,20.895,20459640,9999-12-31,2013-05-08
VISUND INSIDE,1995-01-01,9999-12-31,NO,34/8,1,109.243,40726,9999-12-31,2013-05-08
ØST FRIGG UNIT,1987-12-01,2000-12-31,NO,25/1,1,17.320,41313,9999-12-31,2013-05-08
ØST FRIGG UNIT,1987-12-01,2000-12-31,NO,25/2,2,32.907,41313,9999-12-31,2013-05-08
ØST FRIGG UNIT,1987-12-01,2000-12-31,NO,25/2,3,1.733,41313,9999-12-31,2013-05-08
ØST FRIGG UNIT,1987-12-01,2000-12-31,NO,25/2,4,3.464,41313,9999-12-31,2013-05-08
ÅSGARD UNIT,2002-06-14,9999-12-31,NO,6507/11,1,48.130,40564,9999-12-31,2013-05-08
ÅSGARD UNIT,2002-06-14,9999-12-31,NO,6407/3,2,17.567,40564,9999-12-31,2013-05-08
ÅSGARD UNIT,2002-06-14,9999-12-31,NO,6407/2,3,57.051,40564,9999-12-31,2013-05-08
ÅSGARD UNIT,2002-06-14,9999-12-31,NO,6506/12,4,55.460,40564,9999-12-31,2013-05-08
ÅSGARD UNIT,2002-06-14,9999-12-31,NO,6506/12,5,217.995,40564,9999-12-31,2013-05-08
ÅSGARD UNIT,2002-06-14,9999-12-31,NO,6506/11,6,62.711,40564,9999-12-31,2013-05-08
ÅSGARD UNIT,2002-06-14,9999-12-31,NO,6406/3,7,7.308,40564,9999-12-31,2013-05-08
ÅSGARD UNIT,1998-01-30,2002-06-14,NO,6507/11,1,48.130,40564,9999-12-31,2013-05-08
ÅSGARD UNIT,1998-01-30,2002-06-14,NO,6407/3,2,17.567,40564,9999-12-31,2013-05-08
ÅSGARD UNIT,1998-01-30,2002-06-14,NO,6407/2,3,57.051,40564,9999-12-31,2013-05-08
ÅSGARD UNIT,1998-01-30,2002-06-14,NO,6506/12,4,55.460,40564,9999-12-31,2013-05-08
ÅSGARD UNIT,1998-01-30,2002-06-14,NO,6506/12,5,217.995,40564,9999-12-31,2013-05-08
ÅSGARD UNIT,1998-01-30,2002-06-14,NO,6506/11,6,62.711,40564,9999-12-31,2013-05-08
ÅSGARD UNIT,1995-01-01,1998-01-30,NO,6407/2,1,83.422,40564,9999-12-31,2013-05-08
ÅSGARD UNIT,1995-01-01,1998-01-30,NO,6506/11,2,55.421,40564,9999-12-31,2013-05-08
ÅSGARD UNIT,1995-01-01,1998-01-30,NO,6506/12,3,314.258,40564,9999-12-31,2013-05-08
ÅSGARD UNIT,1995-01-01,1998-01-30,NO,6507/11,4,68.548,40564,9999-12-31,2013-05-08
