wlbWellboreName,wlbWell,wlbDrillingOperator,wlbDrillingOperatorGroup,wlbProductionLicence,wlbPurposePlanned,wlbContent,wlbWellType,wlbEntryDate,wlbCompletionDate,wlbField,wlbDrillPermit,wlbDiscovery,wlbDiscoveryWellbore,wlbKellyBushElevation,wlbFinalVerticalDepth,wlbTotalDepth,wlbWaterDepth,wlbMainArea,wlbDrillingFacility,wlbFacilityTypeDrilling,wlbProductionFacility,wlbLicensingActivity,wlbMultilateral,wlbContentPlanned,wlbEntryYear,wlbCompletionYear,wlbReclassFromWellbore,wlbPlotSymbol,wlbGeodeticDatum,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,wlbNsDecDeg,wlbEwDesDeg,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNamePart1,wlbNamePart2,wlbNamePart3,wlbNamePart4,wlbNamePart5,wlbNamePart6,wlbFactPageUrl,wlbFactMapUrl,wlbDiskosWellboreType,wlbDiskosWellboreParent,wlbNpdidWellbore,dscNpdidDiscovery,fldNpdidField,wlbWdssQcdate,prlNpdidProductionLicence,fclNpdidFacilityDrilling,fclNpdidFacilityProducing,wlbNpdidWellboreReclass,wlbDiskosWellOperator,wlbDateUpdated,wlbDateUpdatedMax,dateSyncNPD
15/9-A-2,15/9-A-2,Den norske stats oljeselskap a.s,STATOIL,046,PRODUCTION,GAS,DEVELOPMENT,1995-08-29,1996-03-04,GUNGNE,1063-P,15/9-15 GUNGNE,NO,78.0,NULL,8561.0,82.0,NORTH SEA,SLEIPNER A,CONDEEP 4 SHAFTS,SLEIPNER A,3,NO,GAS,1995,1996,NULL,90,ED50,58,22,2.69,N,1,54,29.7,E,58.367414,1.908250,6470282.63,436128.42,31,15,9,A,2,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=2651,http://www.npd.no/FactMapSearch?NPDID_wellbore=2651,initial,NULL,2651,43922,43464,9999-12-31,21156,272365,272365,0,STATOIL,2012-07-25,2012-07-25,2013-05-08
15/9-A-3,15/9-A-3,Den norske stats oljeselskap a.s,STATOIL,046,PRODUCTION,GAS,DEVELOPMENT,2000-05-21,2001-02-03,GUNGNE,1723-P,15/9-15 GUNGNE,NO,78.0,NULL,7743.0,82.0,NORTH SEA,SLEIPNER A,CONDEEP 4 SHAFTS,SLEIPNER A,3,NO,GAS,2000,2001,NULL,90,ED50,58,22,2.75,N,1,54,29.78,E,58.367431,1.908272,6470284.47,436129.75,31,15,9,A,3,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4046,http://www.npd.no/FactMapSearch?NPDID_wellbore=4046,initial,NULL,4046,43922,43464,9999-12-31,21156,272365,272365,0,STATOIL,2012-07-25,2012-07-25,2013-05-08
15/9-A-4,15/9-A-4,Den norske stats oljeselskap a.s,STATOIL,046,INJECTION,GAS,DEVELOPMENT,2000-01-15,2000-04-12,SLEIPNER ØST,1683-P,15/9-9 SLEIPNER ØST,NO,78.0,NULL,4780.0,82.0,NORTH SEA,SLEIPNER A,CONDEEP 4 SHAFTS,SLEIPNER A,3,NO,GAS,2000,2000,NULL,91,ED50,58,22,2.82,N,1,54,29.86,E,58.367450,1.908294,6470286.61,436131.09,31,15,9,A,4,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=3979,http://www.npd.no/FactMapSearch?NPDID_wellbore=3979,initial,NULL,3979,43946,43478,9999-12-31,21156,272365,272365,0,STATOIL,2012-07-25,2012-07-25,2013-05-08
15/9-A-5,15/9-A-5,Den norske stats oljeselskap a.s,STATOIL,046,PRODUCTION,GAS,DEVELOPMENT,1994-08-28,1994-11-11,SLEIPNER ØST,957-P,15/9-9 SLEIPNER ØST,NO,78.0,NULL,3510.0,82.0,NORTH SEA,SLEIPNER A,CONDEEP 4 SHAFTS,SLEIPNER A,3,NO,GAS,1994,1994,NULL,90,ED50,58,22,2.01,N,1,54,32.2,E,58.367225,1.908944,6470260.94,436168.71,31,15,9,A,5,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=2397,http://www.npd.no/FactMapSearch?NPDID_wellbore=2397,initial,NULL,2397,43946,43478,9999-12-31,21156,272365,272365,0,STATOIL,2012-07-25,2012-07-25,2013-05-08
15/9-A-6,15/9-A-6,Den norske stats oljeselskap a.s,STATOIL,046,PRODUCTION,GAS,DEVELOPMENT,1993-09-14,1993-11-05,SLEIPNER ØST,838-P,15/9-9 SLEIPNER ØST,NO,78.0,NULL,2884.0,82.0,NORTH SEA,SLEIPNER A,CONDEEP 4 SHAFTS,SLEIPNER A,3,NO,GAS,1993,1993,NULL,90,ED50,58,22,2.64,N,1,54,29.86,E,58.367400,1.908294,6470281.04,436131.00,31,15,9,A,6,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=2199,http://www.npd.no/FactMapSearch?NPDID_wellbore=2199,initial,NULL,2199,43946,43478,9999-12-31,21156,272365,272365,0,STATOIL,2012-07-25,2012-07-25,2013-05-08
15/9-A-7,15/9-A-7,Statoil ASA (old),STATOIL,046,PRODUCTION,GAS,DEVELOPMENT,2002-01-01,2002-02-09,SLEIPNER ØST,2054-P,15/9-9 SLEIPNER ØST,NO,78.0,NULL,3168.0,82.0,NORTH SEA,SLEIPNER A,CONDEEP 4 SHAFTS,SLEIPNER A,3,NO,GAS,2002,2002,NULL,90,ED50,58,22,2.71,N,1,54,29.91,E,58.367419,1.908308,6470283.20,436131.85,31,15,9,A,7,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4462,http://www.npd.no/FactMapSearch?NPDID_wellbore=4462,initial,NULL,4462,43946,43478,9999-12-31,21156,272365,272365,0,STATOIL ASA (OLD),2012-07-25,2012-07-25,2013-05-08
15/9-A-8,15/9-A-8,Den norske stats oljeselskap a.s,STATOIL,046,PRODUCTION,GAS,DEVELOPMENT,1995-04-20,1995-05-28,SLEIPNER ØST,1028-P,15/9-9 SLEIPNER ØST,NO,78.0,NULL,3650.0,82.0,NORTH SEA,SLEIPNER A,CONDEEP 4 SHAFTS,SLEIPNER A,3,NO,GAS,1995,1995,NULL,90,ED50,58,22,2.78,N,1,54,29.99,E,58.367439,1.908331,6470285.34,436133.18,31,15,9,A,8,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=2567,http://www.npd.no/FactMapSearch?NPDID_wellbore=2567,initial,NULL,2567,43946,43478,9999-12-31,21156,272365,272365,0,STATOIL,2012-07-25,2012-07-25,2013-05-08
15/9-A-9,15/9-A-9,Den norske stats oljeselskap a.s,STATOIL,046,PRODUCTION,GAS,DEVELOPMENT,1994-05-23,1994-06-12,SLEIPNER ØST,915-P,15/9-9 SLEIPNER ØST,NO,78.0,NULL,2830.0,82.0,NORTH SEA,SLEIPNER A,CONDEEP 4 SHAFTS,SLEIPNER A,3,NO,GAS,1994,1994,NULL,90,ED50,58,22,2.54,N,1,54,29.89,E,58.367372,1.908303,6470277.94,436131.44,31,15,9,A,9,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=2350,http://www.npd.no/FactMapSearch?NPDID_wellbore=2350,initial,NULL,2350,43946,43478,9999-12-31,21156,272365,272365,0,STATOIL,2012-07-25,2012-07-25,2013-05-08
15/9-A-10,15/9-A-10,Den norske stats oljeselskap a.s,STATOIL,046,PRODUCTION,GAS,DEVELOPMENT,1993-08-05,1993-09-14,SLEIPNER ØST,830-P,15/9-9 SLEIPNER ØST,NO,78.0,NULL,2648.0,82.0,NORTH SEA,SLEIPNER A,CONDEEP 4 SHAFTS,SLEIPNER A,3,NO,GAS,1993,1993,NULL,90,ED50,58,22,2.6,N,1,54,29.99,E,58.367389,1.908331,6470279.77,436133.09,31,15,9,A,10,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=2174,http://www.npd.no/FactMapSearch?NPDID_wellbore=2174,initial,NULL,2174,43946,43478,9999-12-31,21156,272365,272365,0,STATOIL,2012-07-25,2012-07-25,2013-05-08
15/9-A-11,15/9-A-11,Statoil ASA (old),STATOIL,046,PRODUCTION,GAS,DEVELOPMENT,2002-07-01,2002-08-18,SLEIPNER ØST,2142-P,15/9-9 SLEIPNER ØST,NO,78.0,NULL,3098.0,82.0,NORTH SEA,SLEIPNER A,CONDEEP 4 SHAFTS,SLEIPNER A,3,NO,GAS,2002,2002,NULL,90,ED50,58,22,2.67,N,1,54,30.04,E,58.367408,1.908344,6470281.92,436133.94,31,15,9,A,11,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=4565,http://www.npd.no/FactMapSearch?NPDID_wellbore=4565,initial,NULL,4565,43946,43478,9999-12-31,21156,272365,272365,0,STATOIL ASA (OLD),2012-07-25,2012-11-02,2013-05-08
