prlName,prlLicensingActivityName,prlMainArea,prlStatus,prlDateGranted,prlDateValidTo,prlOriginalArea,prlCurrentArea,prlPhaseCurrent,prlNpdidLicence,prlFactPageUrl,prlFactMapUrl,prlDateUpdated,prlDateUpdatedMax,dateSyncNPD
090,8,North sea,ACTIVE,1984-03-09,2024-03-09,500.509,181.640,PRODUCTION,21524,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21524,http://www.npd.no/FactMapSearch?NPDID_production_licence=21524,2013-03-01,2013-03-01,2013-05-08
090 B,Awarded additionaly to round 8,North sea,ACTIVE,2005-05-25,2024-03-09,21.660,21.660,PRODUCTION,3426781,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=3426781,http://www.npd.no/FactMapSearch?NPDID_production_licence=3426781,9999-12-31,9999-12-31,2013-05-08
090 C,Awarded additionaly to round 8,North sea,ACTIVE,2005-05-25,2024-03-09,21.663,21.663,PRODUCTION,3426824,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=3426824,http://www.npd.no/FactMapSearch?NPDID_production_licence=3426824,9999-12-31,9999-12-31,2013-05-08
090 D,TFO2005,North sea,INACTIVE,2006-01-06,2010-01-06,25.049,0.000,NULL,3811847,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=3811847,NULL,9999-12-31,9999-12-31,2013-05-08
090 E,TFO2009,North sea,ACTIVE,2010-02-19,2024-03-09,15.078,15.078,PRODUCTION,17642079,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=17642079,http://www.npd.no/FactMapSearch?NPDID_production_licence=17642079,9999-12-31,9999-12-31,2013-05-08
090 F,Awarded additionaly to round 8,North sea,ACTIVE,2013-01-22,2024-03-09,21.046,21.046,PRODUCTION,23268186,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=23268186,http://www.npd.no/FactMapSearch?NPDID_production_licence=23268186,2013-03-01,2013-03-02,2013-05-08
090 G,Awarded additionaly to round 8,North sea,ACTIVE,2013-01-22,2024-03-09,4.485,4.485,PRODUCTION,23268222,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=23268222,http://www.npd.no/FactMapSearch?NPDID_production_licence=23268222,2013-03-01,2013-03-02,2013-05-08
090 HS,Awarded additionaly to round 8,North sea,ACTIVE,2013-04-09,2024-02-19,21.663,21.663,INITIAL,23297006,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=23297006,http://www.npd.no/FactMapSearch?NPDID_production_licence=23297006,2013-04-26,2013-04-27,2013-05-08
091,8,Norwegian sea,ACTIVE,1984-03-09,2029-12-31,440.392,82.399,PRODUCTION,21532,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21532,http://www.npd.no/FactMapSearch?NPDID_production_licence=21532,9999-12-31,9999-12-31,2013-05-08
091 B,TFO2005,Norwegian sea,INACTIVE,2006-01-06,2009-10-06,20.526,0.000,NULL,3812205,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=3812205,NULL,9999-12-31,9999-12-31,2013-05-08
091 C,TFO2005,Norwegian sea,INACTIVE,2006-01-06,2008-02-06,38.043,0.000,NULL,3811888,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=3811888,NULL,9999-12-31,9999-12-31,2013-05-08
091 D,TFO2012,Norwegian sea,ACTIVE,2013-02-08,2014-02-08,14.690,14.690,INITIAL,22813131,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=22813131,http://www.npd.no/FactMapSearch?NPDID_production_licence=22813131,2013-02-26,2013-02-26,2013-05-08
092,8,Norwegian sea,ACTIVE,1984-03-09,2020-03-09,444.465,28.085,PRODUCTION,21540,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21540,http://www.npd.no/FactMapSearch?NPDID_production_licence=21540,9999-12-31,9999-12-31,2013-05-08
093,8,Norwegian sea,ACTIVE,1984-03-09,2024-03-09,448.529,121.249,PRODUCTION,21548,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21548,http://www.npd.no/FactMapSearch?NPDID_production_licence=21548,2012-12-01,2012-12-01,2013-05-08
093 B,TFO2009,Norwegian sea,ACTIVE,2010-02-19,2014-02-19,2.985,2.985,INITIAL EXTENDED,17654585,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=17654585,http://www.npd.no/FactMapSearch?NPDID_production_licence=17654585,2013-02-20,2013-02-20,2013-05-08
093 C,TFO2012,Norwegian sea,ACTIVE,2013-02-08,2014-02-08,22.562,22.562,INITIAL,22813180,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=22813180,http://www.npd.no/FactMapSearch?NPDID_production_licence=22813180,2013-02-26,2013-02-26,2013-05-08
094,8,Norwegian sea,ACTIVE,1984-03-09,2027-04-10,436.310,285.123,PRODUCTION,21556,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21556,http://www.npd.no/FactMapSearch?NPDID_production_licence=21556,9999-12-31,9999-12-31,2013-05-08
094 B,Awarded additionaly to round 8,Norwegian sea,ACTIVE,2002-06-14,2027-04-10,7.308,7.308,PRODUCTION,2092082,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=2092082,http://www.npd.no/FactMapSearch?NPDID_production_licence=2092082,9999-12-31,9999-12-31,2013-05-08
