wlbName,wlbOilSampleTestType,wlbOilSampleTestNumber,wlbOilSampleTopDepth,wlbOilSampleBottomDepth,wlbOilSampleFluidType,wlbOilSampleTestDate,wlbOilSampledateReceivedDate,wlbNpdidWellbore,wlbOilSampleDateUpdated,dateSyncNPD
15/12-8,DST,TEST1,2838.00,2869.00,NULL,1991-07-09,1991-10-01,1778,9999-12-31,2013-05-08
15/12-9 S,DST,DST2,0.00,3385.00,NULL,1992-09-28,1992-10-12,1978,9999-12-31,2013-05-08
15/3-2,DST,NULL,0.00,0.00,NULL,9999-12-31,1991-10-28,310,9999-12-31,2013-05-08
15/3-2,DST,NULL,0.00,0.00,NULL,9999-12-31,1995-08-09,310,9999-12-31,2013-05-08
15/3-2,DST,NULL,0.00,0.00,NULL,9999-12-31,1995-08-09,310,9999-12-31,2013-05-08
15/3-3,DST,NULL,4615.00,4632.00,OIL,9999-12-31,1991-10-28,313,9999-12-31,2013-05-08
15/3-3,DST,NULL,4967.00,4990.00,NULL,9999-12-31,1995-08-09,313,9999-12-31,2013-05-08
15/3-5,DST,NULL,0.00,0.00,NULL,9999-12-31,1991-10-28,52,9999-12-31,2013-05-08
15/3-8,DST,NULL,4141.00,4183.00,OIL,2006-03-04,2006-03-20,5175,9999-12-31,2013-05-08
15/3-8,DST,NULL,0.00,4128.00,OIL,9999-12-31,2010-12-09,5175,9999-12-31,2013-05-08
15/3-8,DST,NULL,0.00,4510.00,OIL,9999-12-31,9999-12-31,5175,9999-12-31,2013-05-08
15/3-8,FMT,NULL,0.00,4508.70,CONDENSATE,9999-12-31,9999-12-31,5175,9999-12-31,2013-05-08
15/5-5,DST,TEST1,2183.50,2154.00,NULL,1995-09-25,1995-10-03,2635,9999-12-31,2013-05-08
15/5-7,DST,NULL,0.00,0.00,OIL,9999-12-31,2011-03-10,5842,9999-12-31,2013-05-08
15/6-11 A,DST,NULL,4158.00,4139.58,OIL,2011-02-25,2011-02-25,6526,9999-12-31,2013-05-08
15/6-12,DST,1A-1B,0.00,0.00,OIL,2011-01-29,2011-03-21,6518,9999-12-31,2013-05-08
15/6-12,MDT,NULL,0.00,3806.00,OIL,9999-12-31,9999-12-31,6518,9999-12-31,2013-05-08
15/6-2,DST,DST7,3582.60,0.00,NULL,1974-07-28,1991-06-21,317,9999-12-31,2013-05-08
15/6-3,DST,TEST2,3490.80,3496.80,NULL,1974-12-15,1991-06-21,318,9999-12-31,2013-05-08
15/8-1,DST,TEST2,3911.00,3926.00,NULL,1981-12-17,1991-10-01,321,9999-12-31,2013-05-08
15/8-1,DST,TEST3,3688.00,3697.00,NULL,1981-12-24,1991-10-01,321,9999-12-31,2013-05-08
15/8-1,DST,TEST4,3643.00,3653.00,NULL,1981-12-29,1991-10-01,321,9999-12-31,2013-05-08
15/9-1,DST,TEST1,0.00,0.00,NULL,1977-05-17,1991-10-01,322,9999-12-31,2013-05-08
15/9-1,DST,TEST2,0.00,0.00,NULL,1977-05-23,1991-10-01,322,9999-12-31,2013-05-08
15/9-10,DST,NULL,0.00,0.00,NULL,1993-09-27,9999-12-31,69,9999-12-31,2013-05-08
15/9-11,DST,TEST1,2797.00,2807.00,NULL,1981-12-01,1991-10-01,329,9999-12-31,2013-05-08
15/9-11,DST,TEST2,2410.00,2432.00,NULL,1980-12-08,1991-10-01,329,9999-12-31,2013-05-08
15/9-11,DST,TEST3,2395.00,2415.00,NULL,1981-12-15,1991-10-01,329,9999-12-31,2013-05-08
15/9-12,DST,TEST1B,3585.00,3595.00,NULL,1982-04-14,1991-10-01,330,9999-12-31,2013-05-08
15/9-12,DST,TEST2,3512.00,3522.00,NULL,1982-04-20,1991-10-01,330,9999-12-31,2013-05-08
15/9-13,DST,TEST1,2765.00,2769.00,NULL,1982-05-16,1991-10-01,45,9999-12-31,2013-05-08
15/9-13,DST,TEST2,2422.00,2427.00,NULL,1982-05-20,1991-10-01,45,9999-12-31,2013-05-08
15/9-15,DST,TEST1,2880.00,2890.00,NULL,1982-07-20,1991-10-01,74,9999-12-31,2013-05-08
15/9-15,DST,TEST2,2830.00,2850.00,NULL,1982-07-25,1991-10-01,74,9999-12-31,2013-05-08
15/9-17,DST,TEST1,2803.00,2813.00,NULL,1983-08-13,1991-10-01,60,9999-12-31,2013-05-08
15/9-17,DST,TEST2,2776.00,2741.00,NULL,1983-03-18,1991-10-01,60,9999-12-31,2013-05-08
15/9-17,DST,TEST3,2385.00,2405.00,NULL,1983-03-24,1991-10-01,60,9999-12-31,2013-05-08
15/9-19 A,DST,TEST1A,3885.00,3889.00,NULL,1997-10-27,1997-11-10,3145,9999-12-31,2013-05-08
15/9-19 A,DST,TEST2B,3865.00,3826.00,NULL,1997-10-30,1997-11-07,3145,9999-12-31,2013-05-08
15/9-19 SR,DST,TEST1,4338.00,4316.00,NULL,1993-04-19,1993-05-10,2105,9999-12-31,2013-05-08
15/9-5,DST,TEST2,3588.00,3593.00,NULL,1980-03-21,1991-10-01,326,9999-12-31,2013-05-08
15/9-7,DST,TEST3,3555.00,3565.00,NULL,1981-04-19,1991-10-01,218,9999-12-31,2013-05-08
15/9-8,DST,TEST1,3450.00,3460.00,NULL,1981-05-15,1991-10-01,327,9999-12-31,2013-05-08
15/9-9,DST,TEST2,2386.00,2392.00,NULL,1981-07-02,1991-10-01,328,9999-12-31,2013-05-08
15/9-9,DST,TEST3,2323.00,2333.00,NULL,1981-07-06,1991-10-01,328,9999-12-31,2013-05-08
15/9-A-10,DST,NULL,2366.30,2297.30,CONDENSATE,1993-09-27,1993-10-01,2174,9999-12-31,2013-05-08
15/9-B-13,DST,NULL,0.00,0.00,NULL,9999-12-31,1997-01-27,2816,9999-12-31,2013-05-08
15/9-B-24,DST,NULL,0.00,0.00,NULL,1997-05-03,1997-05-29,3006,9999-12-31,2013-05-08
15/9-B-4,DST,NULL,0.00,0.00,NULL,9999-12-31,9999-12-31,3170,9999-12-31,2013-05-08
15/9-C-2 AH,DST,NULL,0.00,0.00,NULL,1998-06-25,1998-07-07,3185,9999-12-31,2013-05-08
15/9-C-2 H,DST,NULL,0.00,0.00,NULL,9999-12-31,1993-07-14,2024,9999-12-31,2013-05-08
15/9-D-1 H,DST,NULL,0.00,0.00,NULL,1993-06-03,1993-07-16,2082,9999-12-31,2013-05-08
15/9-D-3 H,DST,NULL,0.00,0.00,NULL,1993-05-16,1993-06-09,2083,9999-12-31,2013-05-08
16/1-10,DST,NULL,0.00,0.00,NULL,9999-12-31,2011-08-06,5879,9999-12-31,2013-05-08
16/1-11,DST,NULL,2445.00,2415.00,OIL,2010-04-16,9999-12-31,6157,9999-12-31,2013-05-08
16/1-13,DST,NULL,0.00,1924.50,NULL,9999-12-31,2011-08-06,6232,9999-12-31,2013-05-08
16/1-13,DST,NULL,0.00,1965.00,NULL,9999-12-31,2011-08-06,6232,9999-12-31,2013-05-08
16/1-15,DST,NULL,0.00,0.00,NULL,9999-12-31,2011-08-06,6517,9999-12-31,2013-05-08
16/1-15,MDT,NULL,0.00,2067.80,OIL,2011-05-07,2012-01-30,6517,9999-12-31,2013-05-08
16/2-3,DST,NULL,0.00,1720.50,OIL,9999-12-31,2011-03-10,5551,9999-12-31,2013-05-08
16/2-4,MDT,NULL,0.00,1858.00,OIL,9999-12-31,9999-12-31,5625,9999-12-31,2013-05-08
16/2-6,DST,NULL,0.00,0.00,NULL,2010-09-11,9999-12-31,6374,2012-10-16,2013-05-08
16/4-4,DST,NULL,0.00,0.00,CONDENSATE,9999-12-31,2011-03-10,5441,9999-12-31,2013-05-08
16/7-4,DST,DST 1,2590.00,2597.00,CONDENSATE,1982-11-28,1991-06-21,91,9999-12-31,2013-05-08
16/7-4,DST,"DST 1,1   ",2565.00,2572.00,NULL,1982-11-28,1980-01-01,91,9999-12-31,2013-05-08
16/7-4,DST,DST2,2525.00,2535.00,CONDENSATE,1982-11-30,1991-06-21,91,9999-12-31,2013-05-08
16/7-4,DST,"DST 2,1   ",2500.00,2535.00,CONDENSATE,1982-11-30,1980-01-01,91,9999-12-31,2013-05-08
16/7-7 S,DST,DST1,2852.00,2785.00,OIL,1997-12-09,1997-12-16,3244,9999-12-31,2013-05-08
16/7-7 S,DST,NULL,0.00,0.00,NULL,1997-12-13,9999-12-31,3244,9999-12-31,2013-05-08
17/12-4,DST,NULL,0.00,0.00,NULL,9999-12-31,9999-12-31,6137,9999-12-31,2013-05-08
17/12-4 A,DST,NULL,0.00,0.00,OIL,9999-12-31,2011-06-17,6178,9999-12-31,2013-05-08
18/10-1,DST,NULL,2389.50,2402.00,NULL,9999-12-31,1991-10-28,342,9999-12-31,2013-05-08
2/11-A-1,DST,NULL,0.00,0.00,NULL,9999-12-31,9999-12-31,1615,9999-12-31,2013-05-08
2/12-1,DST,DST1,4630.00,4647.00,NULL,1986-12-22,1991-02-28,1014,9999-12-31,2013-05-08
2/12-1,DST,DST2,4600.00,4612.00,NULL,1986-12-18,1991-02-28,1014,9999-12-31,2013-05-08
2/1-9,DST,NULL,0.00,0.00,NULL,9999-12-31,1991-07-22,1667,9999-12-31,2013-05-08
2/1-9,DST,DST1,4108.00,4078.00,NULL,1991-06-14,9999-12-31,1667,9999-12-31,2013-05-08
2/2-1,DST,DST1,3715.00,3730.00,NULL,9999-12-31,1991-02-20,46,9999-12-31,2013-05-08
2/2-5,DST,TEST-1,0.00,0.00,NULL,1992-02-12,1992-03-24,1846,9999-12-31,2013-05-08
2/4-17,DST,NULL,4340.90,4387.50,NULL,1992-01-19,1992-02-10,1792,9999-12-31,2013-05-08
2/4-A-14,PROD,NULL,3679.00,3482.00,OIL,1984-07-08,2000-10-02,592,9999-12-31,2013-05-08
2/4-A-3,DST,NULL,0.00,0.00,NULL,1996-03-11,1996-04-15,559,9999-12-31,2013-05-08
2/4-A-5,DST,NULL,0.00,0.00,NULL,1996-03-11,1996-04-15,576,9999-12-31,2013-05-08
2/4-A-7,DST,NULL,0.00,0.00,NULL,1996-03-10,1996-04-15,579,9999-12-31,2013-05-08
2/4-A-9,DST,NULL,0.00,0.00,NULL,1996-03-12,1996-04-15,583,9999-12-31,2013-05-08
2/4-B-10,PROD,NULL,4173.00,4123.00,OIL,1988-07-17,2000-10-02,615,9999-12-31,2013-05-08
2/4-B-12,DST,NULL,0.00,0.00,NULL,1996-02-22,1996-04-15,616,9999-12-31,2013-05-08
2/4-B-13,DST,NULL,2956.00,0.00,NULL,1996-02-21,1996-04-15,1848,9999-12-31,2013-05-08
2/4-B-16,DST,NULL,0.00,0.00,NULL,1996-02-23,1996-04-15,620,9999-12-31,2013-05-08
2/4-B-18,DST,NULL,3278.00,0.00,NULL,1996-03-13,1996-04-15,624,9999-12-31,2013-05-08
2/4-B-19,DST,NULL,3091.00,0.00,NULL,1996-03-13,1996-04-15,625,9999-12-31,2013-05-08
2/4-B-21,DST,NULL,3381.00,0.00,NULL,1996-03-08,1996-04-15,629,9999-12-31,2013-05-08
2/4-B-23,DST,NULL,3401.00,0.00,NULL,1996-03-13,1996-04-15,633,9999-12-31,2013-05-08
2/4-B-7,DST,NULL,3685.00,0.00,NULL,1996-03-04,1996-04-15,606,9999-12-31,2013-05-08
2/4-B-8,DST,NULL,2935.00,0.00,NULL,1996-03-09,1996-04-15,608,9999-12-31,2013-05-08
2/4-B-9,PROD,NULL,4447.00,4233.00,OIL,1984-01-04,2000-10-02,611,9999-12-31,2013-05-08
2/4-C-14,DST,NULL,0.00,0.00,NULL,1996-02-28,1996-04-15,663,9999-12-31,2013-05-08
2/4-C-17,DST,NULL,0.00,0.00,NULL,1996-03-09,1996-04-15,1572,9999-12-31,2013-05-08
2/4-C-8,DST,NULL,0.00,0.00,NULL,1996-03-02,1996-04-15,652,9999-12-31,2013-05-08
2/4-E-13,DST,NULL,0.00,0.00,NULL,1996-04-08,1995-04-17,737,9999-12-31,2013-05-08
2/4-E-6,DST,NULL,0.00,0.00,NULL,1996-04-06,1996-04-17,1786,9999-12-31,2013-05-08
2/4-X-47,PROD,NULL,4581.00,4002.00,OIL,1997-08-12,2000-10-02,3157,9999-12-31,2013-05-08
2/5-11,DST,DST1,3381.00,3363.00,NULL,1997-10-28,1997-12-23,3084,9999-12-31,2013-05-08
2/5-11,DST,DST2,0.00,0.00,NULL,1997-11-03,1997-12-23,3084,9999-12-31,2013-05-08
2/5-7,DST,PT-2,3263.00,3287.00,NULL,9999-12-31,1991-03-06,25,9999-12-31,2013-05-08
2/6-5,DST,DST1,0.00,0.00,NULL,1997-01-04,2000-04-11,2885,9999-12-31,2013-05-08
2/7-19,DST,NULL,0.00,0.00,NULL,2000-10-30,2000-10-02,1367,9999-12-31,2013-05-08
2/7-19 R,DST,DST1,4711.60,4838.40,NULL,1990-02-16,1991-09-09,1512,9999-12-31,2013-05-08
2/7-20,DST,DST 1,4099.50,4258.00,NULL,1988-06-07,1991-09-09,1062,2012-10-16,2013-05-08
2/7-21 S,DST,DST1,4578.40,4613.40,NULL,1989-11-28,1992-08-07,1394,9999-12-31,2013-05-08
2/7-21 S,DST,NULL,4446.40,4518.60,NULL,1989-12-10,1991-09-09,1394,9999-12-31,2013-05-08
2/7-21 S,DST,DST3,4308.30,4337.60,NULL,1989-12-30,1991-09-09,1394,9999-12-31,2013-05-08
2/7-22,DST,DST1,4489.00,4496.00,NULL,1990-09-30,1996-04-15,1495,9999-12-31,2013-05-08
2/7-26 S,DST,DST 1,4605.50,4696.90,NULL,1991-08-24,1991-09-26,1756,9999-12-31,2013-05-08
2/7-26 S,DST,DST 2,4309.80,4538.40,NULL,1991-09-03,1991-09-26,1756,9999-12-31,2013-05-08
2/7-27 S,DST,DST1,4484.80,4742.10,NULL,1992-06-01,1992-08-07,1878,2012-12-05,2013-05-08
2/7-31,DST,DST1,0.00,0.00,NULL,1999-05-23,2000-02-14,3573,9999-12-31,2013-05-08
2/7-A-10,DST,NULL,0.00,0.00,NULL,1996-04-04,1996-04-17,787,9999-12-31,2013-05-08
2/7-A-14,DST,NULL,0.00,0.00,NULL,1996-03-20,1996-04-17,790,9999-12-31,2013-05-08
2/7-B-13,DST,NULL,0.00,0.00,NULL,1996-03-03,1996-04-15,816,9999-12-31,2013-05-08
2/7-B-15,DST,NULL,0.00,0.00,NULL,1996-03-10,1996-04-15,1426,9999-12-31,2013-05-08
2/7-D-20,DST,NULL,4090.00,4283.00,NULL,1996-02-23,1996-04-15,2121,9999-12-31,2013-05-08
2/7-D-21,DST,NULL,4337.00,4548.00,NULL,9999-12-31,1996-04-15,2111,9999-12-31,2013-05-08
2/7-D-26,DST,NULL,4331.00,4560.00,NULL,9999-12-31,1996-04-15,2120,9999-12-31,2013-05-08
2/7-D-27,DST,NULL,4505.00,4762.00,NULL,9999-12-31,1996-04-15,2096,9999-12-31,2013-05-08
2/8-14,DST,NULL,0.00,0.00,NULL,9999-12-31,9999-12-31,1552,2012-10-16,2013-05-08
24/6-2,DST,TEST1,2165.75,2156.75,NULL,1998-06-30,1998-07-13,3397,9999-12-31,2013-05-08
24/6-4,DST,NULL,0.00,0.00,NULL,9999-12-31,2011-08-06,4745,9999-12-31,2013-05-08
24/9-3,DST,1,1796.00,1805.00,OIL,1981-03-21,1991-07-22,346,9999-12-31,2013-05-08
24/9-3,DST,NULL,1764.40,1782.20,NULL,1981-04-01,1991-07-22,346,9999-12-31,2013-05-08
24/9-7,DST,NULL,0.00,0.00,NULL,9999-12-31,2011-08-06,4910,9999-12-31,2013-05-08
24/9-7 A,DST,NULL,0.00,1996.00,OIL,2005-02-09,2011-08-06,4919,9999-12-31,2013-05-08
25/10-2 R,FIT,FIT-1,0.00,2697.50,NULL,1972-07-02,9999-12-31,511,9999-12-31,2013-05-08
25/10-5,DST,DST1,1763.00,1756.00,NULL,1981-07-11,1991-06-21,365,9999-12-31,2013-05-08
