seaSurveyName,seaNpdidSurvey,seaFactMapUrl,seaFactPageUrl,seaStatus,seaGeographicalArea,seaMarketAvailable,seaSurveyTypeMain,seaSurveyTypePart,seaCompanyReported,seaSourceType,seaSourceNumber,seaSourceSize,seaSourcePressure,seaSensorType,seaSensorNumbers,seaSensorLength,seaPlanFromDate,seaDateStarting,seaPlanToDate,seaDateFinalized,seaPlanCdpKm,seaCdpTotalKm,seaPlanBoatKm,seaBoatTotalKm,sea3DKm2,seaPolygonKind,seaPolyGeometryWKT
"MC3D-SBS2009",7008,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7008","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7008","Ferdig","Nordsjøen",Ja,"Ordinær seismisk undersøkelse","3D","PGS Geophysical AS","Seismisk kilde",6,6000,"3090","Kabler",6,6000,2009-04-15,9999-12-31,2009-06-15,2009-07-16,7000,48271,1000,4023,NULL,"Område unntatt snuområde","POLYGON((2.8293 59.1613,3.45 59.1614,3.4572 58.989,3.8872 58.9835,3.8807 58.8551,2.8167 58.8588,2.8293 59.1613))"
"ST09001",7010,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7010","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7010","Ferdig","Nordsjøen",Ja,"Ordinær seismisk undersøkelse","4D","StatoilHydro ASA","Seismisk kilde",1,5485,"2000 psi","Kabler",12,3600,2009-07-01,2009-06-29,2009-10-15,2009-10-05,46092,39828,3841,3319,NULL,"Område unntatt snuområde","POLYGON((2.0125 61.62,2.521667 61.619722,2.520278 61.5,2.371389 61.363889,2.450278 61.213889,1.823611 61.213333,1.748611 61.417778,2.0125 61.62,2.0125 61.62))"
"ST09001",7010,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7010","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7010","Ferdig","Nordsjøen",Ja,"Ordinær seismisk undersøkelse","4D","StatoilHydro ASA","Seismisk kilde",1,5485,"2000 psi","Kabler",12,3600,2009-07-01,2009-06-29,2009-10-15,2009-10-05,46092,39828,3841,3319,NULL,"Område inkludert snuområde","POLYGON((2.0125 61.62,2.521667 61.619722,2.520278 61.5,2.371389 61.363889,2.450278 61.213889,1.823611 61.213333,1.748611 61.417778,2.0125 61.62,2.0125 61.62))"
"WIN0901",7015,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7015","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7015","Ferdig","Nordsjøen",Nei,"Ordinær seismisk undersøkelse","3D","Wintershall Norge AS (old)","Seismisk kilde",2,UNKNOWN,"4360 cuin pr. kilde","Kabler",6,4500,2009-05-08,2009-05-15,2009-07-04,2009-06-16,14700,13223,1230,1102,NULL,"Område unntatt snuområde","POLYGON((1.772222 61.096389,1.953056 61.061944,2.093889 61.232778,1.912222 61.2675,1.772222 61.096389))"
"WIN0901",7015,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7015","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7015","Ferdig","Nordsjøen",Nei,"Ordinær seismisk undersøkelse","3D","Wintershall Norge AS (old)","Seismisk kilde",2,UNKNOWN,"4360 cuin pr. kilde","Kabler",6,4500,2009-05-08,2009-05-15,2009-07-04,2009-06-16,14700,13223,1230,1102,NULL,"Område inkludert snuområde","POLYGON((1.690833 60.996111,1.871389 60.961667,2.180556 61.336944,1.998333 61.371944,1.690833 60.996111))"
"WIN0902",7016,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7016","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7016","Ferdig","Nordsjøen",Nei,"Havbunnseismisk undersøkelse",NULL,"Wintershall Norge ASA","Seismisk kilde",2,3990 cuin,"2000 psi","Kabler",1,18km,2009-06-01,2009-07-13,2009-08-31,2009-07-22,84,84,84,84,NULL,"Område unntatt snuområde","POLYGON((1.537778 61.675556,1.869722 61.628889,1.875833 61.625278,1.535278 61.672778,1.537778 61.675556))"
"WIN0902",7016,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7016","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7016","Ferdig","Nordsjøen",Nei,"Havbunnseismisk undersøkelse",NULL,"Wintershall Norge ASA","Seismisk kilde",2,3990 cuin,"2000 psi","Kabler",1,18km,2009-06-01,2009-07-13,2009-08-31,2009-07-22,84,84,84,84,NULL,"Område inkludert snuområde","POLYGON((1.537778 61.675556,1.869722 61.628889,1.875833 61.625278,1.535278 61.672778,1.537778 61.675556))"
"LN0955",7017,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7017","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7017","Ferdig","Nordsjøen",Nei,"Borestedundersøkelse / sitesurvey",NULL,"Lundin Norway AS","Seismisk kilde",6,UNKNOWN,"140 cu.inc","Kabler",1,1200,2009-06-15,2009-06-19,2009-06-29,2009-06-24,160,121,160,121,NULL,"Område inkludert snuområde","POLYGON((4.369858 56.490922,4.480253 56.489656,4.477914 56.429483,4.368806 56.430747,4.369858 56.490922))"
"LN0955",7017,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7017","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7017","Ferdig","Nordsjøen",Nei,"Borestedundersøkelse / sitesurvey",NULL,"Lundin Norway AS","Seismisk kilde",6,UNKNOWN,"140 cu.inc","Kabler",1,1200,2009-06-15,2009-06-19,2009-06-29,2009-06-24,160,121,160,121,NULL,"Område unntatt snuområde","POLYGON((4.369858 56.490922,4.480253 56.489656,4.477914 56.429483,4.368806 56.430747,4.369858 56.490922))"
"LN0956",7018,"http://www.npd.no/FactMapSearch?NPDID_seis_acquisition=7018","http://factpages.npd.no/FactPages/default.aspx?nav1=seis_acquisition&nav2=PageView|Finished|2009&nav3=7018","Ferdig","Nordsjøen",Nei,"Borestedundersøkelse / sitesurvey",NULL,"Lundin Norway AS","Seismisk kilde",6,140 cu.inch,"140 cu.inc","Kabler",1,1200,2009-06-15,2009-06-25,2009-06-29,2009-06-30,130,129,130,129,NULL,"Område inkludert snuområde","POLYGON((2.3868 58.727186,2.465425 58.727219,2.466008 58.689236,2.387797 58.689353,2.3868 58.727186))"
