wlbName,wlbCasingType,wlbCasingDiameter,wlbCasingDepth,wlbHoleDiameter,wlbHoleDepth,wlbLotMudDencity,wlbNpdidWellbore,wlbCasingDateUpdated,dateSyncNPD
1/2-1,CONDUCTOR,30,170.0,36,171.0,0.00,1382,9999-12-31,2013-05-08
1/2-1,INTERM.,20,645.0,26,648.0,1.69,1382,9999-12-31,2013-05-08
1/2-1,INTERM.,13 3/8,1524.0,17 1/2,1531.0,1.82,1382,9999-12-31,2013-05-08
1/2-1,INTERM.,9 5/8,3052.0,12 1/4,3056.0,1.88,1382,9999-12-31,2013-05-08
1/2-1,LINER,7,3569.0,8 1/2,3576.0,0.00,1382,9999-12-31,2013-05-08
1/2-2,CONDUCTOR,30,173.0,36,176.0,0.00,5192,9999-12-31,2013-05-08
1/2-2,SURF.COND.,20,697.0,24,703.0,1.61,5192,9999-12-31,2013-05-08
1/2-2,INTERM.,13 3/8,1497.0,17 1/2,1507.0,1.81,5192,9999-12-31,2013-05-08
1/2-2,OPEN HOLE,NULL,3434.0,8 1/2,3434.0,0.00,5192,9999-12-31,2013-05-08
1/3-1,CONDUCTOR,36,140.0,36,137.0,0.00,154,9999-12-31,2013-05-08
1/3-1,SURF.COND.,20,408.0,26,415.0,0.00,154,9999-12-31,2013-05-08
1/3-1,INTERM.,13 3/8,1529.0,17 1/2,1535.0,0.00,154,9999-12-31,2013-05-08
1/3-1,INTERM.,9 5/8,3118.0,12 1/4,3128.0,0.00,154,9999-12-31,2013-05-08
1/3-1,LINER,7,4585.0,8 1/2,4593.0,0.00,154,9999-12-31,2013-05-08
1/3-10,CONDUCTOR,30,215.0,36,225.0,0.00,5614,9999-12-31,2013-05-08
1/3-10,SURF.COND.,18 5/8,810.0,24,816.0,0.00,5614,9999-12-31,2013-05-08
1/3-10,INTERM.,13 3/8,1294.0,17 1/2,1300.0,1.50,5614,9999-12-31,2013-05-08
1/3-10,INTERM.,9 5/8,3153.0,12 1/4,3153.0,1.90,5614,9999-12-31,2013-05-08
1/3-10,OPEN HOLE,NULL,3158.0,8 172,3288.0,0.00,5614,9999-12-31,2013-05-08
1/3-10 A,OPEN HOLE,NULL,2276.0,8 1/2,3632.0,1.90,5779,9999-12-31,2013-05-08
1/3-11,CONDUCTOR,30,244.0,36,253.0,0.00,5806,9999-12-31,2013-05-08
1/3-11,SURF.COND.,18 5/8,812.0,24,825.0,0.00,5806,9999-12-31,2013-05-08
1/3-11,INTERM.,13 3/8,1301.0,17 1/2,1330.0,1.50,5806,9999-12-31,2013-05-08
1/3-11,INTERM.,9 5/8,3281.0,12 1/4,3285.0,1.75,5806,9999-12-31,2013-05-08
1/3-11,OPEN HOLE,NULL,3595.0,8 1/2,3595.0,1.85,5806,9999-12-31,2013-05-08
1/3-12 S,CONDUCTOR,30,212.0,36,219.0,0.00,6260,9999-12-31,2013-05-08
1/3-12 S,SURF.COND.,20,1132.0,26,1150.0,0.00,6260,9999-12-31,2013-05-08
1/3-12 S,INTERM.,13 3/8,4202.0,17 1/2,4207.0,0.00,6260,9999-12-31,2013-05-08
1/3-12 S,INTERM.,9 5/8,5400.0,12 1/4,5412.0,0.00,6260,9999-12-31,2013-05-08
1/3-12 S,OPEN HOLE,NULL,5931.0,8 1/2,5931.0,0.00,6260,9999-12-31,2013-05-08
1/3-2,CONDUCTOR,30,147.0,36,147.0,0.00,165,9999-12-31,2013-05-08
1/3-2,SURF.COND.,20,406.0,26,412.0,0.00,165,9999-12-31,2013-05-08
1/3-2,INTERM.,13 3/8,1525.0,17 1/2,1531.0,0.00,165,9999-12-31,2013-05-08
1/3-2,INTERM.,9 5/8,3204.0,12 1/4,3213.0,0.00,165,9999-12-31,2013-05-08
1/3-2,OPEN HOLE,NULL,4298.0,8 1/2,4298.0,0.00,165,9999-12-31,2013-05-08
1/3-3,CONDUCTOR,30,153.0,36,155.0,0.00,87,9999-12-31,2013-05-08
1/3-3,SURF.COND.,20,697.0,26,710.0,1.80,87,9999-12-31,2013-05-08
1/3-3,INTERM.,13 3/8,1902.0,17 1/2,1912.0,1.81,87,9999-12-31,2013-05-08
1/3-3,INTERM.,9 5/8,4047.0,12 1/4,4060.0,2.21,87,9999-12-31,2013-05-08
1/3-3,LINER,7,4800.0,8 1/2,4875.0,0.00,87,9999-12-31,2013-05-08
1/3-4,CONDUCTOR,30,158.0,36,158.0,0.00,2,9999-12-31,2013-05-08
1/3-4,SURF.COND.,20,761.0,26,773.0,1.72,2,9999-12-31,2013-05-08
1/3-4,INTERM.,13 3/8,1557.0,17 1/2,1595.0,1.94,2,9999-12-31,2013-05-08
1/3-4,INTERM.,9 5/8,2600.0,12 1/4,2624.0,1.93,2,9999-12-31,2013-05-08
1/3-4,OPEN HOLE,NULL,3198.0,8 1/2,3198.0,0.00,2,9999-12-31,2013-05-08
1/3-5,CONDUCTOR,30,168.0,36,181.0,0.00,223,9999-12-31,2013-05-08
1/3-5,SURF.COND.,20,1183.0,26,1195.0,1.77,223,9999-12-31,2013-05-08
1/3-5,INTERM.,13 3/8,2443.0,17 1/2,2470.0,1.91,223,9999-12-31,2013-05-08
1/3-5,INTERM.,9 5/8,4122.0,12 1/4,4138.0,2.12,223,9999-12-31,2013-05-08
1/3-5,LINER,7,4395.0,8 1/2,4395.0,2.33,223,9999-12-31,2013-05-08
1/3-5,OPEN HOLE,NULL,4850.0,6,4850.0,0.00,223,9999-12-31,2013-05-08
1/3-6,CONDUCTOR,30,183.0,36,185.0,0.00,1521,9999-12-31,2013-05-08
1/3-6,INTERM.,20,2000.0,26,2003.0,1.80,1521,9999-12-31,2013-05-08
1/3-6,INTERM.,13 3/8,2861.0,17 1/2,2864.0,2.13,1521,9999-12-31,2013-05-08
1/3-6,LINER,9 5/8,3062.0,12 1/4,3065.0,0.00,1521,9999-12-31,2013-05-08
1/3-7,CONDUCTOR,30,203.0,36,205.0,0.00,2505,9999-12-31,2013-05-08
1/3-7,SURF.COND.,13 3/8,1199.0,17 1/2,1204.0,1.66,2505,9999-12-31,2013-05-08
1/3-7,INTERM.,9 5/8,3045.0,12 1/4,3050.0,1.71,2505,9999-12-31,2013-05-08
1/3-7,LINER,7,3343.0,8 1/2,3345.0,0.00,2505,9999-12-31,2013-05-08
1/3-8,PILOT HOLE,NULL,310.0,9 7/8,1105.0,0.00,2829,9999-12-31,2013-05-08
1/3-8,CONDUCTOR,30,303.0,36,310.0,0.00,2829,9999-12-31,2013-05-08
1/3-8,INTERM.,14,3435.0,17 1/2,3445.0,0.00,2829,9999-12-31,2013-05-08
1/3-8,SURF.COND.,20,1098.0,26,1105.0,0.00,2829,9999-12-31,2013-05-08
1/3-8,INTERM.,9 5/8,4515.0,12 1/2,4529.0,0.00,2829,9999-12-31,2013-05-08
1/3-8,LINER,7 5/8,4904.0,8 1/2,4910.0,0.00,2829,9999-12-31,2013-05-08
1/3-8,OPEN HOLE,NULL,5021.0,6 1/4,5021.0,0.00,2829,9999-12-31,2013-05-08
1/3-9 S,PILOT HOLE,NULL,1050.0,9 7/8,0.0,0.00,3362,9999-12-31,2013-05-08
1/3-9 S,CONDUCTOR,30,159.0,36,165.0,0.00,3362,9999-12-31,2013-05-08
1/3-9 S,SURF.COND.,13 3/8,1042.0,17 1/2,1050.0,1.98,3362,9999-12-31,2013-05-08
1/3-9 S,INTERM.,9 5/8,3180.0,12 174,3185.0,1.90,3362,9999-12-31,2013-05-08
1/3-9 S,LINER,7,4514.0,8 1/2,4516.0,0.00,3362,9999-12-31,2013-05-08
1/5-1,CONDUCTOR,30,130.0,36,131.0,0.00,237,9999-12-31,2013-05-08
1/5-1,OPEN HOLE,NULL,491.0,26,491.0,0.00,237,9999-12-31,2013-05-08
1/5-2,CONDUCTOR,30,133.0,36,133.0,0.00,238,9999-12-31,2013-05-08
1/5-2,SURF.COND.,20,475.0,26,482.0,0.00,238,9999-12-31,2013-05-08
1/5-2,INTERM.,13 3/8,1213.0,17 1/2,1229.0,0.00,238,9999-12-31,2013-05-08
1/5-2,INTERM.,9 5/8,3039.0,12 1/4,3048.0,0.00,238,9999-12-31,2013-05-08
1/5-2,LINER,7,3971.0,8 1/2,3973.0,0.00,238,9999-12-31,2013-05-08
1/5-2,OPEN HOLE,NULL,4285.0,6,4285.0,0.00,238,9999-12-31,2013-05-08
1/5-3 S,OPEN HOLE,NULL,1565.0,12 1/4,1565.0,0.00,3257,9999-12-31,2013-05-08
1/5-3 S,CONDUCTOR,30,166.7,36,167.0,0.00,3257,9999-12-31,2013-05-08
1/5-3 S,SURF.COND.,20,784.7,26,785.0,1.79,3257,9999-12-31,2013-05-08
1/5-3 S,INTERM.,13 3/8,1412.0,17 1/2,1412.0,1.98,3257,9999-12-31,2013-05-08
1/5-4 S,CONDUCTOR,30,167.0,36,170.0,0.00,4521,9999-12-31,2013-05-08
1/5-4 S,INTERM.,20,923.0,26,925.0,1.85,4521,9999-12-31,2013-05-08
1/5-4 S,INTERM.,14,1640.0,17 1/2,1644.0,1.90,4521,9999-12-31,2013-05-08
1/5-4 S,INTERM.,9 5/8,2873.0,12 1/4,2875.0,1.96,4521,9999-12-31,2013-05-08
1/5-4 S,OPEN HOLE,NULL,3090.0,8 1/2,3090.0,0.00,4521,9999-12-31,2013-05-08
1/6-1,CONDUCTOR,30,169.0,36,169.0,0.00,239,9999-12-31,2013-05-08
1/6-1,SURF.COND.,20,448.0,26,455.0,0.00,239,9999-12-31,2013-05-08
1/6-1,INTERM.,13 3/8,1586.0,17 1/2,1591.0,0.00,239,9999-12-31,2013-05-08
1/6-1,INTERM.,9 5/8,3149.0,12 1/4,3175.0,0.00,239,9999-12-31,2013-05-08
1/6-1,LINER,7,4220.0,8 1/2,4226.0,0.00,239,9999-12-31,2013-05-08
1/6-2,CONDUCTOR,30,176.0,36,176.0,0.00,240,9999-12-31,2013-05-08
1/6-2,SURF.COND.,20,460.0,26,466.0,0.00,240,9999-12-31,2013-05-08
1/6-2,INTERM.,13 3/8,1219.0,17 1/2,1226.0,0.00,240,9999-12-31,2013-05-08
1/6-2,INTERM.,9 5/8,2439.0,12 1/4,2445.0,0.00,240,9999-12-31,2013-05-08
1/6-2,OPEN HOLE,NULL,3383.0,8 1/2,3383.0,0.00,240,9999-12-31,2013-05-08
1/6-3,CONDUCTOR,30,175.0,36,175.0,0.00,241,9999-12-31,2013-05-08
1/6-3,SURF.COND.,20,417.0,26,425.0,0.00,241,9999-12-31,2013-05-08
1/6-3,INTERM.,13 3/8,1220.0,17 1/2,1230.0,0.00,241,9999-12-31,2013-05-08
1/6-3,INTERM.,9 5/8,2446.0,12 1(4,2452.0,0.00,241,9999-12-31,2013-05-08
1/6-3,LINER,7,3320.0,8 1/2,3325.0,0.00,241,9999-12-31,2013-05-08
1/6-4,CONDUCTOR,30,181.0,36,187.0,0.00,242,9999-12-31,2013-05-08
1/6-4,INTERM.,20,429.0,26,437.0,0.00,242,9999-12-31,2013-05-08
1/6-4,INTERM.,13 3/8,1224.0,17 1/2,1232.0,0.00,242,9999-12-31,2013-05-08
1/6-4,INTERM.,9 5/8,3272.0,12 1/4,3285.0,0.00,242,9999-12-31,2013-05-08
1/6-4,OPEN HOLE,NULL,3810.0,8 1/2,3810.0,0.00,242,9999-12-31,2013-05-08
1/6-5,CONDUCTOR,30,156.0,36,156.0,0.00,1508,9999-12-31,2013-05-08
1/6-5,INTERM.,20,588.0,26,600.0,0.00,1508,9999-12-31,2013-05-08
1/6-5,INTERM.,16,1126.0,22,1132.0,1.42,1508,9999-12-31,2013-05-08
1/6-5,INTERM.,9 5/8,1521.0,12 1/4,1530.0,1.74,1508,9999-12-31,2013-05-08
1/6-5,LINER,7,1843.0,8 1/2,1854.0,0.00,1508,9999-12-31,2013-05-08
1/6-6,CONDUCTOR,30,180.0,36,182.0,0.00,1839,9999-12-31,2013-05-08
1/6-6,INTERM.,20,1121.0,26,1122.0,0.00,1839,9999-12-31,2013-05-08
1/6-6,INTERM.,14,2520.0,17 1/2,2522.0,0.00,1839,9999-12-31,2013-05-08
1/6-6,INTERM.,9 5/8,4467.0,12 1/4,3370.0,0.00,1839,9999-12-31,2013-05-08
1/6-6,INTERM.,7 5/8,5049.0,NULL,5050.0,0.00,1839,9999-12-31,2013-05-08
1/6-6,LINER,5,5521.0,8 1/2,5521.0,0.00,1839,9999-12-31,2013-05-08
1/6-7,CONDUCTOR,30,165.0,36,167.0,0.00,1928,9999-12-31,2013-05-08
1/6-7,INTERM.,NULL,20.0,NULL,0.0,0.00,1928,9999-12-31,2013-05-08
1/6-7,INTERM.,20,1000.6,26,1002.0,1.81,1928,9999-12-31,2013-05-08
1/6-7,INTERM.,13 3/8,3261.0,17 1/2,3263.0,1.98,1928,9999-12-31,2013-05-08
1/6-7,INTERM.,9 7/8,4346.8,12 1/4,4348.0,0.00,1928,9999-12-31,2013-05-08
1/9-1,CONDUCTOR,30,152.0,36,152.0,0.00,243,9999-12-31,2013-05-08
1/9-1,SURF.COND.,20,423.0,26,433.0,0.00,243,9999-12-31,2013-05-08
1/9-1,INTERM.,13 3/8,1343.0,17 1/2,1355.0,1.49,243,9999-12-31,2013-05-08
1/9-1,INTERM.,9 5/8,2825.0,12 1/4,2836.0,0.00,243,9999-12-31,2013-05-08
1/9-1,LINER,7,3369.0,8 1/2,3706.0,0.00,243,9999-12-31,2013-05-08
1/9-2,CONDUCTOR,30,153.0,36,153.0,0.00,244,9999-12-31,2013-05-08
1/9-2,SURF.COND.,20,433.0,26,493.0,0.00,244,9999-12-31,2013-05-08
1/9-2,INTERM.,13 3/8,1375.0,17 1/2,1390.0,0.00,244,9999-12-31,2013-05-08
1/9-2,INTERM.,9 5/8,2856.0,12 1/4,2866.0,0.00,244,9999-12-31,2013-05-08
1/9-2,LINER,7,3458.0,8 1/2,3459.0,0.00,244,9999-12-31,2013-05-08
1/9-3,CONDUCTOR,36,163.0,44,170.0,0.00,245,9999-12-31,2013-05-08
1/9-3,SURF.COND.,20,434.0,26,445.0,0.00,245,9999-12-31,2013-05-08
1/9-3,INTERM.,16,1345.0,19 1/2,1360.0,0.00,245,9999-12-31,2013-05-08
1/9-3,INTERM.,13 3/8,2761.0,17 1/2,2782.0,0.00,245,9999-12-31,2013-05-08
1/9-3 R,INTERM.,9 5/8,3830.0,12 1/4,3830.0,0.00,246,9999-12-31,2013-05-08
1/9-3 R,OPEN HOLE,NULL,4570.0,8 1/2,4570.0,0.00,246,9999-12-31,2013-05-08
1/9-4,CONDUCTOR,30,151.0,36,151.0,0.00,247,9999-12-31,2013-05-08
1/9-4,SURF.COND.,20,428.0,26,437.0,0.00,247,9999-12-31,2013-05-08
1/9-4,INTERM.,13 3/8,1376.0,17 1/2,1391.0,0.00,247,9999-12-31,2013-05-08
1/9-4,INTERM.,9 5/8,2569.0,12 1/4,2580.0,0.00,247,9999-12-31,2013-05-08
1/9-4,LINER,7,3352.0,8 1/2,3362.0,0.00,247,9999-12-31,2013-05-08
1/9-4,OPEN HOLE,NULL,3710.0,6,3710.0,0.00,247,9999-12-31,2013-05-08
1/9-5,CONDUCTOR,30,163.0,36,163.0,0.00,248,9999-12-31,2013-05-08
1/9-5,SURF.COND.,20,428.0,26,436.0,0.00,248,9999-12-31,2013-05-08
1/9-5,INTERM.,13 3/8,1367.0,17 1/2,1379.0,1.55,248,9999-12-31,2013-05-08
1/9-5,INTERM.,9 5/8,2715.0,12 1/2,2725.0,1.90,248,9999-12-31,2013-05-08
1/9-5,OPEN HOLE,NULL,3450.0,8 1/2,3450.0,1.91,248,9999-12-31,2013-05-08
1/9-6 S,CONDUCTOR,30,168.0,36,168.0,0.00,44,9999-12-31,2013-05-08
1/9-6 S,SURF.COND.,20,463.0,26,479.0,1.34,44,9999-12-31,2013-05-08
1/9-6 S,INTERM.,13 3/8,1453.0,17 1/2,1472.0,1.87,44,9999-12-31,2013-05-08
1/9-6 S,INTERM.,9 5/8,3140.0,12 1/4,3155.0,2.06,44,9999-12-31,2013-05-08
1/9-6 S,LINER,7,3866.0,8 1/2,3880.0,0.00,44,9999-12-31,2013-05-08
1/9-7,CONDUCTOR,30,308.0,36,310.0,0.00,4652,9999-12-31,2013-05-08
1/9-7,SURF.COND.,20,1039.0,26,1047.0,1.82,4652,9999-12-31,2013-05-08
1/9-7,INTERM.,14,3050.0,17 1/2,3058.0,2.00,4652,9999-12-31,2013-05-08
1/9-7,INTERM.,9 7/8,3838.0,12 1/4,3845.0,2.16,4652,9999-12-31,2013-05-08
1/9-7,LINER,7 5/8,4604.0,8 1/2,4605.0,0.00,4652,9999-12-31,2013-05-08
10/5-1,CONDUCTOR,30,183.0,36,185.0,0.00,306,9999-12-31,2013-05-08
10/5-1,SURF.COND.,20,488.0,26,490.0,0.00,306,9999-12-31,2013-05-08
10/5-1,INTERM.,13 3/8,1221.0,17 1/2,1222.0,0.00,306,9999-12-31,2013-05-08
10/5-1,OPEN HOLE,NULL,1843.0,12 1/4,1843.0,0.00,306,9999-12-31,2013-05-08
10/7-1,CONDUCTOR,30,145.0,36,147.0,0.00,1972,9999-12-31,2013-05-08
10/7-1,INTERM.,13 3/8,779.0,17 1/2,793.0,0.00,1972,9999-12-31,2013-05-08
10/7-1,OPEN HOLE,NULL,1890.0,12 1/4,1890.0,0.00,1972,9999-12-31,2013-05-08
10/8-1,CONDUCTOR,30,142.0,36,144.0,0.00,175,9999-12-31,2013-05-08
10/8-1,SURF.COND.,13 3/8,508.0,17 1/2,510.0,0.00,175,9999-12-31,2013-05-08
10/8-1,INTERM.,9 5/8,1504.0,12 1/4,1509.0,0.00,175,9999-12-31,2013-05-08
10/8-1,OPEN HOLE,NULL,2861.0,8 1/2,2861.0,0.00,175,9999-12-31,2013-05-08
11/10-1,SURF.COND.,20,130.0,26,131.0,0.00,170,9999-12-31,2013-05-08
11/10-1,INTERM.,13 3/8,253.0,17 1/2,255.0,0.00,170,9999-12-31,2013-05-08
11/10-1,INTERM.,9 5/8,1023.0,12 1/4,1025.0,0.00,170,9999-12-31,2013-05-08
11/10-1,OPEN HOLE,NULL,2430.0,8 1/2,2430.0,0.00,170,9999-12-31,2013-05-08
11/5-1,CONDUCTOR,30,263.0,36,267.0,0.00,5596,9999-12-31,2013-05-08
11/5-1,SURF.COND.,20,410.0,26,415.0,1.58,5596,9999-12-31,2013-05-08
11/5-1,INTERM.,9 5/8,1063.0,12 1/4,1073.0,2.32,5596,9999-12-31,2013-05-08
11/5-1,OPEN HOLE,NULL,1950.0,8 1/2,1950.0,0.00,5596,9999-12-31,2013-05-08
11/9-1,CONDUCTOR,30,145.0,36,145.0,0.00,307,9999-12-31,2013-05-08
11/9-1,SURF.COND.,13 3/8,653.0,17 1/2,653.0,0.00,307,9999-12-31,2013-05-08
11/9-1,INTERM.,9 5/8,1718.0,12 1/4,1720.0,0.00,307,9999-12-31,2013-05-08
11/9-1,OPEN HOLE,NULL,1972.0,8 1/2,1972.0,0.00,307,9999-12-31,2013-05-08
15/12-1,CONDUCTOR,30,155.0,36,155.0,0.00,94,9999-12-31,2013-05-08
15/12-1,SURF.COND.,20,399.0,26,413.0,0.00,94,9999-12-31,2013-05-08
15/12-1,INTERM.,13 3/8,1533.0,17 1/2,1538.0,0.00,94,9999-12-31,2013-05-08
15/12-1,INTERM.,9 5/8,2872.0,12 1/4,2874.0,0.00,94,9999-12-31,2013-05-08
15/12-1,OPEN HOLE,NULL,3269.0,8 1/2,3269.0,0.00,94,9999-12-31,2013-05-08
15/12-10 S,CONDUCTOR,30,203.0,36,206.0,0.00,2285,9999-12-31,2013-05-08
15/12-10 S,INTERM.,13 3/8,1388.0,16,1396.0,1.60,2285,9999-12-31,2013-05-08
15/12-10 S,INTERM.,9 5/8,3154.0,12 1/4,3160.0,1.53,2285,9999-12-31,2013-05-08
15/12-10 S,OPEN HOLE,NULL,3550.0,8 1/2,3550.0,0.00,2285,9999-12-31,2013-05-08
15/12-11 S,CONDUCTOR,30,169.0,36,170.0,0.00,3074,9999-12-31,2013-05-08
15/12-11 S,SURF.COND.,18 5/8,394.0,26,400.0,1.69,3074,9999-12-31,2013-05-08
15/12-11 S,INTERM.,13 3/8,1386.0,17 1/2,1390.0,1.85,3074,9999-12-31,2013-05-08
15/12-11 S,INTERM.,9 5/8,2879.0,12 1/4,2880.0,1.85,3074,9999-12-31,2013-05-08
15/12-11 S,OPEN HOLE,NULL,3597.0,8 1/2,3597.0,0.00,3074,9999-12-31,2013-05-08
15/12-12,CONDUCTOR,30,185.0,36,185.0,0.00,3391,9999-12-31,2013-05-08
15/12-12,SURF.COND.,20,599.0,26,605.0,0.00,3391,9999-12-31,2013-05-08
15/12-12,INTERM.,13 3/8,1377.0,17 1/2,1384.0,2.18,3391,9999-12-31,2013-05-08
15/12-12,INTERM.,9 5/8,2829.0,12 1/4,2836.0,0.00,3391,9999-12-31,2013-05-08
15/12-12,OPEN HOLE,NULL,3085.0,8 1/2,3035.0,0.00,3391,9999-12-31,2013-05-08
15/12-13,CONDUCTOR,30,165.0,36,171.0,0.00,4733,9999-12-31,2013-05-08
15/12-13,SURF.COND.,13 3/8,1315.0,17 1/2,1320.0,1.71,4733,9999-12-31,2013-05-08
15/12-13,OPEN HOLE,NULL,3047.0,12 1/4,3047.0,0.00,4733,9999-12-31,2013-05-08
15/12-13 A,CONDUCTOR,30,165.0,36,171.0,0.00,4754,9999-12-31,2013-05-08
15/12-13 A,SURF.COND.,13 3/8,1315.0,17 1/2,1320.0,0.00,4754,9999-12-31,2013-05-08
15/12-13 A,OPEN HOLE,NULL,2532.0,12 1/4,2532.0,0.00,4754,9999-12-31,2013-05-08
15/12-13 B,CONDUCTOR,30,165.0,36,171.0,0.00,4759,9999-12-31,2013-05-08
15/12-13 B,SURF.COND.,13 3/8,1315.0,17 1/2,1320.0,0.00,4759,9999-12-31,2013-05-08
15/12-13 B,INTERM.,9 5/8,2920.0,12 1/4,2951.0,1.88,4759,9999-12-31,2013-05-08
15/12-13 B,OPEN HOLE,NULL,3151.0,8 1/2,3151.0,0.00,4759,9999-12-31,2013-05-08
15/12-14,INTERM.,9 5/8,3099.0,12 1/4,3110.0,1.35,4845,9999-12-31,2013-05-08
15/12-14,INTERM.,5 1/2,3254.0,8 1/2,3254.0,0.00,4845,9999-12-31,2013-05-08
15/12-15,CONDUCTOR,30,175.0,36,176.0,0.00,5017,9999-12-31,2013-05-08
15/12-15,SURF.COND.,13 3/8,1364.0,17 1/2,1370.0,1.74,5017,9999-12-31,2013-05-08
15/12-15,OPEN HOLE,NULL,3300.0,12 1/4,3300.0,0.00,5017,9999-12-31,2013-05-08
15/12-16 S,CONDUCTOR,30,187.0,36,191.0,0.00,5271,9999-12-31,2013-05-08
15/12-16 S,SURF.COND.,13 3/8,1312.0,17 1/2,1319.0,1.80,5271,9999-12-31,2013-05-08
15/12-16 S,INTERM.,9 5/8,2826.0,12 1/4,2835.0,1.20,5271,9999-12-31,2013-05-08
15/12-16 S,LINER,7,2955.0,8 1/2,2961.0,0.00,5271,9999-12-31,2013-05-08
15/12-17 A,INTERM.,9 5/8,3023.0,12 1/4,3034.0,1.80,5484,9999-12-31,2013-05-08
15/12-17 A,OPEN HOLE,NULL,3620.0,8 1/2,3620.0,0.00,5484,9999-12-31,2013-05-08
15/12-17 S,CONDUCTOR,30,213.0,36,215.0,0.00,5442,9999-12-31,2013-05-08
15/12-17 S,INTERM.,13 3/8,1306.0,17 1/2,1313.0,1.72,5442,9999-12-31,2013-05-08
15/12-17 S,INTERM.,9 5/8,3251.0,12 1/4,3258.0,0.00,5442,9999-12-31,2013-05-08
15/12-17 S,OPEN HOLE,NULL,3371.0,8 1/2,3371.0,0.00,5442,9999-12-31,2013-05-08
15/12-18 A,OPEN HOLE,NULL,3036.0,8 1/2,3036.0,1.58,5608,9999-12-31,2013-05-08
15/12-18 S,OPEN HOLE,NULL,3520.0,6,3520.0,0.00,5607,9999-12-31,2013-05-08
15/12-18 S,CONDUCTOR,30,230.0,36,232.0,0.00,5607,9999-12-31,2013-05-08
15/12-18 S,SURF.COND.,20,469.0,24,474.0,0.00,5607,9999-12-31,2013-05-08
15/12-18 S,INTERM.,13 3/8,1168.0,17 1/2,1173.0,2.04,5607,9999-12-31,2013-05-08
15/12-18 S,INTERM.,9 5/8,2770.0,12 1/4,2773.0,0.00,5607,9999-12-31,2013-05-08
15/12-18 S,LINER,7,3175.0,8 1/2,3175.0,1.58,5607,9999-12-31,2013-05-08
15/12-19,CONDUCTOR,30,194.0,36,203.0,0.00,5705,9999-12-31,2013-05-08
15/12-19,SURF.COND.,20,661.0,24,672.0,1.56,5705,9999-12-31,2013-05-08
15/12-19,INTERM.,13 3/8,1360.0,17 1/2,1364.0,1.56,5705,9999-12-31,2013-05-08
15/12-19,INTERM.,9 5/8,2905.0,12 1/4,2911.0,1.56,5705,9999-12-31,2013-05-08
15/12-19,OPEN HOLE,NULL,3212.0,8 1/2,3212.0,0.00,5705,9999-12-31,2013-05-08
15/12-2,CONDUCTOR,30,143.0,36,145.0,0.00,331,9999-12-31,2013-05-08
15/12-2,SURF.COND.,20,344.0,26,370.0,0.00,331,9999-12-31,2013-05-08
15/12-2,INTERM.,13 3/8,1787.0,17 1/2,1943.0,0.00,331,9999-12-31,2013-05-08
15/12-2,OPEN HOLE,NULL,2924.0,12 1/4,2924.0,0.00,331,9999-12-31,2013-05-08
15/12-20 S,INTERM.,9 5/8,3370.0,12 1/4,3375.0,1.70,5824,9999-12-31,2013-05-08
15/12-20 S,LINER,7,4191.0,8 1/2,4192.0,0.00,5824,9999-12-31,2013-05-08
15/12-21,CONDUCTOR,30,211.0,36,211.0,0.00,6047,9999-12-31,2013-05-08
15/12-21,SURF.COND.,13 3/8,1189.0,17 1/2,1192.0,1.88,6047,9999-12-31,2013-05-08
15/12-21,INTERM.,9 5/8,2966.0,12 1/4,2976.0,1.98,6047,9999-12-31,2013-05-08
15/12-21,LINER,7,3309.0,8 1/2,3310.0,0.00,6047,9999-12-31,2013-05-08
15/12-21 A,OPEN HOLE,NULL,2162.0,8 1/2,3702.0,1.71,6139,9999-12-31,2013-05-08
15/12-22,CONDUCTOR,30,174.0,36,174.0,0.00,6326,9999-12-31,2013-05-08
15/12-22,SURF.COND.,20,622.0,26,628.0,1.93,6326,9999-12-31,2013-05-08
15/12-22,INTERM.,13 3/8,1541.0,17 1/2,1550.0,1.84,6326,9999-12-31,2013-05-08
15/12-22,OPEN HOLE,NULL,3035.0,12 1/4,3035.0,0.00,6326,9999-12-31,2013-05-08
15/12-22,PILOT HOLE,NULL,628.0,9 7/8,628.0,0.00,6326,9999-12-31,2013-05-08
15/12-23,CONDUCTOR,30,173.0,36,173.0,0.00,6327,9999-12-31,2013-05-08
15/12-23,SURF.COND.,13 3/8,1178.0,17 1/2,1184.0,1.70,6327,9999-12-31,2013-05-08
15/12-23,INTERM.,9 5/8,2998.0,12 174,3008.0,1.95,6327,9999-12-31,2013-05-08
15/12-23,OPEN HOLE,NULL,3485.0,8 1/2,3485.0,0.00,6327,9999-12-31,2013-05-08
15/12-23 A,INTERM.,9 5/8,2844.0,12 1/4,2852.0,1.73,6404,9999-12-31,2013-05-08
15/12-23 A,OPEN HOLE,NULL,4772.0,8 1/2,4772.0,0.00,6404,9999-12-31,2013-05-08
15/12-3,CONDUCTOR,30,146.0,36,148.0,0.00,199,9999-12-31,2013-05-08
15/12-3,SURF.COND.,20,527.0,26,540.0,1.76,199,9999-12-31,2013-05-08
15/12-3,INTERM.,13 3/8,2126.0,17 1/2,2140.0,1.75,199,9999-12-31,2013-05-08
15/12-3,INTERM.,9 5/8,3326.0,12 1/4,3342.0,1.70,199,9999-12-31,2013-05-08
15/12-3,LINER,7,4425.0,8 1/2,4425.0,0.00,199,9999-12-31,2013-05-08
