baaNpdidBsnsArrArea,baaNpdidBsnsArrAreaPoly,baaName,baaKind,baaAreaPolyDateValidFrom,baaAreaPolyDateValidTo,baaAreaPolyActive,baaDateApproved,baaDateValidFrom,baaDateValidTo,baaActive,baaFactPageUrl,baaFactMapUrl,baaAreaGeometryWKT
41175,2129634,"FRØY UNIT","UNITIZED",1998-01-22,2002-12-31,INACTIVE,1992-08-19,1992-08-19,2002-12-31,"INACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=41175",NULL,"MULTIPOLYGON(((2.533333 59.75,2.6 59.75,2.6 59.758333,2.583333 59.758333,2.583333 59.783333,2.55 59.783333,2.55 59.766667,2.533333 59.766667,2.533333 59.75)))"
41175,915934,"FRØY UNIT","UNITIZED",1992-08-19,1998-01-22,INACTIVE,1992-08-19,1992-08-19,2002-12-31,"INACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=41175",NULL,"MULTIPOLYGON(((2.533333 59.75,2.6 59.75,2.6 59.758333,2.583333 59.758333,2.583333 59.783333,2.55 59.783333,2.55 59.766667,2.533333 59.766667,2.533333 59.75)))"
4007192,4007209,"GIMLE UNIT","UNITIZED",2006-06-22,9999-12-31,ACTIVE,2006-10-16,2006-06-22,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=4007192","http://www.npd.no/FactMapSearch?NPDID_business_area=4007192","MULTIPOLYGON(((2.283333 61.25,2.333333 61.25,2.333333 61.283333,2.283333 61.283333,2.283333 61.25)))"
4007192,4007227,"GIMLE UNIT","UNITIZED",2006-06-22,9999-12-31,ACTIVE,2006-10-16,2006-06-22,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=4007192","http://www.npd.no/FactMapSearch?NPDID_business_area=4007192","MULTIPOLYGON(((2.283333 61.25,2.283333 61.243056,2.333333 61.230556,2.333333 61.25,2.283333 61.25)))"
4007192,4007218,"GIMLE UNIT","UNITIZED",2006-06-22,9999-12-31,ACTIVE,2006-10-16,2006-06-22,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=4007192","http://www.npd.no/FactMapSearch?NPDID_business_area=4007192","MULTIPOLYGON(((2.333333 61.25,2.383333 61.25,2.383333 61.283333,2.333333 61.283333,2.333333 61.25)))"
40885,47672,"GRANE SLIDING SCALE","SLIDING SCALE",1995-01-01,2000-04-13,INACTIVE,1995-01-13,1995-01-01,2000-04-13,"INACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=40885",NULL,"MULTIPOLYGON(((2.4 59.116667,2.516667 59.116667,2.516667 59.166667,2.55 59.166667,2.55 59.2,2.533333 59.2,2.533333 59.216667,2.5 59.216667,2.5 59.2,2.483333 59.2,2.483333 59.166667,2.4 59.166667,2.4 59.116667)))"
1031365,1031393,"GRANE UNIT","UNITIZED",2000-04-13,9999-12-31,ACTIVE,2000-04-13,2000-04-13,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=1031365","http://www.npd.no/FactMapSearch?NPDID_business_area=1031365","MULTIPOLYGON(((2.416667 59.1,2.466667 59.1,2.466667 59.116667,2.516667 59.116667,2.516667 59.166667,2.55 59.166667,2.55 59.208333,2.525 59.208333,2.525 59.216667,2.5 59.216667,2.5 59.2,2.483333 59.2,2.483333 59.166667,2.433333 59.166667,2.433333 59.133333,2.416667 59.133333,2.416667 59.1)))"
1031365,1031378,"GRANE UNIT","UNITIZED",2000-04-13,9999-12-31,ACTIVE,2000-04-13,2000-04-13,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=1031365","http://www.npd.no/FactMapSearch?NPDID_business_area=1031365","MULTIPOLYGON(((2.45 59.166667,2.483333 59.166667,2.483333 59.2,2.5 59.2,2.5 59.216667,2.533333 59.216667,2.533333 59.241667,2.508333 59.241667,2.508333 59.233333,2.491667 59.233333,2.491667 59.225,2.466667 59.225,2.466667 59.2,2.45 59.2,2.45 59.166667)))"
1031365,1031686,"GRANE UNIT","UNITIZED",2000-04-13,9999-12-31,ACTIVE,2000-04-13,2000-04-13,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=1031365","http://www.npd.no/FactMapSearch?NPDID_business_area=1031365","MULTIPOLYGON(((2.55 59.2,2.616667 59.2,2.616667 59.233333,2.6 59.233333,2.6 59.241667,2.566667 59.241667,2.566667 59.25,2.533333 59.25,2.533333 59.216667,2.525 59.216667,2.525 59.208333,2.55 59.208333,2.55 59.2)))"
1854695,4924072,"HALTENBANKEN VEST UNIT","UNITIZED",2007-12-03,9999-12-31,ACTIVE,2001-12-18,2001-12-18,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=1854695","http://www.npd.no/FactMapSearch?NPDID_business_area=1854695","MULTIPOLYGON(((6.333333 64.75,6.4 64.75,6.4 64.783333,6.533333 64.783333,6.533333 64.8,6.566667 64.8,6.566667 64.766667,6.616667 64.766667,6.616667 64.783333,6.633333 64.783333,6.633333 64.816667,6.6 64.816667,6.6 64.8,6.583333 64.8,6.583333 64.833333,6.6 64.833333,6.6 64.85,6.616667 64.85,6.616667 64.866667,6.633333 64.866667,6.633333 64.883333,6.65 64.883333,6.65 64.933333,6.616667 64.933333,6.616667 64.916667,6.6 64.916667,6.6 64.9,6.583333 64.9,6.583333 64.883333,6.566667 64.883333,6.566667 64.866667,6.55 64.866667,6.55 64.85,6.533333 64.85,6.533333 64.833333,6.516667 64.833333,6.516667 64.816667,6.5 64.816667,6.5 64.8,6.466667 64.8,6.466667 64.833333,6.45 64.833333,6.45 64.85,6.483333 64.85,6.483333 64.983333,6.583333 64.983333,6.583333 64.966667,6.616667 64.966667,6.616667 65,6.333333 65,6.333333 64.816667,6.366667 64.816667,6.366667 64.866667,6.35 64.866667,6.35 64.9,6.383333 64.9,6.383333 64.883333,6.4 64.883333,6.4 64.866667,6.416667 64.866667,6.416667 64.85,6.433333 64.85,6.433333 64.816667,6.4 64.816667,6.4 64.8,6.383333 64.8,6.383333 64.766667,6.333333 64.766667,6.333333 64.75)))"
1854695,4924046,"HALTENBANKEN VEST UNIT","UNITIZED",2007-12-03,9999-12-31,ACTIVE,2001-12-18,2001-12-18,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=1854695","http://www.npd.no/FactMapSearch?NPDID_business_area=1854695","MULTIPOLYGON(((6.316667 64.8,6.333333 64.8,6.333333 64.916667,6.283333 64.916667,6.283333 64.866667,6.316667 64.866667,6.316667 64.85,6.3 64.85,6.3 64.816667,6.316667 64.816667,6.316667 64.8)))"
1854695,4924061,"HALTENBANKEN VEST UNIT","UNITIZED",2007-12-03,9999-12-31,ACTIVE,2001-12-18,2001-12-18,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=1854695","http://www.npd.no/FactMapSearch?NPDID_business_area=1854695","MULTIPOLYGON(((6.333333 64.716667,6.383333 64.716667,6.383333 64.733333,6.4 64.733333,6.4 64.75,6.333333 64.75,6.333333 64.716667)))"
1854695,4924019,"HALTENBANKEN VEST UNIT","UNITIZED",2007-12-03,9999-12-31,ACTIVE,2001-12-18,2001-12-18,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=1854695","http://www.npd.no/FactMapSearch?NPDID_business_area=1854695","MULTIPOLYGON(((6.333333 65,6.533333 65,6.533333 65.033333,6.55 65.033333,6.55 65.083333,6.333333 65.083333,6.333333 65)))"
1854695,2069666,"HALTENBANKEN VEST UNIT","UNITIZED",2001-12-18,2003-05-12,INACTIVE,2001-12-18,2001-12-18,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=1854695","http://www.npd.no/FactMapSearch?NPDID_business_area=1854695","MULTIPOLYGON(((6.333333 64.716667,6.416667 64.716667,6.416667 64.75,6.333333 64.75,6.333333 64.716667)))"
1854695,2596411,"HALTENBANKEN VEST UNIT","UNITIZED",2003-05-12,2003-08-26,INACTIVE,2001-12-18,2001-12-18,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=1854695","http://www.npd.no/FactMapSearch?NPDID_business_area=1854695","MULTIPOLYGON(((6.316667 64.8,6.333333 64.8,6.333333 64.916667,6.283333 64.916667,6.283333 64.866667,6.316667 64.866667,6.316667 64.85,6.3 64.85,6.3 64.816667,6.316667 64.816667,6.316667 64.8)))"
1854695,2596400,"HALTENBANKEN VEST UNIT","UNITIZED",2003-05-12,2003-08-26,INACTIVE,2001-12-18,2001-12-18,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=1854695","http://www.npd.no/FactMapSearch?NPDID_business_area=1854695","MULTIPOLYGON(((6.333333 64.716667,6.383333 64.716667,6.383333 64.733333,6.4 64.733333,6.4 64.75,6.333333 64.75,6.333333 64.716667)))"
1854695,2596389,"HALTENBANKEN VEST UNIT","UNITIZED",2003-05-12,2003-08-26,INACTIVE,2001-12-18,2001-12-18,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=1854695","http://www.npd.no/FactMapSearch?NPDID_business_area=1854695","MULTIPOLYGON(((6.333333 64.75,6.666667 64.75,6.666667 64.966667,6.566667 64.966667,6.566667 65,6.333333 65,6.333333 64.75)))"
1854695,2596362,"HALTENBANKEN VEST UNIT","UNITIZED",2003-05-12,2003-08-26,INACTIVE,2001-12-18,2001-12-18,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=1854695","http://www.npd.no/FactMapSearch?NPDID_business_area=1854695","MULTIPOLYGON(((6.333333 65,6.533333 65,6.533333 65.033333,6.55 65.033333,6.55 65.083333,6.45 65.083333,6.45 65.116667,6.466667 65.116667,6.466667 65.133333,6.483333 65.133333,6.483333 65.166667,6.516667 65.166667,6.516667 65.2,6.483333 65.2,6.483333 65.25,6.416667 65.25,6.416667 65.15,6.4 65.15,6.4 65.1,6.383333 65.1,6.383333 65.083333,6.333333 65.083333,6.333333 65)))"
1854695,2069704,"HALTENBANKEN VEST UNIT","UNITIZED",2001-12-18,2003-05-12,INACTIVE,2001-12-18,2001-12-18,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=1854695","http://www.npd.no/FactMapSearch?NPDID_business_area=1854695","MULTIPOLYGON(((6.333333 65,6.533333 65,6.533333 65.033333,6.55 65.033333,6.55 65.083333,6.45 65.083333,6.45 65.116667,6.466667 65.116667,6.466667 65.133333,6.483333 65.133333,6.483333 65.166667,6.516667 65.166667,6.516667 65.2,6.483333 65.2,6.483333 65.25,6.416667 65.25,6.416667 65.15,6.4 65.15,6.4 65.1,6.383333 65.1,6.383333 65.083333,6.333333 65.083333,6.333333 65)))"
1854695,2069693,"HALTENBANKEN VEST UNIT","UNITIZED",2001-12-18,2003-05-12,INACTIVE,2001-12-18,2001-12-18,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=1854695","http://www.npd.no/FactMapSearch?NPDID_business_area=1854695","MULTIPOLYGON(((6.333333 64.75,6.666667 64.75,6.666667 64.966667,6.566667 64.966667,6.566667 65,6.333333 65,6.333333 64.75)))"
1854695,2069684,"HALTENBANKEN VEST UNIT","UNITIZED",2001-12-18,2003-05-12,INACTIVE,2001-12-18,2001-12-18,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=1854695","http://www.npd.no/FactMapSearch?NPDID_business_area=1854695","MULTIPOLYGON(((6.25 64.8,6.333333 64.8,6.333333 64.966667,6.25 64.966667,6.25 64.8)))"
1854695,2069675,"HALTENBANKEN VEST UNIT","UNITIZED",2001-12-18,2003-05-12,INACTIVE,2001-12-18,2001-12-18,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=1854695","http://www.npd.no/FactMapSearch?NPDID_business_area=1854695","MULTIPOLYGON(((6.25 64.75,6.333333 64.75,6.333333 64.766667,6.25 64.766667,6.25 64.75)))"
40490,3372209,"HEIDRUN UNIT","UNITIZED",2005-01-01,9999-12-31,ACTIVE,1991-12-13,1991-11-27,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=40490","http://www.npd.no/FactMapSearch?NPDID_business_area=40490","MULTIPOLYGON(((7.3 65.266667,7.333333 65.266667,7.333333 65.4,7.233333 65.4,7.233333 65.383333,7.216667 65.383333,7.216667 65.366667,7.2 65.366667,7.2 65.316667,7.216667 65.316667,7.216667 65.3,7.283333 65.3,7.283333 65.283333,7.3 65.283333,7.3 65.266667)))"
40490,3372228,"HEIDRUN UNIT","UNITIZED",2005-01-01,9999-12-31,ACTIVE,1991-12-13,1991-11-27,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=40490","http://www.npd.no/FactMapSearch?NPDID_business_area=40490","MULTIPOLYGON(((7.333333 65.283333,7.366667 65.283333,7.366667 65.3,7.383333 65.3,7.383333 65.366667,7.416667 65.366667,7.416667 65.383333,7.433333 65.383333,7.433333 65.4,7.333333 65.4,7.333333 65.283333)))"
40490,46886,"HEIDRUN UNIT","UNITIZED",1991-11-27,2000-01-01,INACTIVE,1991-12-13,1991-11-27,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=40490","http://www.npd.no/FactMapSearch?NPDID_business_area=40490","MULTIPOLYGON(((7.333333 65.25,7.383333 65.25,7.383333 65.366667,7.366667 65.366667,7.366667 65.383333,7.333333 65.383333,7.333333 65.25)))"
40490,47103,"HEIDRUN UNIT","UNITIZED",1991-11-27,2000-01-01,INACTIVE,1991-12-13,1991-11-27,9999-12-31,"ACTIVE","http://factpages.npd.no/FactPages/default.aspx?nav1=bsns_arr_area&nav2=PageView|All&nav3=40490","http://www.npd.no/FactMapSearch?NPDID_business_area=40490","MULTIPOLYGON(((7.283333 65.25,7.333333 65.25,7.333333 65.383333,7.316667 65.383333,7.316667 65.4,7.233333 65.4,7.233333 65.383333,7.216667 65.383333,7.216667 65.366667,7.2 65.366667,7.2 65.316667,7.216667 65.316667,7.216667 65.3,7.233333 65.3,7.233333 65.283333,7.25 65.283333,7.25 65.266667,7.283333 65.266667,7.283333 65.25)))"
