wlbWellboreName,wlbNpdidWellbore,wlbWell,wlbDrillingOperator,wlbProductionLicence,wlbDrillingFacility,wlbEntryDate,wlbCompletionDate,wlbDrillPermit,wlbTotalDepth,wlbWaterDepth,wlbMainArea,wlbEntryYear,wlbCompletionYear,wlbSeismicLocation,wlbGeodeticDatum,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,wlbNsDecDeg,wlbEwDesDeg,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNamePart1,wlbNamePart2,wlbNamePart3,wlbNamePart4,wlbNamePart5,wlbNamePart6,wlbDateUpdated,wlbDateUpdatedMax,dateSyncNPD
1/9-U-1,980,1/9-U-1,Den norske stats oljeselskap a.s,NULL,NULL,1986-05-06,1986-05-07,27-G,0.0,0.0,NORTH SEA,1986,1986,NULL,ED50,56,29,31.72,N,2,55,26.74,E,56.4921,2.9241,6260997.94,495326.04,31,1,9,U,1,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/1-U-1,994,2/1-U-1,BP Petroleum Dev. of Norway AS,019,PHOLAS,1986-08-01,1986-08-02,42-G,0.0,66.0,NORTH SEA,1986,1986,NULL,ED50,56,54,18.84,N,3,5,3.6,E,56.9052,3.0843,6306981.28,505136.34,31,2,1,U,1,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/1-U-2,1094,2/1-U-2,BP Petroleum Dev. of Norway AS,019,BUCENTAUR,1987-04-07,1987-04-08,60-G,122.0,66.8,NORTH SEA,1987,1987,NULL,ED50,56,54,19.25,N,3,5,0.57,E,56.9053,3.0835,6306993.90,505085.06,31,2,1,U,2,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/1-U-3,1095,2/1-U-3,BP Petroleum Dev. of Norway AS,019,BUCENTAUR,1987-04-09,1987-04-10,61-G,80.8,66.9,NORTH SEA,1987,1987,NULL,ED50,56,54,19.25,N,3,5,1.44,E,56.9053,3.0837,6306993.92,505099.78,31,2,1,U,3,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/1-U-4,1096,2/1-U-4,BP Petroleum Dev. of Norway AS,019,BUCENTAUR,1987-04-11,1987-04-12,62-G,84.2,66.9,NORTH SEA,1987,1987,NULL,ED50,56,54,18.64,N,3,5,1.81,E,56.9052,3.0838,6306975.06,505106.06,31,2,1,U,4,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/1-U-5,1097,2/1-U-5,BP Petroleum Dev. of Norway AS,019,BUCENTAUR,1987-04-14,1987-04-15,63-G,62.0,67.1,NORTH SEA,1987,1987,NULL,ED50,56,53,48.17,N,3,5,3.98,E,56.8967,3.0844,6306032.92,505143.94,31,2,1,U,5,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/1-U-6,1098,2/1-U-6,BP Petroleum Dev. of Norway AS,019,BUCENTAUR,1987-04-15,1987-04-16,64-G,75.6,67.3,NORTH SEA,1987,1987,NULL,ED50,56,54,16.7,N,3,5,5.29,E,56.9046,3.0848,6306915.15,505165.01,31,2,1,U,6,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/1-U-7,1099,2/1-U-7,BP Petroleum Dev. of Norway AS,019,BUCENTAUR,1987-04-17,1987-04-18,65-G,77.5,67.2,NORTH SEA,1987,1987,NULL,ED50,56,53,48.07,N,3,5,5.52,E,56.8967,3.0849,6306029.86,505170.00,31,2,1,U,7,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/1-U-8,1100,2/1-U-8,BP Petroleum Dev. of Norway AS,019,BUCENTAUR,1987-04-19,1987-04-20,66-G,170.6,67.1,NORTH SEA,1987,1987,NULL,ED50,56,54,17.66,N,3,5,7.06,E,56.9049,3.0853,6306944.87,505194.92,31,2,1,U,8,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
2/1-U-9,1101,2/1-U-9,BP Petroleum Dev. of Norway AS,019,BUCENTAUR,1987-04-26,1987-04-27,67-G,129.0,67.1,NORTH SEA,1987,1987,NULL,ED50,56,53,46.72,N,3,5,4.63,E,56.8963,3.0846,6305988.10,505154.99,31,2,1,U,9,NULL,NULL,2012-07-25,2012-07-25,2013-05-08
