wlbName,wlbDocumentType,wlbDocumentName,wlbDocumentUrl,wlbDocumentFormat,wlbDocumentSize,wlbNpdidWellbore,wlbDocumentDateUpdated,dateSyncNPD
2/5-14 S,GEOCHEMICAL INFORMATION,5958_01_2_5_14_gch_transfer_2,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/5958_01_2_5_14_gch_transfer_2.txt,txt,0,5958,2013-02-13,2013-05-08
2/5-14 S,GEOCHEMICAL INFORMATION,5958_02_2_5_14_gch_results_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/5958_02_2_5_14_gch_results_1.txt,txt,125,5958,2013-02-13,2013-05-08
2/5-14 S,GEOCHEMICAL INFORMATION,5958_02_2_5_14_gch_results_2,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/5958_02_2_5_14_gch_results_2.txt,txt,43,5958,2013-02-13,2013-05-08
2/5-2,OLD NPD WDSS,188_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/188_01_WDSS_General_Information.pdf,pdf,169,188,9999-12-31,2013-05-08
2/5-2,REPORTED BY LICENSEE,188_01_2_5_2_Completionr_Report,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/188_01_2_5_2_Completionr_Report.pdf,pdf,16388,188,9999-12-31,2013-05-08
2/5-2,REPORTED BY LICENSEE,188_01_2_5_2_Completion_log,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/188_01_2_5_2_Completion_log.pdf,pdf,2058,188,9999-12-31,2013-05-08
2/5-2,REPORTED BY LICENSEE,188_04_2_5_2_Core_Analysis_Report,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/188_04_2_5_2_Core_Analysis_Report.pdf,pdf,1427,188,9999-12-31,2013-05-08
2/5-3,OLD NPD WDSS,258_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/258_01_WDSS_General_Information.pdf,pdf,406,258,9999-12-31,2013-05-08
2/5-4,OLD NPD WDSS,259_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/259_01_WDSS_General_Information.pdf,pdf,235,259,9999-12-31,2013-05-08
2/5-4,REPORTED BY LICENSEE,259_01_2_5_4_Completion_log,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/259_01_2_5_4_Completion_log.pdf,pdf,3187,259,9999-12-31,2013-05-08
2/5-4,REPORTED BY LICENSEE,259_01_2_5_4_Completion_Report,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/259_01_2_5_4_Completion_Report.pdf,pdf,4694,259,9999-12-31,2013-05-08
2/5-5,OLD NPD WDSS,260_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/260_01_WDSS_General_Information.pdf,pdf,256,260,9999-12-31,2013-05-08
2/5-6,GEOCHEMICAL INFORMATION,261_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/261_1.pdf,pdf,313,261,9999-12-31,2013-05-08
2/5-6,GEOCHEMICAL INFORMATION,261_2,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/261_2.pdf,pdf,1669,261,9999-12-31,2013-05-08
2/5-6,GEOCHEMICAL INFORMATION,261_3,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/261_3.pdf,pdf,209,261,9999-12-31,2013-05-08
2/5-6,GEOCHEMICAL INFORMATION,261_4,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/261_4.pdf,pdf,387,261,9999-12-31,2013-05-08
2/5-6,OLD NPD WDSS,261_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/261_01_WDSS_General_Information.pdf,pdf,205,261,9999-12-31,2013-05-08
