wlbName,wlbDocumentType,wlbDocumentName,wlbDocumentUrl,wlbDocumentFormat,wlbDocumentSize,wlbNpdidWellbore,wlbDocumentDateUpdated,dateSyncNPD
1/2-1,GEOCHEMICAL INFORMATION,1382_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/1382_1.pdf,pdf,174,1382,9999-12-31,2013-05-08
1/2-1,GEOCHEMICAL INFORMATION,1382_2,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/1382_2.pdf,pdf,3408,1382,9999-12-31,2013-05-08
1/2-1,OLD NPD WDSS,1382_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/1382_01_WDSS_General_Information.pdf,pdf,258,1382,9999-12-31,2013-05-08
1/2-1,OLD NPD WDSS,1382_02_WDSS_completion_log,http://www.npd.no/engelsk/cwi/pbl/wdss_old/1382_02_WDSS_completion_log.pdf,pdf,168,1382,9999-12-31,2013-05-08
1/3-1,GEOCHEMICAL INFORMATION,154_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/154_1.pdf,pdf,880,154,9999-12-31,2013-05-08
1/3-1,GEOCHEMICAL INFORMATION,154_2,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/154_2.pdf,pdf,1236,154,9999-12-31,2013-05-08
1/3-1,NPD PAPER,154_01_NPD_Paper_No.15_Lithology__Well_1_3_1,http://www.npd.no/engelsk/cwi/pbl/NPD_papers/154_01_NPD_Paper_No.15_Lithology__Well_1_3_1.pdf,pdf,14982,154,9999-12-31,2013-05-08
1/3-1,NPD PAPER,154_02_NPD_Paper_No.15_Interpreted_Lithology_log__Well_1_3_1,http://www.npd.no/engelsk/cwi/pbl/NPD_papers/154_02_NPD_Paper_No.15_Interpreted_Lithology_log__Well_1_3_1.pdf,pdf,78912,154,9999-12-31,2013-05-08
1/3-1,OLD NPD WDSS,154_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/154_01_WDSS_General_Information.pdf,pdf,212,154,9999-12-31,2013-05-08
1/3-1,REPORTED BY LICENSEE,154_01_1_3_1_Completion_log,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/154_01_1_3_1_Completion_log.pdf,pdf,3013,154,9999-12-31,2013-05-08
1/3-1,REPORTED BY LICENSEE,154_01_1_3_1_Core_report,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/154_01_1_3_1_Core_report.pdf,pdf,4162,154,9999-12-31,2013-05-08
1/3-1,REPORTED BY LICENSEE,154_01_1_3_1_Well_Resume,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/154_01_1_3_1_Well_Resume.pdf,pdf,24932,154,9999-12-31,2013-05-08
1/3-11,GEOCHEMICAL INFORMATION,5806_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/5806_1.pdf,pdf,5606,5806,9999-12-31,2013-05-08
1/3-2,NPD PAPER,165_01_NPD_Paper_No.15_Lithology__Well_1_3_2,http://www.npd.no/engelsk/cwi/pbl/NPD_papers/165_01_NPD_Paper_No.15_Lithology__Well_1_3_2.pdf,pdf,14982,165,9999-12-31,2013-05-08
1/3-2,NPD PAPER,165_02_NPD_Paper_No.15_Interpreted_Lithology_log__Well_1_3_2,http://www.npd.no/engelsk/cwi/pbl/NPD_papers/165_02_NPD_Paper_No.15_Interpreted_Lithology_log__Well_1_3_2.pdf,pdf,64619,165,9999-12-31,2013-05-08
1/3-2,OLD NPD WDSS,165_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/165_01_WDSS_General_Information.pdf,pdf,189,165,9999-12-31,2013-05-08
1/3-2,REPORTED BY LICENSEE,165_01_1_3_2_Completion_log,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/165_01_1_3_2_Completion_log.pdf,pdf,2564,165,9999-12-31,2013-05-08
1/3-2,REPORTED BY LICENSEE,165_01_1_3_2_Well_Resume,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/165_01_1_3_2_Well_Resume.pdf,pdf,24932,165,9999-12-31,2013-05-08
1/3-3,GEOCHEMICAL INFORMATION,87_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/87_1.pdf,pdf,309,87,9999-12-31,2013-05-08
1/3-3,OLD NPD WDSS,87_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/87_01_WDSS_General_Information.pdf,pdf,188,87,9999-12-31,2013-05-08
1/3-3,OLD NPD WDSS,87_02_WDSS_completion_log,http://www.npd.no/engelsk/cwi/pbl/wdss_old/87_02_WDSS_completion_log.pdf,pdf,442,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Addendum_to_Petroleum_Geological_Evaluation,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Addendum_to_Petroleum_Geological_Evaluation.pdf,pdf,8547,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Biostratigraph_report,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Biostratigraph_report.pdf,pdf,1004,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Completion_log,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Completion_log.pdf,pdf,2040,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Completion_Report,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Completion_Report.pdf,pdf,27738,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Compte_rendu_de_mission_dechantillonnage,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Compte_rendu_de_mission_dechantillonnage.pdf,pdf,558,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Core_description,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Core_description.pdf,pdf,786,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Core_report,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Core_report.pdf,pdf,3019,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Description_of_core_and_sidewall_core_samples,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Description_of_core_and_sidewall_core_samples.pdf,pdf,35457,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Description_of_the_cored_interval_of_the_upper_jurassic_sandstones,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Description_of_the_cored_interval_of_the_upper_jurassic_sandstones.pdf,pdf,35411,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Discovery_annual_report,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Discovery_annual_report.pdf,pdf,646,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Etude_sedimentologique_et_mineralogique_des_carottes,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Etude_sedimentologique_et_mineralogique_des_carottes.pdf,pdf,2089,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Geological_completion_report,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Geological_completion_report.pdf,pdf,12282,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Laboratory_study_of_the_permian_to_danian_series,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Laboratory_study_of_the_permian_to_danian_series.pdf,pdf,38407,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Preliminary_evaluation,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Preliminary_evaluation.pdf,pdf,1198,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Pressure_Survey-DST-1B,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Pressure_Survey-DST-1B.pdf,pdf,1028,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Pressure_Survey-DST-2,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Pressure_Survey-DST-2.pdf,pdf,2281,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Pressure_Survey-DST-3A,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Pressure_Survey-DST-3A.pdf,pdf,1517,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Pressure_Survey-DST-3B,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Pressure_Survey-DST-3B.pdf,pdf,1227,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Pressure_Test_data_summary-DST-1A,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Pressure_Test_data_summary-DST-1A.pdf,pdf,572,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Pressure_Test_data_Summary-DST-1B,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Pressure_Test_data_Summary-DST-1B.pdf,pdf,901,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Pressure_Test_data_Summary-DST-2,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Pressure_Test_data_Summary-DST-2.pdf,pdf,778,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Pressure_Test_data_summary-DST-3,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Pressure_Test_data_summary-DST-3.pdf,pdf,2195,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Pressure_test_data_summary-DST-No-2,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Pressure_test_data_summary-DST-No-2.pdf,pdf,1183,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Pressure_test_data_summary_DST-3,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Pressure_test_data_summary_DST-3.pdf,pdf,603,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Pressure_Test_data_Summary_DST-no-3B,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Pressure_Test_data_Summary_DST-no-3B.pdf,pdf,666,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Pressure_Variations_in_Late_jurassic_Sandstones,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Pressure_Variations_in_Late_jurassic_Sandstones.pdf,pdf,22976,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Reservoir_Evaluation_Report,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Reservoir_Evaluation_Report.pdf,pdf,13877,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Side_wall_cores_description,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Side_wall_cores_description.pdf,pdf,604,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Test_report_Chronological_order,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Test_report_Chronological_order.pdf,pdf,22333,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Thermodynamic_Study_and_Physical_Properties,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Thermodynamic_Study_and_Physical_Properties.pdf,pdf,4068,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Water_Samples-DST-1,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Water_Samples-DST-1.pdf,pdf,136,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Water_Samples-DST-2-DST-3A,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Water_Samples-DST-2-DST-3A.pdf,pdf,391,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Water_Samples,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Water_Samples.pdf,pdf,214,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Water_Samples_UP_Chamber,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Water_Samples_UP_Chamber.pdf,pdf,120,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Well_Logging_Study_of_Upper_Jurassic_Formation,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Well_Logging_Study_of_Upper_Jurassic_Formation.pdf,pdf,3526,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Well_Testing_Report,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Well_Testing_Report.pdf,pdf,9903,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Well_Testing_Report_2,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Well_Testing_Report_2.pdf,pdf,5601,87,9999-12-31,2013-05-08
1/3-3,REPORTED BY LICENSEE,87_01_1_3_3_Well_Testing_Report_3,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/87_01_1_3_3_Well_Testing_Report_3.pdf,pdf,7696,87,9999-12-31,2013-05-08
1/3-4,GEOCHEMICAL INFORMATION,2_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/2_1.pdf,pdf,788,2,9999-12-31,2013-05-08
1/3-4,OLD NPD WDSS,2_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/2_01_WDSS_General_Information.pdf,pdf,175,2,9999-12-31,2013-05-08
1/3-4,OLD NPD WDSS,2_02_WDSS_completion_log,http://www.npd.no/engelsk/cwi/pbl/wdss_old/2_02_WDSS_completion_log.pdf,pdf,254,2,9999-12-31,2013-05-08
1/3-4,REPORTED BY LICENSEE,2_01_1_3_4_Completion_log,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/2_01_1_3_4_Completion_log.pdf,pdf,1251,2,9999-12-31,2013-05-08
1/3-4,REPORTED BY LICENSEE,2_01_1_3_4_Completion_Report,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/2_01_1_3_4_Completion_Report.pdf,pdf,5771,2,9999-12-31,2013-05-08
1/3-4,REPORTED BY LICENSEE,2_01_1_3_4_Study_of_Calcareous_nannofossils,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/2_01_1_3_4_Study_of_Calcareous_nannofossils.pdf,pdf,1582,2,9999-12-31,2013-05-08
1/3-5,COMPOSITE LOG,223,http://www.npd.no/engelsk/cwi/pbl/wellbore_composite_logs/223.pdf,pdf,645,223,9999-12-31,2013-05-08
1/3-5,OLD NPD WDSS,223_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/223_01_WDSS_General_Information.pdf,pdf,295,223,9999-12-31,2013-05-08
1/3-5,OLD NPD WDSS,223_02_WDSS_completion_log,http://www.npd.no/engelsk/cwi/pbl/wdss_old/223_02_WDSS_completion_log.pdf,pdf,317,223,9999-12-31,2013-05-08
1/3-5,REPORTED BY LICENSEE,223_01_1_3_5_Well_Resume,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/223_01_1_3_5_Well_Resume.pdf,pdf,3192,223,9999-12-31,2013-05-08
1/3-5,REPORTED BY LICENSEE,223_02_1_3_5_Completion_log,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/223_02_1_3_5_Completion_log.pdf,pdf,2405,223,9999-12-31,2013-05-08
1/3-6,GEOCHEMICAL INFORMATION,1521_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/1521_1.pdf,pdf,136,1521,9999-12-31,2013-05-08
1/3-6,GEOCHEMICAL INFORMATION,1521_2,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/1521_2.pdf,pdf,816,1521,9999-12-31,2013-05-08
1/3-6,OLD NPD WDSS,1521_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/1521_01_WDSS_General_Information.pdf,pdf,24156,1521,9999-12-31,2013-05-08
1/3-6,OLD NPD WDSS,1521_02_WDSS_completion_log,http://www.npd.no/engelsk/cwi/pbl/wdss_old/1521_02_WDSS_completion_log.pdf,pdf,194,1521,9999-12-31,2013-05-08
1/3-7,GEOCHEMICAL INFORMATION,2505_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/2505_1.pdf,pdf,64,2505,9999-12-31,2013-05-08
1/3-7,GEOCHEMICAL INFORMATION,2505_2,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/2505_2.pdf,pdf,942,2505,9999-12-31,2013-05-08
1/3-8,GEOCHEMICAL INFORMATION,2829_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/2829_1.pdf,pdf,193,2829,9999-12-31,2013-05-08
1/3-8,GEOCHEMICAL INFORMATION,2829_2,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/2829_2.pdf,pdf,4883,2829,9999-12-31,2013-05-08
1/3-9 S,GEOCHEMICAL INFORMATION,3362_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/3362_1.pdf,pdf,438,3362,9999-12-31,2013-05-08
1/3-9 S,GEOCHEMICAL INFORMATION,3362_2,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/3362_2.pdf,pdf,2490,3362,9999-12-31,2013-05-08
1/3-9 S,GEOCHEMICAL INFORMATION,3362_3,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/3362_3.pdf,pdf,122,3362,9999-12-31,2013-05-08
1/5-1,OLD NPD WDSS,237_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/237_01_WDSS_General_Information.pdf,pdf,96,237,9999-12-31,2013-05-08
1/5-2,COMPOSITE LOG,238,http://www.npd.no/engelsk/cwi/pbl/wellbore_composite_logs/238.pdf,pdf,652,238,2013-05-01,2013-05-08
1/5-2,GEOCHEMICAL INFORMATION,238_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/238_1.pdf,pdf,278,238,9999-12-31,2013-05-08
1/5-2,GEOCHEMICAL INFORMATION,238_2,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/238_2.pdf,pdf,400,238,9999-12-31,2013-05-08
1/5-2,GEOCHEMICAL INFORMATION,238_3,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/238_3.pdf,pdf,1589,238,9999-12-31,2013-05-08
1/5-2,OLD NPD WDSS,238_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/238_01_WDSS_General_Information.pdf,pdf,264,238,9999-12-31,2013-05-08
1/5-2,REPORTED BY LICENSEE,238_01_1_5_2_CompletionLog,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/238_01_1_5_2_CompletionLog.pdf,pdf,2399,238,9999-12-31,2013-05-08
1/5-2,REPORTED BY LICENSEE,238_01_1_5_2_CompletionReport,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/238_01_1_5_2_CompletionReport.pdf,pdf,21981,238,9999-12-31,2013-05-08
1/5-3 S,COMPOSITE LOG,3257,http://www.npd.no/engelsk/cwi/pbl/wellbore_composite_logs/3257.pdf,pdf,206,3257,9999-12-31,2013-05-08
1/5-3 S,GEOCHEMICAL INFORMATION,3257_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/3257_1.pdf,pdf,1608,3257,9999-12-31,2013-05-08
1/5-4 S,COMPOSITE LOG,4521,http://www.npd.no/engelsk/cwi/pbl/wellbore_composite_logs/4521.pdf,pdf,316,4521,9999-12-31,2013-05-08
1/5-4 S,GEOCHEMICAL INFORMATION,4521_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/4521_1.pdf,pdf,10482,4521,9999-12-31,2013-05-08
1/6-1,OLD NPD WDSS,239_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/239_01_WDSS_General_Information.pdf,pdf,419,239,9999-12-31,2013-05-08
1/6-1,REPORTED BY LICENSEE,239_01_1_6_1_Completion_Report_and_Completion_log,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/239_01_1_6_1_Completion_Report_and_Completion_log.pdf,pdf,19612,239,9999-12-31,2013-05-08
1/6-2,COMPOSITE LOG,240,http://www.npd.no/engelsk/cwi/pbl/wellbore_composite_logs/240.pdf,pdf,403,240,2013-05-01,2013-05-08
1/6-2,OLD NPD WDSS,240_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/240_01_WDSS_General_Information.pdf,pdf,247,240,9999-12-31,2013-05-08
1/6-2,REPORTED BY LICENSEE,240_1_6_2_Completion_Log,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/240_1_6_2_Completion_Log.pdf,pdf,1937,240,9999-12-31,2013-05-08
1/6-2,REPORTED BY LICENSEE,240_1_6_2_Completion_report,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/240_1_6_2_Completion_report.pdf,pdf,20820,240,9999-12-31,2013-05-08
1/6-3,OLD NPD WDSS,241_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/241_01_WDSS_General_Information.pdf,pdf,262,241,9999-12-31,2013-05-08
1/6-3,REPORTED BY LICENSEE,241_01_1_6_3_Completion_log,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/241_01_1_6_3_Completion_log.pdf,pdf,1642,241,9999-12-31,2013-05-08
1/6-3,REPORTED BY LICENSEE,241_01_1_6_3_Completion_Report,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/241_01_1_6_3_Completion_Report.pdf,pdf,3271,241,9999-12-31,2013-05-08
1/6-4,GEOCHEMICAL INFORMATION,242_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/242_1.pdf,pdf,48,242,9999-12-31,2013-05-08
1/6-4,GEOCHEMICAL INFORMATION,242_2,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/242_2.pdf,pdf,686,242,9999-12-31,2013-05-08
1/6-4,OLD NPD WDSS,242_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/242_01_WDSS_General_Information.pdf,pdf,270,242,9999-12-31,2013-05-08
1/6-4,REPORTED BY LICENSEE,242_1_6_4_Completion_Log,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/242_1_6_4_Completion_Log.pdf,pdf,1624,242,9999-12-31,2013-05-08
1/6-4,REPORTED BY LICENSEE,242_1_6_4_Completion_report,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/242_1_6_4_Completion_report.pdf,pdf,25704,242,9999-12-31,2013-05-08
1/6-5,OLD NPD WDSS,1508_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/1508_01_WDSS_General_Information.pdf,pdf,220,1508,9999-12-31,2013-05-08
1/6-5,OLD NPD WDSS,1508_02_WDSS_completion_log,http://www.npd.no/engelsk/cwi/pbl/wdss_old/1508_02_WDSS_completion_log.pdf,pdf,138,1508,9999-12-31,2013-05-08
1/6-5,REPORTED BY LICENSEE,1508_1_6_5_Completion_Log,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/1508_1_6_5_Completion_Log.pdf,pdf,1148,1508,9999-12-31,2013-05-08
1/6-5,REPORTED BY LICENSEE,1508_1_6_5_Completion_report_1,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/1508_1_6_5_Completion_report_1.pdf,pdf,29717,1508,9999-12-31,2013-05-08
1/6-5,REPORTED BY LICENSEE,1508_1_6_5_Completion_report_2,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/1508_1_6_5_Completion_report_2.pdf,pdf,20439,1508,9999-12-31,2013-05-08
1/6-7,GEOCHEMICAL INFORMATION,1928_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/1928_1.pdf,pdf,255,1928,9999-12-31,2013-05-08
1/6-7,GEOCHEMICAL INFORMATION,1928_2,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/1928_2.pdf,pdf,7145,1928,9999-12-31,2013-05-08
1/6-7,OLD NPD WDSS,1928_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/1928_01_WDSS_General_Information.pdf,pdf,620,1928,9999-12-31,2013-05-08
1/6-7,OLD NPD WDSS,1928_02_WDSS_completion_log,http://www.npd.no/engelsk/cwi/pbl/wdss_old/1928_02_WDSS_completion_log.pdf,pdf,212,1928,9999-12-31,2013-05-08
1/6-7,REPORTED BY LICENSEE,1928_1_6_7_Completion_Log,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/1928_1_6_7_Completion_Log.pdf,pdf,3108,1928,9999-12-31,2013-05-08
1/6-7,REPORTED BY LICENSEE,1928_1_6_7_Completion_Report,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/1928_1_6_7_Completion_Report.pdf,pdf,54721,1928,9999-12-31,2013-05-08
1/9-1,GEOCHEMICAL INFORMATION,243_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/243_1.pdf,pdf,1229,243,9999-12-31,2013-05-08
1/9-1,GEOCHEMICAL INFORMATION,243_2,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/243_2.pdf,pdf,2574,243,9999-12-31,2013-05-08
1/9-1,REPORTED BY LICENSEE,243_1_9_1_and_1_9_2_Pore_pressure_fracture_gradients,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/243_1_9_1_and_1_9_2_Pore_pressure_fracture_gradients.pdf,pdf,3174,243,9999-12-31,2013-05-08
1/9-1,REPORTED BY LICENSEE,243_1_9_1_Completion_log,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/243_1_9_1_Completion_log.pdf,pdf,2146,243,9999-12-31,2013-05-08
1/9-1,REPORTED BY LICENSEE,243_1_9_1_Completion_report_I,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/243_1_9_1_Completion_report_I.pdf,pdf,32919,243,9999-12-31,2013-05-08
1/9-1,REPORTED BY LICENSEE,243_1_9_1_Completion_report_II,http://www.npd.no/engelsk/cwi/pbl/wellbore_documents/243_1_9_1_Completion_report_II.pdf,pdf,38518,243,9999-12-31,2013-05-08
1/9-1 R,OLD NPD WDSS,1444_01_WDSS_General_Information,http://www.npd.no/engelsk/cwi/pbl/wdss_old/1444_01_WDSS_General_Information.pdf,pdf,271,1444,9999-12-31,2013-05-08
1/9-2,GEOCHEMICAL INFORMATION,244_1,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/244_1.pdf,pdf,664,244,9999-12-31,2013-05-08
1/9-2,GEOCHEMICAL INFORMATION,244_2,http://www.npd.no/engelsk/cwi/pbl/geochemical_pdfs/244_2.pdf,pdf,2369,244,9999-12-31,2013-05-08
