prlName,prlLicenseeDateValidFrom,prlLicenseeDateValidTo,cmpLongName,prlLicenseeInterest,prlLicenseeSdfi,prlOperDateValidFrom,prlOperDateValidTo,prlNpdidLicence,cmpNpdidCompany,prlLicenseeDateUpdated,dateSyncNPD
001 B,2004-10-01,2005-01-01,ExxonMobil Exploration & Production Norway AS,50.00000,NULL,2004-10-01,2005-06-01,917266,2835212,9999-12-31,2013-05-08
001 B,2003-05-28,2004-10-01,Esso Exploration and Production Norway A/S,50.00000,NULL,1999-12-15,2004-10-01,917266,353,9999-12-31,2013-05-08
001 B,2003-05-28,2004-10-01,Statoil ASA (old),50.00000,NULL,9999-12-31,9999-12-31,917266,1622484,9999-12-31,2013-05-08
001 B,2001-12-31,2003-05-28,Esso Exploration and Production Norway A/S,50.00000,NULL,1999-12-15,2004-10-01,917266,353,9999-12-31,2013-05-08
001 B,2001-12-31,2003-05-28,Enterprise Oil Norge AS,50.00000,NULL,9999-12-31,9999-12-31,917266,1853786,9999-12-31,2013-05-08
001 B,1999-12-15,2001-12-31,Esso Exploration and Production Norway A/S,50.00000,NULL,1999-12-15,2004-10-01,917266,353,9999-12-31,2013-05-08
001 B,1999-12-15,2001-12-31,Enterprise Oil Norwegian AS,50.00000,NULL,9999-12-31,9999-12-31,917266,342,9999-12-31,2013-05-08
001 P,1994-01-19,1999-12-14,Enterprise Oil Norwegian AS,50.00000,NULL,9999-12-31,9999-12-31,20764,342,9999-12-31,2013-05-08
001 P,1994-01-19,1999-12-14,Esso Exploration and Production Norway A/S,50.00000,NULL,1994-01-19,1999-12-14,20764,353,9999-12-31,2013-05-08
002,1965-09-01,1977-09-01,Esso Exploration and Production Norway A/S,100.00000,NULL,1965-09-01,1977-09-01,20772,353,9999-12-31,2013-05-08
003,1965-09-01,1977-09-01,Esso Exploration and Production Norway A/S,100.00000,NULL,1965-09-01,1977-09-01,20780,353,9999-12-31,2013-05-08
004,1965-09-01,1977-09-01,Texas Eastern Norwegian Inc.,25.00000,NULL,9999-12-31,9999-12-31,20788,837,9999-12-31,2013-05-08
004,1965-09-01,1977-09-01,Norwegian Oil Consortium A/S & Co,25.00000,NULL,9999-12-31,9999-12-31,20788,518,9999-12-31,2013-05-08
004,1965-09-01,1977-09-01,Amoco Norway Oil Company,25.00000,NULL,1965-09-01,1977-09-01,20788,78,9999-12-31,2013-05-08
004,1965-09-01,1977-09-01,Amerada Hess Norge AS,25.00000,NULL,9999-12-31,9999-12-31,20788,67,9999-12-31,2013-05-08
