prlName,prlLicenseeDateValidFrom,prlLicenseeDateValidTo,cmpLongName,prlLicenseeInterest,prlLicenseeSdfi,prlOperDateValidFrom,prlOperDateValidTo,prlNpdidLicence,cmpNpdidCompany,prlLicenseeDateUpdated,dateSyncNPD
053,2009-11-02,2012-01-01,Statoil Petroleum AS,49.30000,NULL,2009-11-02,9999-12-31,21220,17237817,2012-12-05,2013-05-08
053,2009-01-01,2009-11-02,Petoro AS,33.60000,NULL,9999-12-31,9999-12-31,21220,1626839,9999-12-31,2013-05-08
053,2009-01-01,2009-11-02,Total E&P Norge AS,10.00000,NULL,9999-12-31,9999-12-31,21220,2410708,9999-12-31,2013-05-08
053,2009-01-01,2009-11-02,ConocoPhillips Skandinavia AS,2.40000,NULL,9999-12-31,9999-12-31,21220,2410696,9999-12-31,2013-05-08
053,2009-01-01,2009-11-02,StatoilHydro Petroleum AS,49.30000,NULL,2007-10-01,2009-11-01,21220,4511658,9999-12-31,2013-05-08
053,2009-01-01,2009-11-02,ExxonMobil Exploration & Production Norway AS,4.70000,NULL,9999-12-31,9999-12-31,21220,2835212,9999-12-31,2013-05-08
053,2008-08-01,2009-01-01,Petoro AS,33.60000,NULL,9999-12-31,9999-12-31,21220,1626839,9999-12-31,2013-05-08
053,2008-08-01,2009-01-01,Total E&P Norge AS,10.00000,NULL,9999-12-31,9999-12-31,21220,2410708,9999-12-31,2013-05-08
053,2008-08-01,2009-01-01,ConocoPhillips Skandinavia AS,2.40000,NULL,9999-12-31,9999-12-31,21220,2410696,9999-12-31,2013-05-08
053,2008-08-01,2009-01-01,StatoilHydro Petroleum AS,34.00000,NULL,2007-10-01,2009-11-01,21220,4511658,9999-12-31,2013-05-08
053,2008-08-01,2009-01-01,StatoilHydro ASA,15.30000,NULL,9999-12-31,9999-12-31,21220,4511854,9999-12-31,2013-05-08
053,2008-08-01,2009-01-01,ExxonMobil Exploration & Production Norway AS,4.70000,NULL,9999-12-31,9999-12-31,21220,2835212,9999-12-31,2013-05-08
053,2007-10-01,2008-08-01,Mobil Development Norway AS,4.70000,NULL,9999-12-31,9999-12-31,21220,474,9999-12-31,2013-05-08
053,2007-10-01,2008-08-01,Petoro AS,33.60000,NULL,9999-12-31,9999-12-31,21220,1626839,9999-12-31,2013-05-08
053,2007-10-01,2008-08-01,Total E&P Norge AS,10.00000,NULL,9999-12-31,9999-12-31,21220,2410708,9999-12-31,2013-05-08
053,2007-10-01,2008-08-01,ConocoPhillips Skandinavia AS,2.40000,NULL,9999-12-31,9999-12-31,21220,2410696,9999-12-31,2013-05-08
053,2007-10-01,2008-08-01,StatoilHydro Petroleum AS,34.00000,NULL,2007-10-01,2009-11-01,21220,4511658,9999-12-31,2013-05-08
053,2007-10-01,2008-08-01,StatoilHydro ASA,15.30000,NULL,9999-12-31,9999-12-31,21220,4511854,9999-12-31,2013-05-08
053,2007-01-02,2007-10-01,Mobil Development Norway AS,4.70000,NULL,9999-12-31,9999-12-31,21220,474,9999-12-31,2013-05-08
053,2007-01-02,2007-10-01,Statoil ASA (old),15.30000,NULL,9999-12-31,9999-12-31,21220,1622484,9999-12-31,2013-05-08
053,2007-01-02,2007-10-01,Petoro AS,33.60000,NULL,9999-12-31,9999-12-31,21220,1626839,9999-12-31,2013-05-08
053,2007-01-02,2007-10-01,Total E&P Norge AS,10.00000,NULL,9999-12-31,9999-12-31,21220,2410708,9999-12-31,2013-05-08
053,2007-01-02,2007-10-01,Norsk Hydro Petroleum AS,34.00000,NULL,2007-01-01,2007-10-01,21220,4524355,9999-12-31,2013-05-08
053,2007-01-02,2007-10-01,ConocoPhillips Skandinavia AS,2.40000,NULL,9999-12-31,9999-12-31,21220,2410696,9999-12-31,2013-05-08
053,2007-01-01,2007-01-02,Mobil Development Norway AS,4.70000,NULL,9999-12-31,9999-12-31,21220,474,9999-12-31,2013-05-08
053,2007-01-01,2007-01-02,Statoil ASA (old),15.30000,NULL,9999-12-31,9999-12-31,21220,1622484,9999-12-31,2013-05-08
053,2007-01-01,2007-01-02,Petoro AS,33.60000,NULL,9999-12-31,9999-12-31,21220,1626839,9999-12-31,2013-05-08
053,2007-01-01,2007-01-02,Total E&P Norge AS,10.00000,NULL,9999-12-31,9999-12-31,21220,2410708,9999-12-31,2013-05-08
053,2007-01-01,2007-01-02,Norske ConocoPhillips AS,2.40000,NULL,9999-12-31,9999-12-31,21220,2399056,9999-12-31,2013-05-08
053,2007-01-01,2007-01-02,Norsk Hydro Petroleum AS,34.00000,NULL,2007-01-01,2007-10-01,21220,4524355,9999-12-31,2013-05-08
053,2003-05-06,2007-01-01,Norske ConocoPhillips AS,2.40000,NULL,9999-12-31,9999-12-31,21220,2399056,9999-12-31,2013-05-08
053,2003-05-06,2007-01-01,Mobil Development Norway AS,4.70000,NULL,9999-12-31,9999-12-31,21220,474,9999-12-31,2013-05-08
053,2003-05-06,2007-01-01,Statoil ASA (old),15.30000,NULL,9999-12-31,9999-12-31,21220,1622484,9999-12-31,2013-05-08
053,2003-05-06,2007-01-01,Petoro AS,33.60000,NULL,9999-12-31,9999-12-31,21220,1626839,9999-12-31,2013-05-08
053,2003-05-06,2007-01-01,Norsk Hydro Produksjon AS,34.00000,NULL,1982-04-01,2007-01-01,21220,430,9999-12-31,2013-05-08
053,2003-05-06,2007-01-01,Total E&P Norge AS,10.00000,NULL,9999-12-31,9999-12-31,21220,2410708,9999-12-31,2013-05-08
053,2003-03-22,2003-05-06,Mobil Development Norway AS,4.70000,NULL,9999-12-31,9999-12-31,21220,474,9999-12-31,2013-05-08
053,2003-03-22,2003-05-06,TotalFinaElf Exploration Norge AS,10.00000,NULL,9999-12-31,9999-12-31,21220,1340884,9999-12-31,2013-05-08
053,2003-03-22,2003-05-06,Statoil ASA (old),15.30000,NULL,9999-12-31,9999-12-31,21220,1622484,9999-12-31,2013-05-08
053,2003-03-22,2003-05-06,Petoro AS,33.60000,NULL,9999-12-31,9999-12-31,21220,1626839,9999-12-31,2013-05-08
053,2003-03-22,2003-05-06,Norsk Hydro Produksjon AS,34.00000,NULL,1982-04-01,2007-01-01,21220,430,9999-12-31,2013-05-08
053,2003-03-22,2003-05-06,Norske ConocoPhillips AS,2.40000,NULL,9999-12-31,9999-12-31,21220,2399056,9999-12-31,2013-05-08
053,2002-12-04,2003-03-22,Mobil Development Norway AS,4.70000,NULL,9999-12-31,9999-12-31,21220,474,9999-12-31,2013-05-08
053,2002-12-04,2003-03-22,TotalFinaElf Exploration Norge AS,10.00000,NULL,9999-12-31,9999-12-31,21220,1340884,9999-12-31,2013-05-08
053,2002-12-04,2003-03-22,Statoil ASA (old),15.30000,NULL,9999-12-31,9999-12-31,21220,1622484,9999-12-31,2013-05-08
053,2002-12-04,2003-03-22,Petoro AS,33.60000,NULL,9999-12-31,9999-12-31,21220,1626839,9999-12-31,2013-05-08
053,2002-12-04,2003-03-22,Norsk Hydro Produksjon AS,34.00000,NULL,1982-04-01,2007-01-01,21220,430,9999-12-31,2013-05-08
053,2002-12-04,2003-03-22,Norske Conoco A/S,2.40000,NULL,9999-12-31,9999-12-31,21220,221,9999-12-31,2013-05-08
053,2002-10-01,2002-12-04,Mobil Development Norway AS,7.00000,NULL,9999-12-31,9999-12-31,21220,474,9999-12-31,2013-05-08
053,2002-10-01,2002-12-04,TotalFinaElf Exploration Norge AS,10.00000,NULL,9999-12-31,9999-12-31,21220,1340884,9999-12-31,2013-05-08
053,2002-10-01,2002-12-04,Statoil ASA (old),15.30000,NULL,9999-12-31,9999-12-31,21220,1622484,9999-12-31,2013-05-08
053,2002-10-01,2002-12-04,Petoro AS,31.30000,NULL,9999-12-31,9999-12-31,21220,1626839,9999-12-31,2013-05-08
053,2002-10-01,2002-12-04,Norsk Hydro Produksjon AS,34.00000,NULL,1982-04-01,2007-01-01,21220,430,9999-12-31,2013-05-08
053,2002-10-01,2002-12-04,Norske Conoco A/S,2.40000,NULL,9999-12-31,9999-12-31,21220,221,9999-12-31,2013-05-08
053,2002-03-19,2002-10-01,Mobil Development Norway AS,7.00000,NULL,9999-12-31,9999-12-31,21220,474,9999-12-31,2013-05-08
053,2002-03-19,2002-10-01,Norsk Hydro Produksjon AS,34.00000,NULL,1982-04-01,2007-01-01,21220,430,9999-12-31,2013-05-08
053,2002-03-19,2002-10-01,TotalFinaElf Exploration Norge AS,10.00000,NULL,9999-12-31,9999-12-31,21220,1340884,9999-12-31,2013-05-08
053,2002-03-19,2002-10-01,Statoil ASA (old),14.00000,NULL,9999-12-31,9999-12-31,21220,1622484,9999-12-31,2013-05-08
053,2002-03-19,2002-10-01,Petoro AS,35.00000,NULL,9999-12-31,9999-12-31,21220,1626839,9999-12-31,2013-05-08
053,2001-12-18,2002-03-19,Mobil Development Norway AS,7.00000,NULL,9999-12-31,9999-12-31,21220,474,9999-12-31,2013-05-08
053,2001-12-18,2002-03-19,Norsk Hydro Produksjon AS,19.60000,NULL,1982-04-01,2007-01-01,21220,430,9999-12-31,2013-05-08
053,2001-12-18,2002-03-19,TotalFinaElf Exploration Norge AS,14.00000,NULL,9999-12-31,9999-12-31,21220,1340884,9999-12-31,2013-05-08
053,2001-12-18,2002-03-19,Statoil ASA (old),14.00000,NULL,9999-12-31,9999-12-31,21220,1622484,9999-12-31,2013-05-08
053,2001-12-18,2002-03-19,Petoro AS,45.40000,NULL,9999-12-31,9999-12-31,21220,1626839,9999-12-31,2013-05-08
053,2001-06-17,2001-12-18,Mobil Development Norway AS,7.00000,NULL,9999-12-31,9999-12-31,21220,474,9999-12-31,2013-05-08
053,2001-06-17,2001-12-18,Total Norge AS,4.66700,NULL,9999-12-31,9999-12-31,21220,848,9999-12-31,2013-05-08
053,2001-06-17,2001-12-18,Norsk Hydro Produksjon AS,19.60000,NULL,1982-04-01,2007-01-01,21220,430,9999-12-31,2013-05-08
053,2001-06-17,2001-12-18,TotalFinaElf Exploration Norge AS,9.33300,NULL,9999-12-31,9999-12-31,21220,1340884,9999-12-31,2013-05-08
053,2001-06-17,2001-12-18,Statoil ASA (old),14.00000,NULL,9999-12-31,9999-12-31,21220,1622484,9999-12-31,2013-05-08
053,2001-06-17,2001-12-18,Petoro AS,45.40000,NULL,9999-12-31,9999-12-31,21220,1626839,9999-12-31,2013-05-08
053,2001-05-10,2001-06-17,Mobil Development Norway AS,7.00000,NULL,9999-12-31,9999-12-31,21220,474,9999-12-31,2013-05-08
053,2001-05-10,2001-06-17,Total Norge AS,4.66700,NULL,9999-12-31,9999-12-31,21220,848,9999-12-31,2013-05-08
053,2001-05-10,2001-06-17,Norsk Hydro Produksjon AS,19.60000,NULL,1982-04-01,2007-01-01,21220,430,9999-12-31,2013-05-08
053,2001-05-10,2001-06-17,TotalFinaElf Exploration Norge AS,9.33300,NULL,9999-12-31,9999-12-31,21220,1340884,9999-12-31,2013-05-08
053,2001-05-10,2001-06-17,SDØE,45.40000,NULL,9999-12-31,9999-12-31,21220,1623450,9999-12-31,2013-05-08
053,2001-05-10,2001-06-17,Statoil ASA (old),14.00000,NULL,9999-12-31,9999-12-31,21220,1622484,9999-12-31,2013-05-08
053,2001-01-11,2001-05-10,Den norske stats oljeselskap a.s,59.40000,45.40000,9999-12-31,9999-12-31,21220,749,9999-12-31,2013-05-08
053,2001-01-11,2001-05-10,Mobil Development Norway AS,7.00000,NULL,9999-12-31,9999-12-31,21220,474,9999-12-31,2013-05-08
053,2001-01-11,2001-05-10,Total Norge AS,4.66700,NULL,9999-12-31,9999-12-31,21220,848,9999-12-31,2013-05-08
053,2001-01-11,2001-05-10,Norsk Hydro Produksjon AS,19.60000,NULL,1982-04-01,2007-01-01,21220,430,9999-12-31,2013-05-08
053,2001-01-11,2001-05-10,TotalFinaElf Exploration Norge AS,9.33300,NULL,9999-12-31,9999-12-31,21220,1340884,9999-12-31,2013-05-08
053,2000-07-24,2001-01-11,Den norske stats oljeselskap a.s,59.40000,45.40000,9999-12-31,9999-12-31,21220,749,9999-12-31,2013-05-08
053,2000-07-24,2001-01-11,Mobil Development Norway AS,7.00000,NULL,9999-12-31,9999-12-31,21220,474,9999-12-31,2013-05-08
053,2000-07-24,2001-01-11,Saga Petroleum ASA,7.35000,NULL,9999-12-31,9999-12-31,21220,716,9999-12-31,2013-05-08
053,2000-07-24,2001-01-11,Total Norge AS,4.66700,NULL,9999-12-31,9999-12-31,21220,848,9999-12-31,2013-05-08
053,2000-07-24,2001-01-11,Norsk Hydro Produksjon AS,12.25000,NULL,1982-04-01,2007-01-01,21220,430,9999-12-31,2013-05-08
053,2000-07-24,2001-01-11,TotalFinaElf Exploration Norge AS,9.33300,NULL,9999-12-31,9999-12-31,21220,1340884,9999-12-31,2013-05-08
053,1988-04-01,2000-07-24,Den norske stats oljeselskap a.s,59.40000,45.40000,9999-12-31,9999-12-31,21220,749,9999-12-31,2013-05-08
053,1988-04-01,2000-07-24,Norsk Hydro Produksjon AS,12.25000,NULL,1982-04-01,2007-01-01,21220,430,9999-12-31,2013-05-08
053,1988-04-01,2000-07-24,Mobil Development Norway AS,7.00000,NULL,9999-12-31,9999-12-31,21220,474,9999-12-31,2013-05-08
053,1988-04-01,2000-07-24,Saga Petroleum ASA,7.35000,NULL,9999-12-31,9999-12-31,21220,716,9999-12-31,2013-05-08
053,1988-04-01,2000-07-24,Total Norge AS,4.66700,NULL,9999-12-31,9999-12-31,21220,848,9999-12-31,2013-05-08
053,1988-04-01,2000-07-24,Elf Petroleum Norge AS,9.33300,NULL,9999-12-31,9999-12-31,21220,298,9999-12-31,2013-05-08
053,1985-01-01,1988-04-01,Elf Aquitaine Norge A/S,10.66700,NULL,9999-12-31,9999-12-31,21220,331,9999-12-31,2013-05-08
053,1985-01-01,1988-04-01,Norsk Hydro Produksjon AS,12.25000,NULL,1982-04-01,2007-01-01,21220,430,9999-12-31,2013-05-08
053,1985-01-01,1988-04-01,Mobil Development Norway AS,8.00000,NULL,9999-12-31,9999-12-31,21220,474,9999-12-31,2013-05-08
053,1985-01-01,1988-04-01,Saga Petroleum ASA,7.35000,NULL,9999-12-31,9999-12-31,21220,716,9999-12-31,2013-05-08
053,1985-01-01,1988-04-01,Den norske stats oljeselskap a.s,56.40000,42.40000,9999-12-31,9999-12-31,21220,749,9999-12-31,2013-05-08
053,1985-01-01,1988-04-01,Total Norge AS,5.33300,NULL,9999-12-31,9999-12-31,21220,848,9999-12-31,2013-05-08
053,1983-06-01,1985-01-01,Elf Aquitaine Norge A/S,10.66700,NULL,9999-12-31,9999-12-31,21220,331,9999-12-31,2013-05-08
053,1983-06-01,1985-01-01,Norsk Hydro Produksjon AS,12.25000,NULL,1982-04-01,2007-01-01,21220,430,9999-12-31,2013-05-08
053,1983-06-01,1985-01-01,Mobil Development Norway AS,8.00000,NULL,9999-12-31,9999-12-31,21220,474,9999-12-31,2013-05-08
053,1983-06-01,1985-01-01,Saga Petroleum ASA,7.35000,NULL,9999-12-31,9999-12-31,21220,716,9999-12-31,2013-05-08
053,1983-06-01,1985-01-01,Den norske stats oljeselskap a.s,56.40000,NULL,9999-12-31,9999-12-31,21220,749,9999-12-31,2013-05-08
053,1983-06-01,1985-01-01,Total Norge AS,5.33300,NULL,9999-12-31,9999-12-31,21220,848,9999-12-31,2013-05-08
053,1979-04-06,1983-06-01,Total Norge AS,6.67000,NULL,9999-12-31,9999-12-31,21220,848,9999-12-31,2013-05-08
053,1979-04-06,1983-06-01,Den norske stats oljeselskap a.s,50.00000,NULL,1979-04-06,1982-04-01,21220,749,9999-12-31,2013-05-08
053,1979-04-06,1983-06-01,Saga Petroleum ASA,7.50000,NULL,9999-12-31,9999-12-31,21220,716,9999-12-31,2013-05-08
053,1979-04-06,1983-06-01,Mobil Development Norway AS,10.00000,NULL,9999-12-31,9999-12-31,21220,474,9999-12-31,2013-05-08
053,1979-04-06,1983-06-01,Norsk Hydro Produksjon AS,12.50000,NULL,1982-04-01,2007-01-01,21220,430,9999-12-31,2013-05-08
053,1979-04-06,1983-06-01,Elf Aquitaine Norge A/S,13.33000,NULL,9999-12-31,9999-12-31,21220,331,9999-12-31,2013-05-08
053 B,2011-01-01,9999-12-31,Faroe Petroleum Norge AS,25.40000,NULL,9999-12-31,9999-12-31,48207,4062883,9999-12-31,2013-05-08
053 B,2011-01-01,9999-12-31,Statoil Petroleum AS,34.00000,NULL,2009-11-02,9999-12-31,48207,17237817,9999-12-31,2013-05-08
053 B,2011-01-01,9999-12-31,VNG Norge AS,20.60000,NULL,9999-12-31,9999-12-31,48207,17237193,9999-12-31,2013-05-08
053 B,2011-01-01,9999-12-31,Talisman Energy Norge AS,20.00000,NULL,9999-12-31,9999-12-31,48207,2425093,9999-12-31,2013-05-08
053 B,2009-11-02,2011-01-01,Statoil Petroleum AS,34.00000,NULL,2009-11-02,9999-12-31,48207,17237817,9999-12-31,2013-05-08
053 B,2009-11-02,2011-01-01,VNG Norge AS,20.60000,NULL,9999-12-31,9999-12-31,48207,17237193,9999-12-31,2013-05-08
053 B,2009-11-02,2011-01-01,Talisman Energy Norge AS,20.00000,NULL,9999-12-31,9999-12-31,48207,2425093,9999-12-31,2013-05-08
053 B,2009-11-02,2011-01-01,Petoro AS,25.40000,NULL,9999-12-31,9999-12-31,48207,1626839,9999-12-31,2013-05-08
053 B,2009-10-01,2009-11-02,VNG Norge AS,20.60000,NULL,9999-12-31,9999-12-31,48207,17237193,9999-12-31,2013-05-08
053 B,2009-10-01,2009-11-02,StatoilHydro Petroleum AS,34.00000,NULL,2007-10-01,2009-11-01,48207,4511658,9999-12-31,2013-05-08
053 B,2009-10-01,2009-11-02,Talisman Energy Norge AS,20.00000,NULL,9999-12-31,9999-12-31,48207,2425093,9999-12-31,2013-05-08
053 B,2009-10-01,2009-11-02,Petoro AS,25.40000,NULL,9999-12-31,9999-12-31,48207,1626839,9999-12-31,2013-05-08
053 B,2009-05-26,2009-10-01,VNG Norge (Operations) AS,20.60000,NULL,9999-12-31,9999-12-31,48207,5497155,9999-12-31,2013-05-08
053 B,2009-05-26,2009-10-01,StatoilHydro Petroleum AS,34.00000,NULL,2007-10-01,2009-11-01,48207,4511658,9999-12-31,2013-05-08
053 B,2009-05-26,2009-10-01,Talisman Energy Norge AS,20.00000,NULL,9999-12-31,9999-12-31,48207,2425093,9999-12-31,2013-05-08
053 B,2009-05-26,2009-10-01,Petoro AS,25.40000,NULL,9999-12-31,9999-12-31,48207,1626839,9999-12-31,2013-05-08
053 B,2009-01-01,2009-05-26,StatoilHydro Petroleum AS,34.00000,NULL,2007-10-01,2009-11-01,48207,4511658,9999-12-31,2013-05-08
053 B,2009-01-01,2009-05-26,Talisman Energy Norge AS,20.00000,NULL,9999-12-31,9999-12-31,48207,2425093,9999-12-31,2013-05-08
053 B,2009-01-01,2009-05-26,Petoro AS,25.40000,NULL,9999-12-31,9999-12-31,48207,1626839,9999-12-31,2013-05-08
053 B,2009-01-01,2009-05-26,Endeavour Energy Norge AS,20.60000,NULL,9999-12-31,9999-12-31,48207,3113213,9999-12-31,2013-05-08
053 B,2007-10-02,2009-01-01,StatoilHydro Petroleum AS,20.00000,NULL,2007-10-01,2009-11-01,48207,4511658,9999-12-31,2013-05-08
053 B,2007-10-02,2009-01-01,StatoilHydro ASA,14.00000,NULL,9999-12-31,9999-12-31,48207,4511854,9999-12-31,2013-05-08
053 B,2007-10-02,2009-01-01,Talisman Energy Norge AS,20.00000,NULL,9999-12-31,9999-12-31,48207,2425093,9999-12-31,2013-05-08
053 B,2007-10-02,2009-01-01,Endeavour Energy Norge AS,20.60000,NULL,9999-12-31,9999-12-31,48207,3113213,9999-12-31,2013-05-08
053 B,2007-10-02,2009-01-01,Petoro AS,25.40000,NULL,9999-12-31,9999-12-31,48207,1626839,9999-12-31,2013-05-08
053 B,2007-10-01,2007-10-02,StatoilHydro Petroleum AS,20.00000,NULL,2007-10-01,2009-11-01,48207,4511658,9999-12-31,2013-05-08
053 B,2007-10-01,2007-10-02,StatoilHydro ASA,12.70000,NULL,9999-12-31,9999-12-31,48207,4511854,9999-12-31,2013-05-08
053 B,2007-10-01,2007-10-02,Talisman Energy Norge AS,20.00000,NULL,9999-12-31,9999-12-31,48207,2425093,9999-12-31,2013-05-08
053 B,2007-10-01,2007-10-02,Endeavour Energy Norge AS,20.60000,NULL,9999-12-31,9999-12-31,48207,3113213,9999-12-31,2013-05-08
053 B,2007-10-01,2007-10-02,Petoro AS,25.40000,NULL,9999-12-31,9999-12-31,48207,1626839,9999-12-31,2013-05-08
053 B,2007-10-01,2007-10-02,Statoil ASA (old),1.30000,NULL,9999-12-31,9999-12-31,48207,1622484,9999-12-31,2013-05-08
053 B,2007-01-01,2007-10-01,Norsk Hydro Petroleum AS,20.00000,NULL,2007-01-01,2007-10-01,48207,4524355,9999-12-31,2013-05-08
053 B,2007-01-01,2007-10-01,Talisman Energy Norge AS,20.00000,NULL,9999-12-31,9999-12-31,48207,2425093,9999-12-31,2013-05-08
053 B,2007-01-01,2007-10-01,Endeavour Energy Norge AS,20.60000,NULL,9999-12-31,9999-12-31,48207,3113213,9999-12-31,2013-05-08
053 B,2007-01-01,2007-10-01,Petoro AS,25.40000,NULL,9999-12-31,9999-12-31,48207,1626839,9999-12-31,2013-05-08
053 B,2007-01-01,2007-10-01,Statoil ASA (old),14.00000,NULL,9999-12-31,9999-12-31,48207,1622484,9999-12-31,2013-05-08
053 B,2006-03-23,2007-01-01,Talisman Energy Norge AS,20.00000,NULL,9999-12-31,9999-12-31,48207,2425093,9999-12-31,2013-05-08
053 B,2006-03-23,2007-01-01,Endeavour Energy Norge AS,20.60000,NULL,9999-12-31,9999-12-31,48207,3113213,9999-12-31,2013-05-08
053 B,2006-03-23,2007-01-01,Petoro AS,25.40000,NULL,9999-12-31,9999-12-31,48207,1626839,9999-12-31,2013-05-08
053 B,2006-03-23,2007-01-01,Statoil ASA (old),14.00000,NULL,9999-12-31,9999-12-31,48207,1622484,9999-12-31,2013-05-08
053 B,2006-03-23,2007-01-01,Norsk Hydro Produksjon AS,20.00000,NULL,1998-09-14,2007-01-01,48207,430,9999-12-31,2013-05-08
053 B,2006-03-22,2006-03-23,Talisman Resources Norge AS,20.00000,NULL,9999-12-31,9999-12-31,48207,3987574,9999-12-31,2013-05-08
053 B,2006-03-22,2006-03-23,Endeavour Energy Norge AS,20.60000,NULL,9999-12-31,9999-12-31,48207,3113213,9999-12-31,2013-05-08
053 B,2006-03-22,2006-03-23,Petoro AS,25.40000,NULL,9999-12-31,9999-12-31,48207,1626839,9999-12-31,2013-05-08
053 B,2006-03-22,2006-03-23,Statoil ASA (old),14.00000,NULL,9999-12-31,9999-12-31,48207,1622484,9999-12-31,2013-05-08
053 B,2006-03-22,2006-03-23,Norsk Hydro Produksjon AS,20.00000,NULL,1998-09-14,2007-01-01,48207,430,9999-12-31,2013-05-08
053 B,2005-01-01,2006-03-22,Endeavour Energy Norge AS,20.60000,NULL,9999-12-31,9999-12-31,48207,3113213,9999-12-31,2013-05-08
053 B,2005-01-01,2006-03-22,Paladin Resources Norge AS,20.00000,NULL,9999-12-31,9999-12-31,48207,1577943,9999-12-31,2013-05-08
053 B,2005-01-01,2006-03-22,Petoro AS,25.40000,NULL,9999-12-31,9999-12-31,48207,1626839,9999-12-31,2013-05-08
053 B,2005-01-01,2006-03-22,Statoil ASA (old),14.00000,NULL,9999-12-31,9999-12-31,48207,1622484,9999-12-31,2013-05-08
053 B,2005-01-01,2006-03-22,Norsk Hydro Produksjon AS,20.00000,NULL,1998-09-14,2007-01-01,48207,430,9999-12-31,2013-05-08
053 B,2002-03-19,2005-01-01,OER Oil AS,20.60000,NULL,9999-12-31,9999-12-31,48207,2258813,9999-12-31,2013-05-08
053 B,2002-03-19,2005-01-01,Norsk Hydro Produksjon AS,20.00000,NULL,1998-09-14,2007-01-01,48207,430,9999-12-31,2013-05-08
053 B,2002-03-19,2005-01-01,Statoil ASA (old),14.00000,NULL,9999-12-31,9999-12-31,48207,1622484,9999-12-31,2013-05-08
053 B,2002-03-19,2005-01-01,Petoro AS,25.40000,NULL,9999-12-31,9999-12-31,48207,1626839,9999-12-31,2013-05-08
053 B,2002-03-19,2005-01-01,Paladin Resources Norge AS,20.00000,NULL,9999-12-31,9999-12-31,48207,1577943,9999-12-31,2013-05-08
053 B,2002-01-01,2002-03-19,Norsk Hydro Produksjon AS,20.00000,NULL,1998-09-14,2007-01-01,48207,430,9999-12-31,2013-05-08
053 B,2002-01-01,2002-03-19,Statoil ASA (old),14.00000,NULL,9999-12-31,9999-12-31,48207,1622484,9999-12-31,2013-05-08
053 B,2002-01-01,2002-03-19,Petoro AS,45.40000,NULL,9999-12-31,9999-12-31,48207,1626839,9999-12-31,2013-05-08
053 B,2002-01-01,2002-03-19,OER Oil AS,20.60000,NULL,9999-12-31,9999-12-31,48207,2258813,9999-12-31,2013-05-08
053 B,2001-06-17,2002-01-01,Norsk Hydro Produksjon AS,40.60000,NULL,1998-09-14,2007-01-01,48207,430,9999-12-31,2013-05-08
053 B,2001-06-17,2002-01-01,Statoil ASA (old),14.00000,NULL,9999-12-31,9999-12-31,48207,1622484,9999-12-31,2013-05-08
053 B,2001-06-17,2002-01-01,Petoro AS,45.40000,NULL,9999-12-31,9999-12-31,48207,1626839,9999-12-31,2013-05-08
053 B,2001-05-10,2001-06-17,Norsk Hydro Produksjon AS,40.60000,NULL,1998-09-14,2007-01-01,48207,430,9999-12-31,2013-05-08
053 B,2001-05-10,2001-06-17,Statoil ASA (old),14.00000,NULL,9999-12-31,9999-12-31,48207,1622484,9999-12-31,2013-05-08
053 B,2001-05-10,2001-06-17,SDØE,45.40000,NULL,9999-12-31,9999-12-31,48207,1623450,9999-12-31,2013-05-08
053 B,1999-01-01,2001-05-10,Norsk Hydro Produksjon AS,40.60000,NULL,1998-09-14,2007-01-01,48207,430,9999-12-31,2013-05-08
053 B,1999-01-01,2001-05-10,Den norske stats oljeselskap a.s,59.40000,45.40000,9999-12-31,9999-12-31,48207,749,9999-12-31,2013-05-08
053 B,1998-09-14,1999-01-01,Den norske stats oljeselskap a.s,59.40000,45.40000,9999-12-31,9999-12-31,48207,749,9999-12-31,2013-05-08
053 B,1998-09-14,1999-01-01,Norsk Hydro Produksjon AS,12.25000,NULL,1998-09-14,2007-01-01,48207,430,9999-12-31,2013-05-08
053 B,1998-09-14,1999-01-01,Elf Petroleum Norge AS,9.33300,NULL,9999-12-31,9999-12-31,48207,298,9999-12-31,2013-05-08
053 B,1998-09-14,1999-01-01,Mobil Development Norway AS,7.00000,NULL,9999-12-31,9999-12-31,48207,474,9999-12-31,2013-05-08
053 B,1998-09-14,1999-01-01,Saga Petroleum ASA,7.35000,NULL,9999-12-31,9999-12-31,48207,716,9999-12-31,2013-05-08
053 B,1998-09-14,1999-01-01,Total Norge AS,4.66700,NULL,9999-12-31,9999-12-31,48207,848,9999-12-31,2013-05-08
054,2009-11-02,9999-12-31,Statoil Petroleum AS,24.41802,NULL,2009-11-02,9999-12-31,21228,17237817,9999-12-31,2013-05-08
054,2009-11-02,9999-12-31,ConocoPhillips Skandinavia AS,5.19102,NULL,9999-12-31,9999-12-31,21228,2410696,9999-12-31,2013-05-08
054,2009-11-02,9999-12-31,Total E&P Norge AS,3.69096,NULL,9999-12-31,9999-12-31,21228,2410708,9999-12-31,2013-05-08
054,2009-11-02,9999-12-31,A/S Norske Shell,25.90000,NULL,9999-12-31,9999-12-31,21228,562,9999-12-31,2013-05-08
054,2009-11-02,9999-12-31,Petoro AS,40.80000,NULL,9999-12-31,9999-12-31,21228,1626839,9999-12-31,2013-05-08
054,2009-01-01,2009-11-02,StatoilHydro Petroleum AS,24.41802,NULL,2009-01-01,2009-11-01,21228,4511658,9999-12-31,2013-05-08
