ptlName,cmpLongName,ptlLicenseeInterest,prlNpdidLicence,cmpNpdidCompany,ptlLicenseeDateUpdated,dateSyncNPD
037 C,Wintershall Norge AS,100.00000,853671,21666830,9999-12-31,2013-05-08
037 D,Wintershall Norge AS,100.00000,2787322,21666830,9999-12-31,2013-05-08
037 E,Petoro AS,30.00000,3000656,1626839,9999-12-31,2013-05-08
037 E,Statoil Petroleum AS,70.00000,3000656,17237817,9999-12-31,2013-05-08
037 F,Petoro AS,30.00000,22813049,1626839,9999-12-31,2013-05-08
037 F,ExxonMobil Exploration & Production Norway AS,25.00000,22813049,2835212,9999-12-31,2013-05-08
037 F,Centrica Resources (Norge) AS,23.12500,22813049,4238233,9999-12-31,2013-05-08
037 F,Statoil Petroleum AS,21.87500,22813049,17237817,9999-12-31,2013-05-08
038,Talisman Energy Norge AS,65.00000,21092,2425093,9999-12-31,2013-05-08
038,Petoro AS,30.00000,21092,1626839,9999-12-31,2013-05-08
038,Det norske oljeselskap ASA,5.00000,21092,17342870,9999-12-31,2013-05-08
038 C,Petoro AS,30.00000,4005057,1626839,9999-12-31,2013-05-08
038 C,Talisman Energy Norge AS,70.00000,4005057,2425093,9999-12-31,2013-05-08
038 D,Petoro AS,30.00000,5500999,1626839,9999-12-31,2013-05-08
038 D,Talisman Energy Norge AS,40.00000,5500999,2425093,9999-12-31,2013-05-08
038 D,Det norske oljeselskap ASA,30.00000,5500999,17342870,9999-12-31,2013-05-08
040,Total E&P Norge AS,51.00000,21108,2410708,9999-12-31,2013-05-08
040,Statoil Petroleum AS,19.00000,21108,17237817,9999-12-31,2013-05-08
040,Petoro AS,30.00000,21108,1626839,9999-12-31,2013-05-08
043,Petoro AS,30.00000,21132,1626839,9999-12-31,2013-05-08
043,Total E&P Norge AS,51.00000,21132,2410708,9999-12-31,2013-05-08
043,Statoil Petroleum AS,19.00000,21132,17237817,9999-12-31,2013-05-08
043 BS,Petoro AS,30.00000,3811810,1626839,9999-12-31,2013-05-08
043 BS,Statoil Petroleum AS,19.00000,3811810,17237817,9999-12-31,2013-05-08
043 BS,Total E&P Norge AS,51.00000,3811810,2410708,9999-12-31,2013-05-08
043 CS,Total E&P Norge AS,100.00000,18116800,2410708,9999-12-31,2013-05-08
043 DS,Total E&P Norge AS,100.00000,18116829,2410708,9999-12-31,2013-05-08
044,Eni Norge AS,13.12000,21140,2388594,9999-12-31,2013-05-08
044,Statoil Petroleum AS,30.00000,21140,17237817,9999-12-31,2013-05-08
044,Total E&P Norge AS,15.00000,21140,2410708,9999-12-31,2013-05-08
044,ConocoPhillips Skandinavia AS,41.88000,21140,2410696,9999-12-31,2013-05-08
046,Statoil Petroleum AS,62.00000,21156,17237817,9999-12-31,2013-05-08
046,ExxonMobil Exploration & Production Norway AS,28.00000,21156,2835212,9999-12-31,2013-05-08
046,Total E&P Norge AS,10.00000,21156,2410708,9999-12-31,2013-05-08
046 B,Total E&P Norge AS,10.00000,4227611,2410708,9999-12-31,2013-05-08
046 B,Statoil Petroleum AS,62.00000,4227611,17237817,9999-12-31,2013-05-08
046 B,ExxonMobil Exploration & Production Norway AS,28.00000,4227611,2835212,9999-12-31,2013-05-08
046 BS,Bayerngas Norge AS,10.00000,4227659,4444493,9999-12-31,2013-05-08
046 BS,Statoil Petroleum AS,59.60000,4227659,17237817,9999-12-31,2013-05-08
046 BS,ExxonMobil Exploration & Production Norway AS,30.40000,4227659,2835212,9999-12-31,2013-05-08
046 C,Total E&P Norge AS,10.00000,21350140,2410708,9999-12-31,2013-05-08
046 C,ExxonMobil Exploration & Production Norway AS,30.40000,21350140,2835212,9999-12-31,2013-05-08
046 C,Statoil Petroleum AS,59.60000,21350140,17237817,9999-12-31,2013-05-08
046 D,Total E&P Norge AS,10.00000,21559399,2410708,2013-02-05,2013-05-08
046 D,ExxonMobil Exploration & Production Norway AS,28.00000,21559399,2835212,2013-02-05,2013-05-08
046 D,Statoil Petroleum AS,62.00000,21559399,17237817,2013-02-05,2013-05-08
048 B,Det norske oljeselskap ASA,10.00000,1342723,17342870,9999-12-31,2013-05-08
048 B,Total E&P Norge AS,21.80000,1342723,2410708,9999-12-31,2013-05-08
048 B,Faroe Petroleum Norge AS,9.30000,1342723,4062883,9999-12-31,2013-05-08
048 B,Statoil Petroleum AS,58.90000,1342723,17237817,9999-12-31,2013-05-08
048 D,Faroe Petroleum Norge AS,9.30000,3489553,4062883,9999-12-31,2013-05-08
048 D,Det norske oljeselskap ASA,10.00000,3489553,17342870,9999-12-31,2013-05-08
048 D,Noreco Norway AS,21.80000,3489553,22223020,9999-12-31,2013-05-08
048 D,Statoil Petroleum AS,58.90000,3489553,17237817,9999-12-31,2013-05-08
048 E,Total E&P Norge AS,21.80000,18450020,2410708,9999-12-31,2013-05-08
048 E,Statoil Petroleum AS,78.20000,18450020,17237817,9999-12-31,2013-05-08
050,Petoro AS,30.00000,21188,1626839,9999-12-31,2013-05-08
050,Statoil Petroleum AS,70.00000,21188,17237817,9999-12-31,2013-05-08
050 B,Statoil Petroleum AS,70.00000,21196,17237817,9999-12-31,2013-05-08
050 B,Petoro AS,30.00000,21196,1626839,9999-12-31,2013-05-08
050 C,Petoro AS,30.00000,102490,1626839,9999-12-31,2013-05-08
050 C,Statoil Petroleum AS,70.00000,102490,17237817,9999-12-31,2013-05-08
050 D,Petoro AS,30.00000,4237912,1626839,9999-12-31,2013-05-08
050 D,Statoil Petroleum AS,70.00000,4237912,17237817,9999-12-31,2013-05-08
050 DS,Statoil Petroleum AS,70.00000,4380141,17237817,9999-12-31,2013-05-08
050 DS,Petoro AS,30.00000,4380141,1626839,9999-12-31,2013-05-08
050 ES,Petoro AS,30.00000,21668200,1626839,9999-12-31,2013-05-08
050 ES,Statoil Petroleum AS,57.00000,21668200,17237817,9999-12-31,2013-05-08
050 ES,Centrica Resources (Norge) AS,13.00000,21668200,4238233,9999-12-31,2013-05-08
050 FS,Petoro AS,30.00000,21668235,1626839,9999-12-31,2013-05-08
050 FS,Statoil Petroleum AS,57.00000,21668235,17237817,9999-12-31,2013-05-08
050 FS,Centrica Resources (Norge) AS,13.00000,21668235,4238233,9999-12-31,2013-05-08
050 GS,Petoro AS,30.00000,21668262,1626839,9999-12-31,2013-05-08
050 GS,Statoil Petroleum AS,57.00000,21668262,17237817,9999-12-31,2013-05-08
050 GS,Centrica Resources (Norge) AS,13.00000,21668262,4238233,9999-12-31,2013-05-08
050 HS,Centrica Resources (Norge) AS,13.00000,21668287,4238233,9999-12-31,2013-05-08
050 HS,Petoro AS,30.00000,21668287,1626839,9999-12-31,2013-05-08
050 HS,Statoil Petroleum AS,57.00000,21668287,17237817,9999-12-31,2013-05-08
051,Petoro AS,31.40000,21204,1626839,9999-12-31,2013-05-08
051,Total E&P Norge AS,24.50000,21204,2410708,9999-12-31,2013-05-08
051,ConocoPhillips Skandinavia AS,24.50000,21204,2410696,9999-12-31,2013-05-08
051,Statoil Petroleum AS,19.60000,21204,17237817,9999-12-31,2013-05-08
052,Wintershall Norge AS,4.50000,21212,21666830,9999-12-31,2013-05-08
052,Talisman Energy Norge AS,27.00000,21212,2425093,9999-12-31,2013-05-08
052,Statoil Petroleum AS,18.00000,21212,17237817,9999-12-31,2013-05-08
052,RWE Dea Norge AS,13.50000,21212,97557,9999-12-31,2013-05-08
052,Petoro AS,37.00000,21212,1626839,9999-12-31,2013-05-08
052 B,Total E&P Norge AS,18.00000,1840712,2410708,9999-12-31,2013-05-08
052 B,Statoil Petroleum AS,22.50000,1840712,17237817,9999-12-31,2013-05-08
052 B,RWE Dea Norge AS,13.50000,1840712,97557,9999-12-31,2013-05-08
052 B,Petoro AS,37.00000,1840712,1626839,9999-12-31,2013-05-08
052 B,Talisman Energy Norge AS,9.00000,1840712,2425093,9999-12-31,2013-05-08
053,Petoro AS,33.60000,21220,1626839,9999-12-31,2013-05-08
053,Total E&P Norge AS,14.70000,21220,2410708,9999-12-31,2013-05-08
053,Statoil Petroleum AS,49.30000,21220,17237817,9999-12-31,2013-05-08
053,ConocoPhillips Skandinavia AS,2.40000,21220,2410696,9999-12-31,2013-05-08
053 B,VNG Norge AS,20.60000,48207,17237193,9999-12-31,2013-05-08
053 B,Faroe Petroleum Norge AS,25.40000,48207,4062883,9999-12-31,2013-05-08
053 B,Talisman Energy Norge AS,20.00000,48207,2425093,9999-12-31,2013-05-08
053 B,Statoil Petroleum AS,34.00000,48207,17237817,9999-12-31,2013-05-08
054,Petoro AS,40.80000,21228,1626839,9999-12-31,2013-05-08
054,Total E&P Norge AS,3.69096,21228,2410708,9999-12-31,2013-05-08
054,ConocoPhillips Skandinavia AS,5.19102,21228,2410696,9999-12-31,2013-05-08
054,Statoil Petroleum AS,24.41802,21228,17237817,9999-12-31,2013-05-08
054,A/S Norske Shell,25.90000,21228,562,9999-12-31,2013-05-08
055,Statoil Petroleum AS,32.60000,21236,17237817,2013-02-21,2013-05-08
055,Core Energy AS,13.20000,21236,20460080,9999-12-31,2013-05-08
055,Talisman Energy Norge AS,34.90800,21236,2425093,9999-12-31,2013-05-08
055,Faroe Petroleum Norge AS,13.40000,21236,4062883,9999-12-31,2013-05-08
055,VNG Norge AS,3.20000,21236,17237193,9999-12-31,2013-05-08
055,Tullow Oil Norge AS,2.69200,21236,23173852,2013-02-20,2013-05-08
055 B,Tullow Oil Norge AS,2.50000,102499,23173852,2013-02-20,2013-05-08
055 B,VNG Norge AS,3.20000,102499,17237193,9999-12-31,2013-05-08
055 B,Faroe Petroleum Norge AS,13.40000,102499,4062883,9999-12-31,2013-05-08
055 B,Core Energy AS,13.20000,102499,20460080,9999-12-31,2013-05-08
055 B,Talisman Energy Norge AS,35.10000,102499,2425093,9999-12-31,2013-05-08
055 B,Statoil Petroleum AS,32.60000,102499,17237817,9999-12-31,2013-05-08
055 C,Petoro AS,33.60000,2424830,1626839,9999-12-31,2013-05-08
055 C,Statoil Petroleum AS,49.30000,2424830,17237817,9999-12-31,2013-05-08
055 C,Total E&P Norge AS,10.00000,2424830,2410708,9999-12-31,2013-05-08
055 C,ExxonMobil Exploration & Production Norway AS,4.70000,2424830,2835212,9999-12-31,2013-05-08
055 C,Norske ConocoPhillips AS,2.40000,2424830,2399056,9999-12-31,2013-05-08
055 D,Tullow Oil Norge AS,2.69200,22813096,23173852,9999-12-31,2013-05-08
055 D,VNG Norge AS,3.20000,22813096,17237193,9999-12-31,2013-05-08
055 D,Core Energy AS,13.20000,22813096,20460080,9999-12-31,2013-05-08
055 D,Faroe Petroleum Norge AS,13.40000,22813096,4062883,9999-12-31,2013-05-08
055 D,Talisman Energy Norge AS,34.90800,22813096,2425093,9999-12-31,2013-05-08
055 D,Statoil Petroleum AS,32.60000,22813096,17237817,9999-12-31,2013-05-08
057,Petoro AS,30.00000,21252,1626839,9999-12-31,2013-05-08
057,Statoil Petroleum AS,31.00000,21252,17237817,9999-12-31,2013-05-08
057,Idemitsu Petroleum Norge AS,9.60000,21252,441,9999-12-31,2013-05-08
057,RWE Dea Norge AS,24.50000,21252,97557,9999-12-31,2013-05-08
057,Core Energy AS,4.90000,21252,20460080,9999-12-31,2013-05-08
062,Total E&P Norge AS,24.50000,21292,2410708,9999-12-31,2013-05-08
062,Eni Norge AS,9.80000,21292,2388594,9999-12-31,2013-05-08
062,Statoil Petroleum AS,45.75000,21292,17237817,9999-12-31,2013-05-08
062,Petoro AS,19.95000,21292,1626839,9999-12-31,2013-05-08
064,Petoro AS,30.00000,21308,1626839,9999-12-31,2013-05-08
064,GDF SUEZ E&P Norge AS,15.48000,21308,5267845,9999-12-31,2013-05-08
064,Total E&P Norge AS,5.00000,21308,2410708,9999-12-31,2013-05-08
064,Statoil Petroleum AS,49.52000,21308,17237817,9999-12-31,2013-05-08
065,BP Norge AS,55.00000,21316,2052695,9999-12-31,2013-05-08
065,DONG E&P Norge AS,45.00000,21316,4070011,9999-12-31,2013-05-08
072,Statoil Petroleum AS,60.00000,21372,17237817,9999-12-31,2013-05-08
072,ExxonMobil Exploration & Production Norway AS,40.00000,21372,2835212,9999-12-31,2013-05-08
072 B,Statoil Petroleum AS,50.00000,1630345,17237817,9999-12-31,2013-05-08
072 B,ExxonMobil Exploration & Production Norway AS,50.00000,1630345,2835212,9999-12-31,2013-05-08
072 C,ExxonMobil Exploration & Production Norway AS,30.40000,21350207,2835212,9999-12-31,2013-05-08
072 C,Statoil Petroleum AS,59.60000,21350207,17237817,9999-12-31,2013-05-08
072 C,Total E&P Norge AS,10.00000,21350207,2410708,9999-12-31,2013-05-08
073,Total E&P Norge AS,29.14300,21380,2410708,9999-12-31,2013-05-08
073,Statoil Petroleum AS,58.76700,21380,17237817,9999-12-31,2013-05-08
073,Eni Norge AS,5.80000,21380,2388594,9999-12-31,2013-05-08
073,ExxonMobil Exploration & Production Norway AS,6.29000,21380,2835212,9999-12-31,2013-05-08
073 B,ExxonMobil Exploration & Production Norway AS,6.60000,2987414,2835212,9999-12-31,2013-05-08
073 B,Eni Norge AS,7.90000,2987414,2388594,9999-12-31,2013-05-08
073 B,Total E&P Norge AS,26.66640,2987414,2410708,9999-12-31,2013-05-08
073 B,Statoil Petroleum AS,58.83360,2987414,17237817,9999-12-31,2013-05-08
074,Eni Norge AS,29.40000,21388,2388594,9999-12-31,2013-05-08
074,ExxonMobil Exploration & Production Norway AS,9.80000,21388,2835212,9999-12-31,2013-05-08
074,Statoil Petroleum AS,40.85000,21388,17237817,9999-12-31,2013-05-08
074,Petoro AS,19.95000,21388,1626839,9999-12-31,2013-05-08
074 B,Petoro AS,19.95000,4918544,1626839,9999-12-31,2013-05-08
074 B,ExxonMobil Exploration & Production Norway AS,9.80000,4918544,2835212,9999-12-31,2013-05-08
074 B,Eni Norge AS,29.40000,4918544,2388594,9999-12-31,2013-05-08
074 B,Statoil Petroleum AS,40.85000,4918544,17237817,9999-12-31,2013-05-08
077,Petoro AS,30.00000,21412,1626839,9999-12-31,2013-05-08
077,GDF SUEZ E&P Norge AS,12.00000,21412,5267845,9999-12-31,2013-05-08
077,Total E&P Norge AS,10.00000,21412,2410708,9999-12-31,2013-05-08
077,Statoil Petroleum AS,48.00000,21412,17237817,9999-12-31,2013-05-08
078,Total E&P Norge AS,25.00000,21420,2410708,9999-12-31,2013-05-08
078,Statoil Petroleum AS,33.00000,21420,17237817,9999-12-31,2013-05-08
078,GDF SUEZ E&P Norge AS,12.00000,21420,5267845,9999-12-31,2013-05-08
078,Petoro AS,30.00000,21420,1626839,9999-12-31,2013-05-08
079,Petoro AS,33.60000,34635,1626839,9999-12-31,2013-05-08
079,Statoil Petroleum AS,49.30000,34635,17237817,9999-12-31,2013-05-08
079,ConocoPhillips Skandinavia AS,2.40000,34635,2410696,9999-12-31,2013-05-08
079,Total E&P Norge AS,14.70000,34635,2410708,9999-12-31,2013-05-08
085,Total E&P Norge AS,3.69096,21476,2410708,9999-12-31,2013-05-08
085,Statoil Petroleum AS,33.39038,21476,17237817,9999-12-31,2013-05-08
085,Petoro AS,62.91866,21476,1626839,9999-12-31,2013-05-08
085 B,Petoro AS,62.91866,21484,1626839,9999-12-31,2013-05-08
085 B,Total E&P Norge AS,3.00000,21484,2410708,9999-12-31,2013-05-08
085 B,Statoil Petroleum AS,34.08134,21484,17237817,9999-12-31,2013-05-08
085 C,Total E&P Norge AS,3.69096,2051285,2410708,9999-12-31,2013-05-08
085 C,Petoro AS,56.00000,2051285,1626839,9999-12-31,2013-05-08
085 C,Norske ConocoPhillips AS,1.62374,2051285,2399056,9999-12-31,2013-05-08
085 C,Statoil Petroleum AS,30.58385,2051285,17237817,9999-12-31,2013-05-08
085 C,A/S Norske Shell,8.10145,2051285,562,9999-12-31,2013-05-08
088,Lundin Norway AS,50.00000,21508,2767314,9999-12-31,2013-05-08
088,Centrica Resources (Norge) AS,50.00000,21508,4238233,9999-12-31,2013-05-08
088 BS,Lundin Norway AS,15.00000,2787418,2767314,9999-12-31,2013-05-08
088 BS,Marathon Oil Norge AS,65.00000,2787418,20485291,9999-12-31,2013-05-08
088 BS,ConocoPhillips Skandinavia AS,20.00000,2787418,2410696,9999-12-31,2013-05-08
089,Statoil Petroleum AS,41.50000,21516,17237817,9999-12-31,2013-05-08
089,Idemitsu Petroleum Norge AS,9.60000,21516,441,9999-12-31,2013-05-08
089,ExxonMobil Exploration & Production Norway AS,16.10000,21516,2835212,9999-12-31,2013-05-08
089,RWE Dea Norge AS,2.80000,21516,97557,9999-12-31,2013-05-08
089,Petoro AS,30.00000,21516,1626839,9999-12-31,2013-05-08
090,GDF SUEZ E&P Norge AS,15.00000,21524,5267845,9999-12-31,2013-05-08
090,Statoil Petroleum AS,45.00000,21524,17237817,9999-12-31,2013-05-08
090,ExxonMobil Exploration & Production Norway AS,25.00000,21524,2835212,9999-12-31,2013-05-08
090,Idemitsu Petroleum Norge AS,15.00000,21524,441,9999-12-31,2013-05-08
090 B,Idemitsu Petroleum Norge AS,15.00000,3426781,441,9999-12-31,2013-05-08
090 B,GDF SUEZ E&P Norge AS,15.00000,3426781,5267845,9999-12-31,2013-05-08
090 B,Wintershall Norge AS,25.00000,3426781,21666830,9999-12-31,2013-05-08
090 B,Statoil Petroleum AS,45.00000,3426781,17237817,9999-12-31,2013-05-08
090 C,Idemitsu Petroleum Norge AS,15.00000,3426824,441,9999-12-31,2013-05-08
090 C,GDF SUEZ E&P Norge AS,15.00000,3426824,5267845,9999-12-31,2013-05-08
090 C,Bayerngas Norge AS,25.00000,3426824,4444493,9999-12-31,2013-05-08
090 C,Statoil Petroleum AS,45.00000,3426824,17237817,9999-12-31,2013-05-08
090 E,Idemitsu Petroleum Norge AS,15.00000,17642079,441,9999-12-31,2013-05-08
090 E,GDF SUEZ E&P Norge AS,15.00000,17642079,5267845,9999-12-31,2013-05-08
090 E,ExxonMobil Exploration & Production Norway AS,25.00000,17642079,2835212,9999-12-31,2013-05-08
090 E,Statoil Petroleum AS,45.00000,17642079,17237817,9999-12-31,2013-05-08
090 F,GDF SUEZ E&P Norge AS,15.00000,23268186,5267845,9999-12-31,2013-05-08
090 F,Idemitsu Petroleum Norge AS,15.00000,23268186,441,9999-12-31,2013-05-08
090 F,ExxonMobil Exploration & Production Norway AS,25.00000,23268186,2835212,9999-12-31,2013-05-08
090 F,Statoil Petroleum AS,45.00000,23268186,17237817,9999-12-31,2013-05-08
090 G,GDF SUEZ E&P Norge AS,15.00000,23268222,5267845,9999-12-31,2013-05-08
090 G,Idemitsu Petroleum Norge AS,15.00000,23268222,441,9999-12-31,2013-05-08
090 G,ExxonMobil Exploration & Production Norway AS,25.00000,23268222,2835212,9999-12-31,2013-05-08
090 G,Statoil Petroleum AS,45.00000,23268222,17237817,9999-12-31,2013-05-08
090 HS,GDF SUEZ E&P Norge AS,15.00000,23297006,5267845,9999-12-31,2013-05-08
090 HS,Idemitsu Petroleum Norge AS,15.00000,23297006,441,9999-12-31,2013-05-08
090 HS,Bayerngas Norge AS,25.00000,23297006,4444493,9999-12-31,2013-05-08
090 HS,Statoil Petroleum AS,45.00000,23297006,17237817,9999-12-31,2013-05-08
091,Eni Norge AS,7.90000,21532,2388594,9999-12-31,2013-05-08
