seaName,seaPlanFromDate,seaNpdidSurvey,seaStatus,seaGeographicalArea,seaSurveyTypeMain,seaSurveyTypePart,seaCompanyReported,seaPlanToDate,seaDateStarting,seaDateFinalized,seaCdpTotalKm,seaBoatTotalKm,sea3DKm2,seaSampling,seaShallowDrilling,seaGeotechnical,dateSyncNPD
MC3D-DUN2013,2013-05-15,7834,Planlagt,Nordsjøen,Ordinær seismisk undersøkelse,3D,Multiklient Invest AS,2013-10-30,9999-12-31,9999-12-31,NULL,NULL,20.54,NULL,NULL,NULL,2013-05-08
OMV003,2013-05-10,7842,Avlyst,Barentshavet - Sør,Borestedundersøkelse / sitesurvey,2D,OMV (Norge) AS,2013-06-28,9999-12-31,9999-12-31,NULL,NULL,NULL,Nei,Nei,Ja,2013-05-08
OMV13301,2013-05-10,7853,Under behandling,Barentshavet - Sør,Borestedundersøkelse / sitesurvey,2D,OMV (Norge) AS,2013-06-28,9999-12-31,9999-12-31,NULL,NULL,NULL,Nei,Nei,Ja,2013-05-08
SH13301,2013-05-10,7838,Avlyst,Norskehavet,Borestedundersøkelse / sitesurvey,2D,A/S Norske Shell,2013-05-31,9999-12-31,9999-12-31,NULL,NULL,NULL,Nei,Nei,Nei,2013-05-08
ST13001,2013-05-10,7833,Planlagt,Nordsjøen,Ordinær seismisk undersøkelse,3D,Statoil ASA,2013-07-31,9999-12-31,9999-12-31,NULL,NULL,1253.86,NULL,NULL,NULL,2013-05-08
TO1301-ML,2013-05-10,7767,Planlagt,Nordsjøen,Ordinær seismisk undersøkelse,3D,Total E&P Norge AS,2013-08-01,9999-12-31,9999-12-31,NULL,NULL,558.41,NULL,NULL,NULL,2013-05-08
TRO13,2013-05-10,7812,Planlagt,Barentshavet - Sør,Ordinær seismisk undersøkelse,3D,CGG Veritas Services SA,2013-10-15,9999-12-31,9999-12-31,NULL,NULL,6394.19,NULL,NULL,NULL,2013-05-08
EN1301,2013-05-08,7840,Planlagt,Barentshavet - Sør,Grunnundersøkelser,Ikke seismikk,Eni Norge AS,2013-07-31,9999-12-31,9999-12-31,NULL,NULL,NULL,Ja,Nei,Nei,2013-05-08
TUN13304,2013-05-06,7843,Under behandling,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Tullow Oil Norge AS,2013-07-22,9999-12-31,9999-12-31,NULL,NULL,NULL,Ja,Nei,Ja,2013-05-08
TUN13303,2013-05-05,7828,Planlagt,Norskehavet,Borestedundersøkelse / sitesurvey,2D,Tullow Oil Norge AS,2013-06-16,9999-12-31,9999-12-31,NULL,NULL,NULL,Ja,Nei,Ja,2013-05-08
CP13301,2013-05-01,7824,Planlagt,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,ConocoPhillips Skandinavia AS,2013-05-31,9999-12-31,9999-12-31,NULL,NULL,NULL,Nei,Nei,Nei,2013-05-08
LN13303,2013-05-01,7823,Under behandling,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Lundin Norway AS,2013-05-22,9999-12-31,9999-12-31,NULL,NULL,NULL,Nei,Nei,Ja,2013-05-08
MC3D-BYL2013,2013-05-01,7811,Planlagt,Nordsjøen,Ordinær seismisk undersøkelse,3D,Multiklient Invest AS,2013-08-31,9999-12-31,9999-12-31,NULL,NULL,63.24,NULL,NULL,NULL,2013-05-08
RD1305,2013-05-01,7827,Planlagt,Norskehavet,Grunnundersøkelser,Ikke seismikk,RWE Dea Norge AS,2013-07-31,9999-12-31,9999-12-31,NULL,NULL,NULL,Ja,Nei,Nei,2013-05-08
ST13460,2013-05-01,7807,Planlagt,Barentshavet - Sør,Grunnundersøkelser,Ikke seismikk,Statoil Petroleum AS,2013-07-20,9999-12-31,9999-12-31,NULL,NULL,NULL,Ja,Ja,Ja,2013-05-08
