seaName,seaPlanFromDate,seaNpdidSurvey,seaStatus,seaGeographicalArea,seaSurveyTypeMain,seaSurveyTypePart,seaCompanyReported,seaPlanToDate,seaDateStarting,seaDateFinalized,seaCdpTotalKm,seaBoatTotalKm,sea3DKm2,seaSampling,seaShallowDrilling,seaGeotechnical,dateSyncNPD
ST10009,2010-08-13,7289,Ferdig,Norskehavet,Havbunnseismisk undersøkelse,3D,Statoil Petroleum AS,2010-09-30,2010-08-15,2010-09-25,16034,2139,158.88,NULL,NULL,NULL,2013-05-08
ST10319,2010-08-13,7270,Ferdig,Norskehavet,Borestedundersøkelse / sitesurvey,2D,Statoil ASA,2010-10-09,2010-09-03,2010-09-07,201,201,NULL,NULL,NULL,NULL,2013-05-08
EMGS1010,2010-08-09,7328,Ferdig,Norskehavet,Elektromagnetisk undersøkelse,3D,Electromagnetic Geoservices ASA,2010-09-30,2010-08-29,2010-09-30,380,380,1307.21,NULL,NULL,NULL,2013-05-08
EMGS1011,2010-08-09,7329,Ferdig,Barentshavet - Sør,Elektromagnetisk undersøkelse,3D,Electromagnetic Geoservices ASA,2010-09-30,2010-09-12,2010-09-27,480,480,12886.60,NULL,NULL,NULL,2013-05-08
ST10306,2010-08-04,7319,Ferdig,Norskehavet,Borestedundersøkelse / sitesurvey,2D,Statoil ASA,2010-10-04,2010-08-11,2010-09-27,247,247,NULL,NULL,NULL,NULL,2013-05-08
LN1053,2010-08-03,7305,Ferdig,Norskehavet,Borestedundersøkelse / sitesurvey,2D,Lundin Norway AS,2010-09-12,2010-08-03,2010-08-07,177,180,NULL,NULL,NULL,NULL,2013-05-08
SH1003,2010-08-03,7322,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,A/S Norske Shell,2010-08-31,2010-08-12,2010-08-16,218,218,NULL,NULL,NULL,NULL,2013-05-08
SH1004,2010-08-03,7337,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,A/S Norske Shell,2010-08-31,2010-08-13,2010-08-14,72,72,NULL,NULL,NULL,NULL,2013-05-08
ST10302,2010-08-03,7309,Avlyst,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Statoil ASA,2010-10-08,9999-12-31,9999-12-31,NULL,NULL,NULL,NULL,NULL,Ja,2013-05-08
DN1003,2010-08-01,7317,Avlyst,Norskehavet,Borestedundersøkelse / sitesurvey,NULL,Det norske oljeselskap ASA,2010-08-15,9999-12-31,9999-12-31,NULL,NULL,NULL,Nei,Nei,Nei,2013-05-08
OMV1003,2010-08-01,7292,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,OMV (Norge) AS,2010-09-30,2010-08-23,2010-09-21,2650,42400,768.91,NULL,NULL,NULL,2013-05-08
OMV1004,2010-08-01,7294,Ferdig,Barentshavet - Sør,Ordinær seismisk undersøkelse,3D,OMV (Norge) AS,2010-09-30,2010-08-06,2010-08-26,2234,1108,508.15,NULL,NULL,NULL,2013-05-08
PM 08-2010,2010-08-01,7324,Ferdig,Barentshavet - Sør,Elektromagnetisk undersøkelse,NULL,Petromarker AS,2010-08-31,2010-08-05,2010-08-08,NULL,30,NULL,NULL,NULL,NULL,2013-05-08
ST10457,2010-08-01,7286,Ferdig,Norskehavet,Borestedundersøkelse / sitesurvey,NULL,Statoil ASA,2010-10-31,2010-08-21,2010-08-31,NULL,NULL,NULL,Ja,Ja,Ja,2013-05-08
WIN1005,2010-08-01,7295,Avlyst,Nordsjøen,Borestedundersøkelse / sitesurvey,3D,Wintershall Norge ASA,2010-10-31,9999-12-31,9999-12-31,NULL,NULL,25.02,Nei,Nei,Ja,2013-05-08
DN1002,2010-07-28,7313,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,NULL,Det norske oljeselskap ASA,2010-08-15,2010-08-06,2010-08-09,150,150,NULL,NULL,NULL,NULL,2013-05-08
PM 01-2010,2010-07-25,7297,Avlyst,Barentshavet - Sør,Elektromagnetisk undersøkelse,NULL,Petromarker AS,2010-08-25,9999-12-31,9999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
PM 02-2010,2010-07-25,7298,Ferdig,Barentshavet - Sør,Elektromagnetisk undersøkelse,NULL,Petromarker AS,2010-08-25,2010-08-08,2010-08-17,18,NULL,NULL,NULL,NULL,NULL,2013-05-08
PM 03-2010,2010-07-25,7299,Avlyst,Barentshavet - Sør,Elektromagnetisk undersøkelse,NULL,Petromarker AS,2010-08-25,9999-12-31,9999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
CP1099,2010-07-22,7304,Ferdig,Nordsjøen,Havbunnseismisk undersøkelse,2D,ConocoPhillips Skandinavia AS,2010-08-31,2010-08-11,2010-08-20,135,135,NULL,NULL,NULL,NULL,2013-05-08
PM 05-2010,2010-07-20,7307,Ferdig,Nordsjøen,Elektromagnetisk undersøkelse,NULL,Petromarker AS,2010-08-20,2010-07-28,2010-08-01,NULL,30,NULL,NULL,NULL,NULL,2013-05-08
PM 06-2010,2010-07-20,7310,Avlyst,Barentshavet - Sør,Elektromagnetisk undersøkelse,NULL,Petromarker AS,2010-08-20,9999-12-31,9999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
PM 07-2010,2010-07-20,7311,Avlyst,Barentshavet - Sør,Elektromagnetisk undersøkelse,NULL,Petromarker AS,2010-08-20,9999-12-31,9999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
BG1002,2010-07-15,7276,Ferdig,Barentshavet - Sør,Ordinær seismisk undersøkelse,3D,BG Norge AS,2010-10-01,2010-07-18,2010-08-31,45746,2287,1059.82,NULL,NULL,NULL,2013-05-08
BPN0301_12,2010-07-15,7300,Ferdig,Nordsjøen,Annen undersøkelse,NULL,BP Norge AS,2010-08-31,2010-08-01,2010-09-04,103360,2584,142.36,NULL,NULL,NULL,2013-05-08
PM 04-2010,2010-07-15,7302,Ferdig,Nordsjøen,Elektromagnetisk undersøkelse,NULL,Petromarker AS,2010-08-15,2010-07-21,2010-07-27,NULL,30,NULL,NULL,NULL,NULL,2013-05-08
MAE10301,2010-07-13,7212,Ferdig,Norskehavet,Borestedundersøkelse / sitesurvey,2D,Maersk Oil Norway AS,2010-08-01,2010-07-17,2010-07-26,600,600,NULL,NULL,NULL,NULL,2013-05-08
EO1003,2010-07-12,7293,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,E.ON Ruhrgas Norge AS,2010-09-10,2010-07-12,2010-08-16,66280,3314,1353.47,NULL,NULL,NULL,2013-05-08
EM-3D-Peon,2010-07-08,7296,Ferdig,Nordsjøen,Elektromagnetisk undersøkelse,3D,PGS Geophysical AS,2010-07-20,2010-07-11,2010-07-15,306,306,527.57,NULL,NULL,NULL,2013-05-08
ST10012-E,2010-07-08,7277,Ferdig,Barentshavet - Sør,Ordinær seismisk undersøkelse,3D,Statoil Petroleum AS,2010-09-30,2010-07-13,2010-09-10,40350,2521,612.62,NULL,NULL,NULL,2013-05-08
ST10015,2010-07-08,7274,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,4D,Statoil Petroleum AS,2010-09-02,2010-07-15,2010-08-24,1340,32200,410.85,NULL,NULL,NULL,2013-05-08
EN1001,2010-07-07,7282,Ferdig,Barentshavet - Sør,Borestedundersøkelse / sitesurvey,2D,Eni Norge AS,2010-08-15,2010-07-26,2010-07-31,60,60,NULL,NULL,NULL,NULL,2013-05-08
EN1002,2010-07-07,7283,Ferdig,Barentshavet - Sør,Borestedundersøkelse / sitesurvey,2D,Eni Norge AS,2010-08-15,2010-07-14,2010-07-26,181,181,NULL,Ja,NULL,NULL,2013-05-08
ST10314,2010-07-04,7287,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Statoil ASA,2010-09-23,2010-07-07,2010-08-01,771,771,NULL,NULL,NULL,Ja,2013-05-08
MC2D-CNS2010,2010-07-01,7306,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,2D,PGS Geophysical AS,2010-08-15,2010-07-03,2010-07-08,265,265,NULL,NULL,NULL,NULL,2013-05-08
NSR10 FR,2010-06-27,7281,Avlyst,Norskehavet,Ordinær seismisk undersøkelse,2D,TGS Nopec Geophysical Company  ASA,2010-10-31,9999-12-31,9999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
OMV1001,2010-06-21,7279,Ferdig,Norskehavet,Borestedundersøkelse / sitesurvey,2D,OMV (Norge) AS,2010-08-31,2010-06-28,2010-07-18,146,525,NULL,NULL,NULL,NULL,2013-05-08
OMV1002,2010-06-21,7278,Ferdig,Norskehavet,Borestedundersøkelse / sitesurvey,2D,OMV (Norge) AS,2010-08-31,2010-07-19,2010-08-06,264,558,NULL,NULL,NULL,NULL,2013-05-08
EM-Test-Troll,2010-06-20,7262,Ferdig,Nordsjøen,Elektromagnetisk undersøkelse,3D,PGS Geophysical AS,2010-07-20,2010-07-01,2010-07-10,306,306,792.76,NULL,NULL,NULL,2013-05-08
SH1002,2010-06-20,7214,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,A/S Norske Shell,2010-08-31,2010-06-12,2010-07-12,37948,1897,705.44,NULL,NULL,NULL,2013-05-08
ST10318,2010-06-17,7275,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Statoil ASA,2010-08-31,2010-08-02,2010-08-03,66,66,NULL,NULL,NULL,NULL,2013-05-08
CE1001,2010-06-16,7318,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,NULL,Centrica Energi,2010-08-16,2010-07-25,2010-08-04,169,266,NULL,NULL,NULL,NULL,2013-05-08
MC3D-CGR-2010,2010-06-15,7190,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,PGS Geophysical AS,2010-09-15,2010-07-07,2010-09-06,131699,6555,3585.40,NULL,NULL,NULL,2013-05-08
MC3D-NON2010,2010-06-13,7238,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,PGS Geophysical AS,2010-08-01,2010-06-19,2010-07-17,28790,1439,473.93,NULL,NULL,NULL,2013-05-08
EMGS1009,2010-06-07,7273,Avlyst,Norskehavet,Elektromagnetisk undersøkelse,3D,Electromagnetic Geoservices ASA,2010-08-31,9999-12-31,9999-12-31,NULL,NULL,7224.42,NULL,NULL,NULL,2013-05-08
TE1002,2010-06-07,7263,Avlyst,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Talisman Energy Norge AS,2010-07-07,9999-12-31,9999-12-31,NULL,NULL,NULL,Ja,Ja,Ja,2013-05-08
GN1001,2010-06-03,7251,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,GASSNOVA SF,2010-07-15,2010-06-09,2010-07-04,16692,1043,417.04,NULL,NULL,NULL,2013-05-08
SH1001,2010-06-03,7213,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,A/S Norske Shell,2010-08-31,2010-07-12,2010-08-10,41943,2097,2072.10,NULL,NULL,NULL,2013-05-08
ST10013 HUSVÆR,2010-06-01,7268,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,Statoil ASA,2010-08-31,2010-06-09,2010-07-28,67131,2797,1342.45,NULL,NULL,NULL,2013-05-08
ST10312,2010-06-01,7256,Ferdig,Norskehavet,Borestedundersøkelse / sitesurvey,2D,Statoil ASA,2010-08-08,2010-06-27,2010-07-02,202,202,NULL,NULL,NULL,NULL,2013-05-08
WIN1003,2010-06-01,7211,Ferdig,Norskehavet,Borestedundersøkelse / sitesurvey,3D,Wintershall Norge ASA,2010-09-30,2010-06-04,2010-06-18,250,250,NULL,Nei,Nei,Nei,2013-05-08
WIN1004,2010-06-01,7255,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,3D,Wintershall Norge ASA,2010-07-31,2010-06-19,2010-06-25,250,250,NULL,Nei,Nei,Nei,2013-05-08
TO-Norvarg10,2010-05-31,7226,Ferdig,Barentshavet - Sør,Borestedundersøkelse / sitesurvey,2D,Total E&P Norge AS,2010-07-08,2010-05-30,2010-07-04,994,398,NULL,NULL,NULL,NULL,2013-05-08
ST10003,2010-05-28,7228,Ferdig,Nordsjøen,Havbunnseismisk undersøkelse,4D,Statoil ASA,2010-07-10,2010-05-29,2010-07-08,1775,1775,168.06,NULL,NULL,NULL,2013-05-08
PC10NO01,2010-05-27,7240,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,Petro-Canada Norge AS,2010-08-31,2010-06-12,2010-08-05,49729,2529,1064.70,NULL,NULL,NULL,2013-05-08
EMGS1008,2010-05-26,7261,Avlyst,Nordsjøen,Elektromagnetisk undersøkelse,3D,Electromagnetic Geoservices ASA,2010-07-27,9999-12-31,9999-12-31,NULL,NULL,526.35,NULL,NULL,NULL,2013-05-08
ST10005,2010-05-25,7227,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,4D,Statoil Petroleum AS,2010-08-31,2010-06-02,2010-08-30,74840,3742,583.09,NULL,NULL,NULL,2013-05-08
ST10014VN,2010-05-25,7246,Avlyst,Norskehavet,Ordinær seismisk undersøkelse,3D,Statoil ASA,2010-07-22,9999-12-31,9999-12-31,NULL,NULL,1491.22,NULL,NULL,NULL,2013-05-08
ST10016,2010-05-25,7237,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,4D,Statoil Petroleum AS,2010-07-20,2010-05-26,2010-07-15,8614,1077,150.24,NULL,NULL,NULL,2013-05-08
BG1001,2010-05-21,7239,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,BG Norge Limited,2010-08-28,2010-07-03,2010-08-02,NULL,847,NULL,NULL,NULL,NULL,2013-05-08
ST10004,2010-05-21,7234,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,Statoil ASA,2010-08-15,2010-05-27,2010-06-08,12305,513,306.64,NULL,NULL,NULL,2013-05-08
TE1001,2010-05-21,7291,Avlyst,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Talisman Energy Norge AS,2010-06-18,9999-12-31,9999-12-31,NULL,NULL,NULL,Nei,Nei,Nei,2013-05-08
MNDW2010,2010-05-20,7280,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,Spec Partners Ltd,2010-07-30,2010-05-26,2010-07-22,3956,3956,NULL,NULL,NULL,NULL,2013-05-08
Penguin 2010 4D,2010-05-20,7241,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,4D,A/S Norske Shell,2010-07-15,2010-06-07,2010-06-30,13051,1232,46.94,NULL,NULL,NULL,2013-05-08
ST10307,2010-05-18,7243,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Statoil ASA,2010-07-18,2010-05-31,2010-06-07,195,195,NULL,Ja,NULL,NULL,2013-05-08
Caterpillar2010,2010-05-17,7247,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Marathon Petroleum Norge AS,2010-06-20,2010-05-19,2010-06-18,499,499,NULL,NULL,NULL,NULL,2013-05-08
Earb2010,2010-05-17,7250,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Marathon Petroleum Norge AS,2010-06-20,2010-05-19,2010-06-18,417,417,NULL,NULL,NULL,NULL,2013-05-08
East Kameleon2010,2010-05-17,7249,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Marathon Petroleum Norge AS,2010-06-20,2010-05-19,2010-06-18,118,118,NULL,NULL,NULL,NULL,2013-05-08
Marihøne2010,2010-05-17,7248,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Marathon Petroleum Norge AS,2010-06-20,2010-05-19,2010-06-18,154,154,NULL,NULL,NULL,NULL,2013-05-08
MC2D-CRRG2010,2010-05-17,7264,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,PGS Geophysical AS,2010-07-01,2010-05-27,2010-07-01,2430,2430,NULL,NULL,NULL,NULL,2013-05-08
MC2D-EGGA2010,2010-05-17,7267,Avlyst,Norskehavet,Ordinær seismisk undersøkelse,2D,PGS Geophysical AS,2010-07-01,9999-12-31,9999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
MC2D-VIC2010,2010-05-17,7265,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,PGS Geophysical AS,2010-07-01,2010-06-17,2010-06-23,865,865,NULL,NULL,NULL,NULL,2013-05-08
DN1001,2010-05-15,7233,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Det norske oljeselskap ASA,2010-06-10,2010-06-01,2010-06-07,300,300,NULL,NULL,NULL,NULL,2013-05-08
FRØY 2010-1,2010-05-15,7269,Ferdig,Nordsjøen,Annen undersøkelse,NULL,Det norske oljeselskap ASA,2010-05-23,2010-05-15,2010-05-18,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
NSR10 VG,2010-05-15,7242,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,2D,TGS Nopec Geophysical Company  ASA,2010-08-31,2010-05-14,2010-06-27,3021,3021,NULL,NULL,NULL,NULL,2013-05-08
RWE1001,2010-05-15,7258,Ferdig,Norskehavet,Annen undersøkelse,NULL,RWE Dea Norge AS,2010-09-01,2010-06-15,2010-06-17,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
RWE1002,2010-05-15,7259,Ferdig,Norskehavet,Annen undersøkelse,NULL,RWE Dea Norge AS,2010-09-01,2010-07-16,2010-08-02,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
RWE1003,2010-05-15,7260,Ferdig,Barentshavet - Sør,Annen undersøkelse,NULL,RWE Dea Norge AS,2010-09-01,2010-07-02,2010-07-15,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
ST10011 N,2010-05-15,7223,Ferdig,Barentshavet - Sør,Ordinær seismisk undersøkelse,3D,Statoil ASA,2010-07-25,2010-05-21,2010-07-12,58100,3631,1067.05,NULL,NULL,NULL,2013-05-08
ST10305,2010-05-15,7236,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Statoil ASA,2010-07-10,2010-06-08,2010-06-24,246,246,NULL,NULL,NULL,NULL,2013-05-08
RS1001,2010-05-10,7186,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,Rocksource ASA,2010-07-10,2010-05-10,2010-06-11,50860,2543,1115.30,NULL,NULL,NULL,2013-05-08
VBT1,2010-05-08,7196,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,Fugro Multi Client Services AS,2010-09-15,2010-05-08,2010-08-30,128890,6444,7610.59,NULL,NULL,NULL,2013-05-08
LN1052,2010-05-06,7253,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Lundin Norway AS,2010-05-17,2010-05-09,2010-05-15,182,183,NULL,NULL,NULL,NULL,2013-05-08
IPN1001,2010-05-05,7229,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Idemitsu Petroleum Norge AS,2010-07-01,2010-06-16,2010-06-25,235,235,NULL,NULL,NULL,Ja,2013-05-08
TO-AlveN10,2010-05-05,7216,Ferdig,Norskehavet,Borestedundersøkelse / sitesurvey,3D,Total E&P Norge AS,2010-05-19,2010-05-12,2010-05-27,232,442,NULL,NULL,NULL,NULL,2013-05-08
MNR10,2010-05-03,7224,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,Fugro Multi Client Services AS,2010-12-31,2010-05-07,2010-10-12,13892,13892,NULL,NULL,NULL,NULL,2013-05-08
PGSTesting2010,2010-05-01,7252,Ferdig,Nordsjøen,Annen undersøkelse,NULL,PGS Geophysical AS,2010-05-20,2010-05-07,2010-05-11,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
RS1002,2010-05-01,7188,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,Rocksource ASA,2010-07-01,2010-05-10,2010-06-11,44040,2202,886.98,NULL,NULL,NULL,2013-05-08
ST10304,2010-05-01,7204,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Statoil ASA,2010-07-01,2010-05-03,2010-05-08,226,226,NULL,NULL,NULL,NULL,2013-05-08
MCG1002,2010-04-29,7225,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,2D,MultiClient Geophysical AS,2010-06-30,2010-05-02,2010-06-15,3380,3380,NULL,NULL,NULL,NULL,2013-05-08
CGGV1002,2010-04-28,7207,Ferdig,Norskehavet,Ordinær seismisk undersøkelse,3D,CGG Veritas Services SA,2010-08-28,2010-05-10,2010-07-25,115626,6328,1876.47,NULL,NULL,NULL,2013-05-08
NBR10,2010-04-26,7219,Ferdig,Barentshavet - Sør,Ordinær seismisk undersøkelse,2D,Fugro Multi Client Services AS,2010-09-30,2010-05-18,2010-09-25,11988,11988,NULL,NULL,NULL,NULL,2013-05-08
EO1001,2010-04-25,7230,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,E.ON Ruhrgas Norge AS,2010-05-20,2010-05-03,2010-05-08,126,126,NULL,Ja,Nei,Ja,2013-05-08
EO1002,2010-04-25,7231,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,E.ON Ruhrgas Norge AS,2010-05-20,2010-05-03,2010-05-08,30,30,NULL,Nei,Nei,Nei,2013-05-08
CGGV-10-01,2010-04-19,7198,Ferdig,Nordsjøen,Ordinær seismisk undersøkelse,3D,CGG Veritas Services (UK) Limited,2010-05-31,2010-04-19,2010-05-03,7098,355,606.96,NULL,NULL,NULL,2013-05-08
WG1001,2010-04-15,7208,Ferdig,Barentshavet - Sør,Ordinær seismisk undersøkelse,3D,WesternGeco AS,2010-09-30,2010-04-23,2010-09-06,111908,6341,3177.87,NULL,NULL,NULL,2013-05-08
ST09455-1,2010-04-12,7220,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,NULL,Statoil ASA,2010-05-31,2010-04-24,2010-04-29,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
ST10453,2010-04-12,7245,Ferdig,Nordsjøen,Annen undersøkelse,NULL,Statoil ASA,2010-05-12,2010-04-18,2010-04-23,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
WIN1002,2010-04-12,7210,Avlyst,Nordsjøen,Havbunnseismisk undersøkelse,3D,Wintershall Norge ASA,2010-09-30,9999-12-31,9999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
ST10317,2010-04-09,7221,Ferdig,Norskehavet,Havbunnseismisk undersøkelse,2D,Statoil ASA,2010-06-04,2010-05-24,2010-05-30,35,35,NULL,NULL,NULL,NULL,2013-05-08
ST10301,2010-04-07,7217,Ferdig,Norskehavet,Havbunnseismisk undersøkelse,2D,Statoil ASA,2010-06-02,2010-04-20,2010-05-30,171,171,NULL,NULL,NULL,NULL,2013-05-08
ST10316,2010-04-07,7218,Ferdig,Norskehavet,Havbunnseismisk undersøkelse,2D,Statoil ASA,2010-06-02,2010-04-20,2010-05-27,172,172,NULL,NULL,NULL,NULL,2013-05-08
BST6,2010-04-01,7215,Avlyst,Barentshavet - Sør,Ordinær seismisk undersøkelse,3D,Fugro Multi Client Services AS,2010-05-31,9999-12-31,9999-12-31,NULL,NULL,681.80,NULL,NULL,NULL,2013-05-08
ST10020,2010-04-01,7235,Ferdig,Barentshavet - Sør,Ordinær seismisk undersøkelse,3D,Statoil ASA,2010-09-30,2010-04-06,2010-09-17,31816,1590,681.80,NULL,NULL,NULL,2013-05-08
ST10451,2010-04-01,7192,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,NULL,Statoil ASA,2010-04-30,2010-04-18,2010-04-23,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
EMGS1004,2010-03-31,7202,Ferdig,Norskehavet,Elektromagnetisk undersøkelse,3D,Electromagnetic Geoservices ASA,2010-05-06,2010-03-31,2010-04-01,41,41,2364.63,NULL,NULL,NULL,2013-05-08
MCG1001,2010-03-25,7209,Ferdig,Barentshavet - Sør,Ordinær seismisk undersøkelse,2D,MultiClient Geophysical AS,2010-06-30,2010-04-04,2010-05-25,2883,2883,NULL,NULL,NULL,NULL,2013-05-08
NO1001,2010-03-25,7193,Ferdig,Nordsjøen,Havbunnseismisk undersøkelse,3D,Norwegian Energy Company AS,2010-04-30,2010-03-22,2010-04-09,150,150,NULL,NULL,NULL,NULL,2013-05-08
EMGS1006,2010-03-18,7206,Ferdig,Nordsjøen,Elektromagnetisk undersøkelse,3D,Electromagnetic Geoservices ASA,2010-04-06,2010-03-25,2010-03-28,90,90,NULL,NULL,NULL,NULL,2013-05-08
ST10309,2010-03-18,7222,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Statoil ASA,2010-04-18,2010-04-12,2010-04-15,156,156,NULL,Nei,Nei,Nei,2013-05-08
EMGS1007,2010-03-16,7205,Ferdig,Norskehavet,Elektromagnetisk undersøkelse,3D,Electromagnetic Geoservices ASA,2010-04-06,2010-03-20,2010-03-22,71,71,NULL,NULL,NULL,NULL,2013-05-08
LN1051,2010-03-15,7197,Ferdig,Barentshavet - Sør,Borestedundersøkelse / sitesurvey,NULL,Statoil ASA,2010-03-22,2010-03-15,2010-03-22,100,100,NULL,NULL,NULL,NULL,2013-05-08
ST10303,2010-03-15,7195,Ferdig,Barentshavet - Sør,Havbunnseismisk undersøkelse,2D,Statoil ASA,2010-05-17,2010-03-28,2010-04-06,227,227,NULL,NULL,NULL,NULL,2013-05-08
EMGS1005,2010-03-05,7203,Ferdig,Norskehavet,Elektromagnetisk undersøkelse,3D,Electromagnetic Geoservices ASA,2010-03-24,2010-03-05,2010-03-20,157,157,NULL,NULL,NULL,NULL,2013-05-08
EMGS1001,2010-02-22,7191,Ferdig,Barentshavet - Sør,Elektromagnetisk undersøkelse,3D,Electromagnetic Geoservices ASA,2010-09-01,2010-04-03,2010-08-13,6000,6000,121099.54,NULL,NULL,NULL,2013-05-08
EMGS1003,2010-02-22,7200,Ferdig,Norskehavet,Elektromagnetisk undersøkelse,3D,Electromagnetic Geoservices ASA,2010-03-07,2010-02-28,2010-03-04,131,131,NULL,NULL,NULL,NULL,2013-05-08
EMGS1002,2010-02-15,7194,Ferdig,Norskehavet,Elektromagnetisk undersøkelse,3D,Electromagnetic Geoservices ASA,2010-03-01,2010-02-22,2010-02-28,122,122,NULL,NULL,NULL,NULL,2013-05-08
EMGS0909,2010-01-10,7187,Ferdig,Norskehavet,Elektromagnetisk undersøkelse,3D,Electromagnetic Geoservices ASA,2010-02-28,2010-01-10,2010-02-22,750,750,NULL,NULL,NULL,NULL,2013-05-08
ST09325,2009-12-15,7174,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,NULL,Statoil ASA,2010-01-31,2009-11-12,2010-01-19,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
VNG0902,2009-12-15,7136,Ferdig,Nordsjøen,Havbunnseismisk undersøkelse,2D,VNG Norge AS,2010-02-01,2009-12-22,2010-01-10,446,446,NULL,NULL,NULL,NULL,2013-05-08
TE903,2009-12-07,7173,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,3D,Talisman Energy Norge AS,2010-02-12,2009-12-15,2010-02-04,29,29,NULL,NULL,NULL,NULL,2013-05-08
EMGS-0908,2009-12-02,7184,Avlyst,Norskehavet,Elektromagnetisk undersøkelse,3D,Electromagnetic Geoservices ASA,2010-01-10,9999-12-31,9999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
WIN0908,2009-12-01,7182,Avlyst,Nordsjøen,Borestedundersøkelse / sitesurvey,NULL,Wintershall Norge ASA,2010-03-31,9999-12-31,9999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
LN0959,2009-11-29,7180,Ferdig,Nordsjøen,Havbunnseismisk undersøkelse,2D,Lundin Norway AS,2010-01-30,2010-01-06,2010-01-10,NULL,82,NULL,NULL,NULL,NULL,2013-05-08
