wlbWellboreName,wlbWell,wlbDrillingOperator,wlbDrillingOperatorGroup,wlbProductionLicence,wlbPurpose,wlbStatus,wlbContent,wlbWellType,wlbEntryDate,wlbCompletionDate,wlbField,wlbDrillPermit,wlbDiscovery,wlbDiscoveryWellbore,wlbBottomHoleTemperature,wlbSeismicLocation,wlbMaxInclation,wlbKellyBushElevation,wlbFinalVerticalDepth,wlbTotalDepth,wlbWaterDepth,wlbAgeAtTd,wlbFormationAtTd,wlbMainArea,wlbDrillingFacility,wlbFacilityTypeDrilling,wlbLicensingActivity,wlbMultilateral,wlbPurposePlanned,wlbEntryYear,wlbCompletionYear,wlbReclassFromWellbore,wlbReentryExplorationActivity,wlbPlotSymbol,wlbFormationWithHc1,wlbAgeWithHc1,wlbFormationWithHc2,wlbAgeWithHc2,wlbFormationWithHc3,wlbAgeWithHc3,wlbDrillingDays,wlbReentry,wlbGeodeticDatum,wlbNsDeg,wlbNsMin,wlbNsSec,wlbNsCode,wlbEwDeg,wlbEwMin,wlbEwSec,wlbEwCode,wlbNsDecDeg,wlbEwDesDeg,wlbNsUtm,wlbEwUtm,wlbUtmZone,wlbNamePart1,wlbNamePart2,wlbNamePart3,wlbNamePart4,wlbNamePart5,wlbNamePart6,wlbPressReleaseUrl,wlbFactPageUrl,wlbFactMapUrl,wlbDiskosWellboreType,wlbDiskosWellboreParent,wlbWdssQcDate,wlbNpdidWellbore,dscNpdidDiscovery,fldNpdidField,fclNpdidFacilityDrilling,wlbNpdidWellboreReclass,prlNpdidProductionLicence,wlbDiskosWellOperator,wlbDateUpdated,wlbDateUpdatedMax,dateSyncNPD
6608/11-4,6608/11-4,Statoil ASA (old),STATOIL,128,WILDCAT,P&A,OIL,EXPLORATION,2004-05-01,2004-05-23,NULL,1079-L,6608/11-4 LINERLE,YES,72,ST01M01-inline 3754 & crossline 12030,0.00,36.0,2317.0,2317.0,342.0,LATE TRIASSIC,RED BEDS (INFORMAL),NORWEGIAN SEA,WEST NAVIGATOR,VESSEL,10-B,NO,WILDCAT,2004,2004,NULL,NULL,5,TILJE FM,EARLY JURASSIC,NULL,NULL,NULL,NULL,23,NO,ED50,66,11,56.2,N,8,25,47.6,E,66.198944,8.429889,7342388.56,474325.31,32,6608,11,NULL,4,NULL,NULL,http://www.npd.no/no/Nyheter/Resultat-av-leteboring/2004/660811-4/,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=4939,http://www.npd.no/FactMapSearch?NPDID_wellbore=4939,initial,NULL,2006-12-15,4939,2820030,NULL,297082,0,21836,STATOIL ASA (OLD),2012-07-25,2012-07-25,2013-05-08
6608/11-5,6608/11-5,Statoil ASA (old),STATOIL,128,WILDCAT,P&A,SHOWS,EXPLORATION,2006-06-18,2006-07-14,NULL,1114-L,NULL,NO,85,ST04M17-linje 1244 & trase 3788,2.40,22.0,2269.0,2270.0,342.5,LATE TRIASSIC,RED BEDS (INFORMAL),NORWEGIAN SEA,OCEAN VANGUARD,SEMISUB STEEL,10-B,NO,WILDCAT,2006,2006,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,27,NO,ED50,66,11,9.5,N,8,28,50.6,E,66.185972,8.480722,7340922.66,476602.53,32,6608,11,NULL,5,NULL,NULL,http://www.npd.no/no/Nyheter/Resultat-av-leteboring/2006/660811-5/,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5316,http://www.npd.no/FactMapSearch?NPDID_wellbore=5316,initial,NULL,2008-08-15,5316,NULL,NULL,287902,0,21836,STATOIL ASA (OLD),2013-01-09,2013-01-09,2013-05-08
6608/11-6,6608/11-6,StatoilHydro ASA,STATOIL,128,WILDCAT,P&A,DRY,EXPLORATION,2008-07-17,2008-08-06,NULL,1190-L,NULL,NO,57,3D Survey:ST04M17.inline 1403 & crossline 3074.,0.70,22.0,1850.0,1850.0,357.0,LATE TRIASSIC,ÅRE FM,NORWEGIAN SEA,OCEAN VANGUARD,SEMISUB STEEL,10-B,NO,WILDCAT,2008,2008,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,21,NO,ED50,66,6,50.56,N,8,23,0.03,E,66.114044,8.383342,7332944.96,472135.97,32,6608,11,NULL,6,NULL,NULL,http://www.npd.no/no/Nyheter/Resultat-av-leteboring/2008/660811-6/,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5868,http://www.npd.no/FactMapSearch?NPDID_wellbore=5868,initial,NULL,2010-08-06,5868,NULL,NULL,287902,0,21836,STATOILHYDRO ASA,2013-01-10,2013-01-10,2013-05-08
6608/11-7 S,6608/11-7,Rocksource ASA,ROCKSOURCE,559,WILDCAT,P&A,DRY,EXPLORATION,2011-09-08,2011-10-25,NULL,1373-L,NULL,NO,NULL,linje 2204-krysslinje 5787,NULL,31.2,NULL,2435.0,333.0,TRIASSIC,NULL,NORWEGIAN SEA,BORGLAND DOLPHIN,SEMISUB STEEL,TFO2009,NO,WILDCAT,2011,2011,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,48,NO,ED50,66,14,1.32,N,8,30,47.34,E,66.233700,8.513150,7346231.06,478105.00,32,6608,11,NULL,7,S,NULL,http://www.npd.no/no/Nyheter/Resultat-av-leteboring/2011/660811-7-S,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6701,http://www.npd.no/FactMapSearch?NPDID_wellbore=6701,initial,NULL,9999-12-31,6701,NULL,NULL,297784,0,17654775,ROCKSOURCE ASA,2012-07-25,2012-07-25,2013-05-08
6609/5-1,6609/5-1,Den norske stats oljeselskap a.s,STATOIL,080,WILDCAT,P&A,SHOWS,EXPLORATION,1984-11-03,1985-01-05,NULL,439-L,NULL,NO,97,EL 8204-833   SP. 167,3.90,22.0,3599.0,3600.0,292.0,MIDDLE TRIASSIC,RED BEDS (INFORMAL),NORWEGIAN SEA,WEST VANGUARD,SEMISUB STEEL,7,NO,WILDCAT,1984,1985,NULL,NULL,12,NULL,NULL,NULL,NULL,NULL,NULL,64,NO,ED50,66,37,42.73,N,9,24,52.17,E,66.628536,9.414492,7390220.93,518349.04,32,6609,5,NULL,1,NULL,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=445,http://www.npd.no/FactMapSearch?NPDID_wellbore=445,initial,NULL,2007-09-17,445,NULL,NULL,287902,0,21436,STATOIL,2012-07-25,2012-07-25,2013-05-08
6609/6-1,6609/6-1,StatoilHydro Petroleum AS,STATOIL,286,WILDCAT,P&A,DRY,EXPLORATION,2007-09-17,2007-11-07,NULL,1156-L,NULL,NO,92,inline NLG-SKO2-crossline NLG SKO2-4047,6.70,23.0,2709.0,2710.0,330.0,LATE TRIASSIC,RED BEDS (INFORMAL),NORWEGIAN SEA,POLAR PIONEER,SEMISUB STEEL,17,NO,WILDCAT,2007,2007,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,52,NO,ED50,66,41,59.67,N,9,56,1.23,E,66.699908,9.933675,7398424.83,541212.60,32,6609,6,NULL,1,NULL,NULL,http://www.npd.no/no/Nyheter/Resultat-av-leteboring/2007/Torr-bronn-i-Norskehavet1/,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=5626,http://www.npd.no/FactMapSearch?NPDID_wellbore=5626,initial,NULL,2009-11-07,5626,NULL,NULL,289333,0,2073578,STATOILHYDRO PETROLEUM,2013-01-20,2013-01-20,2013-05-08
6609/7-1,6609/7-1,Phillips Petroleum Company Norway,PHILLIPS,081,WILDCAT,P&A,DRY,EXPLORATION,1983-06-21,1983-08-03,NULL,378-L,NULL,NO,0,NH 81 - 02 - 419  SP 500,0.00,25.0,1969.0,1969.0,250.0,PRE-DEVONIAN,BASEMENT,NORWEGIAN SEA,NORDRAUG,SEMISUB STEEL,7,NO,WILDCAT,1983,1983,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,44,NO,ED50,66,24,56.49,N,9,1,14.91,E,66.415692,9.020808,7366433.20,500929.07,32,6609,7,NULL,1,NULL,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=19,http://www.npd.no/FactMapSearch?NPDID_wellbore=19,initial,NULL,2005-06-16,19,NULL,NULL,298081,0,21444,PHILLIPS,2012-09-25,2012-09-25,2013-05-08
6609/10-1,6609/10-1,Saga Petroleum ASA,SAGA,082,WILDCAT,P&A,DRY,EXPLORATION,1983-08-02,1983-08-29,NULL,383-L,NULL,NO,64,8102-415 SP 3593 &  8102-208 SP 6340,2.25,26.0,2167.0,2167.0,262.0,LATE TRIASSIC,RED BEDS (INFORMAL),NORWEGIAN SEA,TREASURE SAGA,SEMISUB STEEL,7,NO,WILDCAT,1983,1983,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,28,NO,ED50,66,14,42.27,N,9,14,59.5,E,66.245075,9.249861,7347436.33,511231.96,32,6609,10,NULL,1,NULL,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=24,http://www.npd.no/FactMapSearch?NPDID_wellbore=24,initial,NULL,2005-06-30,24,NULL,NULL,296326,0,21452,SAGA,2012-07-25,2012-07-25,2013-05-08
6609/10-2,6609/10-2,Det norske oljeselskap ASA (old),DET NORSKE,483 S,WILDCAT,SUSP.REENTERED LATER,DRY,EXPLORATION,2009-09-05,2009-10-03,NULL,1240-L,NULL,NO,0,inline 4127 & crossline 3076(MC3D-NNE2000),1.90,29.0,2528.0,2528.0,265.0,LATE TRIASSIC,GREY BEDS (INFORMAL),NORWEGIAN SEA,SONGA DELTA,SEMISUB STEEL,TFO2007,NO,WILDCAT,2009,2009,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,29,NO,ED50,66,2,29,N,9,3,6,E,66.041389,9.051667,7324709.97,502341.29,32,6609,10,NULL,2,NULL,NULL,http://www.npd.no/no/Nyheter/Resultat-av-leteboring/2009/660910-2/,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=6188,http://www.npd.no/FactMapSearch?NPDID_wellbore=6188,initial,NULL,2011-06-16,6188,NULL,NULL,287821,0,4921755,DET NORSKE (OLD),2012-07-25,2012-07-25,2013-05-08
6609/11-1,6609/11-1,Norsk Hydro Produksjon AS,HYDRO,083,WILDCAT,P&A,DRY,EXPLORATION,1983-05-19,1983-07-07,NULL,374-L,NULL,NO,90,NH 8102 - 415  SP 4335,5.80,25.0,3067.0,3068.0,238.0,LATE TRIASSIC,ÅRE FM,NORWEGIAN SEA,TREASURE SEEKER,SEMISUB STEEL,7,NO,WILDCAT,1983,1983,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,50,NO,ED50,66,8,13.9,N,9,33,47.89,E,66.137194,9.563303,7335502.71,525429.99,32,6609,11,NULL,1,NULL,NULL,NULL,http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=15,http://www.npd.no/FactMapSearch?NPDID_wellbore=15,initial,NULL,2005-06-15,15,NULL,NULL,287956,0,21460,HYDRO PRODUKSJON,2012-07-25,2012-10-26,2013-05-08
