wlbNpdidWellbore,wlbWellName,wlbWellboreName,wlbField,wlbProductionLicence,wlbWellType,wlbDrillingOperator,wlbMultilateral,wlbDrillingFacility,wlbProductionFacility,wlbEntryDate,wlbCompletionDate,wlbContent,wlbStatus,wlbSymbol,wlbPurpose,wlbWaterDepth,wlbFactPageUrl,wlbFactMapUrl,wlbDiscoveryWellbore,wlbPointGeometryWKT
1663,"7533/3-U-1","7533/3-U-1",NULL,NULL,"SHALLOW","IKU PETROLEUMSFORSKNING SINTEF GRUPPEN","NO",NULL,NULL,1990-07-31,1990-08-03,NULL,"P&A",0,NULL,263.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Shallow&nav3=1663",NULL,"NO","POINT(33.749747 75.938022)"
1429,"2/7-A-7","2/7-A-7 A","ELDFISK","018","DEVELOPMENT","Phillips Petroleum Company Norway","NO","ELDFISK A","ELDFISK A",1989-07-10,1989-09-18,"NOT AVAILABLE","PLUGGED",71,"PRODUCTION",71.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1429","http://www.npd.no/FactMapSearch?NPDID_wellbore=1429","NO","POINT(3.266119 56.3768)"
1430,"34/10-B-10","34/10-B-10","GULLFAKS","050","DEVELOPMENT","Den norske stats oljeselskap a.s","NO","GULLFAKS B","GULLFAKS B",1989-06-29,1989-08-21,"NOT AVAILABLE","PLUGGED",71,"PRODUCTION",144.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1430","http://www.npd.no/FactMapSearch?NPDID_wellbore=1430","NO","POINT(2.201767 61.202792)"
1431,"6307/7-U-3","6307/7-U-3 A",NULL,NULL,"SHALLOW","IKU PETROLEUMSFORSKNING SINTEF GRUPPEN","NO",NULL,NULL,1988-05-20,1988-06-12,NULL,"P&A",0,NULL,241.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Shallow&nav3=1431",NULL,"NO","POINT(7.277139 63.455283)"
1432,"2/4-E-11","2/4-E-11","TOR","018","DEVELOPMENT","Phillips Petroleum Company Norway","NO","TOR","TOR",1989-06-27,1989-08-27,"OIL","PRODUCING",50,"PRODUCTION",67.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1432","http://www.npd.no/FactMapSearch?NPDID_wellbore=1432","NO","POINT(3.326914 56.642019)"
1433,"7/12-A-15","7/12-A-15","ULA","019","DEVELOPMENT","BP Norway Limited  U.A.","NO","ULA DP","ULA PP",1989-07-02,1989-08-29,"OIL","PLUGGED",50,"PRODUCTION",69.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1433","http://www.npd.no/FactMapSearch?NPDID_wellbore=1433","NO","POINT(2.847358 57.111453)"
1434,"31/6-U-19","31/6-U-19",NULL,NULL,"SHALLOW","A/S Norske Shell","NO",NULL,NULL,9999-12-31,9999-12-31,NULL,NULL,0,NULL,0.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Shallow&nav3=1434",NULL,"NO","POINT(3.726186 60.645369)"
1435,"31/6-U-20","31/6-U-20",NULL,NULL,"SHALLOW","A/S Norske Shell","NO",NULL,NULL,9999-12-31,9999-12-31,NULL,NULL,0,NULL,0.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Shallow&nav3=1435",NULL,"NO","POINT(3.726736 60.645403)"
1436,"31/6-U-21","31/6-U-21",NULL,NULL,"SHALLOW","A/S Norske Shell","NO",NULL,NULL,9999-12-31,9999-12-31,NULL,NULL,0,NULL,0.000000,"http://factpages.npd.no/FactPages/default.aspx?nav1=wellbore&nav2=PageView|Shallow&nav3=1436",NULL,"NO","POINT(3.726011 60.645667)"
1438,"30/9-B-41","30/9-B-41","OSEBERG","079","DEVELOPMENT","Norsk Hydro Produksjon AS","NO","OSEBERG B","OSEBERG B",1998-06-25,1998-07-29,"NOT APPLICABLE","PLUGGED",99,"OBSERVATION",109.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1438","http://www.npd.no/FactMapSearch?NPDID_wellbore=1438","NO","POINT(2.828667 60.493317)"
1439,"34/10-A-25","34/10-A-25","GULLFAKS","050","DEVELOPMENT","Den norske stats oljeselskap a.s","NO","GULLFAKS A","GULLFAKS A",1989-07-22,1989-08-26,"WATER","PLUGGED",173,"INJECTION",134.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Development|All&nav3=1439","http://www.npd.no/FactMapSearch?NPDID_wellbore=1439","NO","POINT(2.189283 61.176322)"
1441,"35/9-1","35/9-1 R","GJØA","153","EXPLORATION","Norsk Hydro Produksjon AS","NO","POLAR PIONEER",NULL,1989-07-03,1989-07-27,"OIL/GAS","P&A",13,"WILDCAT",361.000000,"http://factpages.npd.no/FactPages/Default.aspx?nav1=wellbore&nav2=PageView|Exploration|All&nav3=1441","http://www.npd.no/FactMapSearch?NPDID_wellbore=1441","NO","POINT(3.984367 61.385542)"
